"ro_cue","ro_target","type","cue_type","target_type","ro_cosine"
"fiară","animal","related","word","word",0.476594125259448
"milionar","antreprenor","related","word","word",0.528613659635345
"proteja","apăra","related","word","word",0.741712276690963
"casă","apartament","related","word","word",0.536342300333408
"permisiune","aprobare","related","word","word",0.636294801630417
"pedepsi","arestare","related","word","word",0.201902933790058
"de aur","argint","related","word","word",NA
"inginer","arhitect","related","word","word",0.580862291461515
"pistol","armă","related","word","word",0.661337621529467
"legiune","armată","related","word","word",0.585936775472741
"echilibru","armonie","related","word","word",0.490349986796836
"arsenal","armură","related","word","word",0.34482250608033
"scut","armură","related","word","word",0.44805902789723
"ignoranţă","aroganţă","related","word","word",0.620149729921678
"venă","arteră","related","word","word",0.648941298519685
"natural","artificial","related","word","word",0.430976230023286
"cavalerie","artilerie","related","word","word",0.58792983141892
"mercenar","asasin","related","word","word",0.573821304272296
"acoperi","ascunde","related","word","word",0.390994207768405
"ajutor","asista","related","word","word",0.264937226504509
"secretar","asistent","related","word","word",0.565846976882146
"a sustine","asistenţă","related","word","word",NA
"aștepta","aştepta","related","word","word",0.673235540254853
"invazie","atac","related","word","word",0.498040488389537
"victimă","atacator","related","word","word",0.461323302435368
"încerca","atentat, încercare","related","word","word",NA
"opinie","atitudine","related","word","word",0.38554881420583
"pacific","atlantic","related","word","word",0.638814533582511
"mediu inconjurator","atmosfera","related","word","word",NA
"tren","autobuz","related","word","word",0.775860030650308
"jurisdicție","autoritate","related","word","word",0.437740211645848
"drum","autostradă","related","word","word",0.480406899916063
"asculta","auzi","related","word","word",0.566912405055632
"fată","băiat","related","word","word",0.565927216738848
"duș","baie","related","word","word",0.544065480028707
"bani gheata","bani","related","word","word",NA
"club","bar","related","word","word",0.684499037073417
"păr","barbă","related","word","word",0.557628717377088
"submarin","barcă","related","word","word",0.476626762379651
"stadiu","baseball","related","word","word",0.0924688527581945
"regiment","batalion","related","word","word",0.709403891253742
"pânză","batistă","related","word","word",0.40499801326653
"supraom","batman","related","word","word",0.186341196558884
"arenă","battlefield","related","word","word",0.205859491349837
"sobru","beat","related","word","word",0.418888574122903
"băutură","bere","related","word","word",0.655087872430501
"diamant","bijuterie","related","word","word",0.546570320308383
"chimic","biologic","related","word","word",0.522552711810802
"chimie","biologie","related","word","word",0.725014657716007
"birou","birou","related","word","word",1
"moale","blând","related","word","word",0.331725198608499
"gripa","boală","related","word","word",0.543849268013306
"săraci","bogat","related","word","word",0.385652067835727
"comoară","bogatie","related","word","word",0.335120915712397
"bolnav","bolnav","related","word","word",1
"washington","boston","related","word","word",0.583337062061866
"pâine","brânză","related","word","word",0.605083287744787
"mână","braţ","related","word","word",0.505190569378538
"melc","broasca testoasa","related","word","word",NA
"fragment","bucată","related","word","word",0.448881215650196
"bucătar","bucătar","related","word","word",1
"plăcere","bucurie","related","word","word",0.464531096120902
"mătase","bumbac","related","word","word",0.609272660231802
"bunicul","bunica","related","word","word",0.735043401133738
"comun","ca de obicei","related","word","word",NA
"corp","cadavru","related","word","word",0.456336185271748
"compliment","cadou","related","word","word",0.511173613732382
"ceașcă","cafea","related","word","word",0.599350606406432
"măgar","cal","related","word","word",0.544680984642851
"numara","calculati","related","word","word",0.369791429745752
"software","calculator","related","word","word",0.576090376048873
"traseu","cale","related","word","word",0.262980268014735
"cantitate","calitate","related","word","word",0.361121195761418
"liniște","calm","related","word","word",0.418418098814571
"jeep","camion","related","word","word",0.609592683591142
"picnic","camping","related","word","word",0.519542780591887
"concurență","campionat","related","word","word",0.365636073159982
"tumor","cancer","related","word","word",0.460414265994648
"album","cântec","related","word","word",0.573364179491105
"sumă","cantitate","related","word","word",0.49730568179524
"ochelari","capac","related","word","word",0.351875992260865
"biserică","capelă","related","word","word",0.69875727895512
"anarhie","capitalism","related","word","word",0.482142049873872
"comandant","căpitan","related","word","word",0.590355034001823
"banană","căpșună","related","word","word",0.431117558944551
"apuca","captură","related","word","word",0.206692678153631
"episcop","cardinal","related","word","word",0.683665376676793
"sarcină","cargo","related","word","word",0.108736435318338
"porc","carne","related","word","word",0.586073891385284
"biblie","carte","related","word","word",0.496437600419103
"mafia","cartel","related","word","word",0.450032423886431
"divorț","căsătorie","related","word","word",0.498524135477695
"singur","căsătorit","related","word","word",0.118584285836679
"palat","castel","related","word","word",0.684552154407543
"pierzător","câştigător","related","word","word",0.573980270645183
"motiv","cauză","related","word","word",0.433364630961441
"usturoi","ceapă","related","word","word",0.578522911802966
"uite","ceas","related","word","word",0.159814243247348
"nor","ceaţă","related","word","word",0.430863357945536
"mile","centimetru","related","word","word",0.375025027404454
"întrebare","cere","related","word","word",0.244030771838629
"creier","cerebral","related","word","word",0.614781593754162
"ritual","ceremonie","related","word","word",0.531339998522796
"cerere","cerere","related","word","word",1
"cer","ceresc","related","word","word",0.359735550685816
"nimic","ceva","related","word","word",0.61080503960965
"chelner","chelneriţă","related","word","word",0.67869598674796
"închiriere","chirie","related","word","word",0.568841538448932
"pian","chitară","related","word","word",0.71087825272261
"toaletă","chiuvetă","related","word","word",0.673792106993806
"tatuaj","cicatrice","related","word","word",0.533532995897737
"mormânt","cimitir","related","word","word",0.612562310379168
"naiv","cinic","related","word","word",0.6088429200626
"băț","ciocan","related","word","word",0.327085536269521
"zahăr","ciocolată","related","word","word",0.58134416618331
"grădină zoologică","circ","related","word","word",NA
"neobișnuit","ciudat","related","word","word",0.475488984315502
"cultură","civilizaţie","related","word","word",0.526866360292752
"turn","clădire","related","word","word",0.35238089840428
"tipic","clasic","related","word","word",0.50118565363874
"rabdator","client","related","word","word",0.194510602819008
"spital","clinica","related","word","word",0.57602323224287
"plajă","coasta","related","word","word",0.433299256262759
"toamna","colaps","related","word","word",0.121871406379339
"inel","colier","related","word","word",0.644776122656121
"general","colonel","related","word","word",0.510453702111026
"gaz","combustibil","related","word","word",0.539187726734809
"dramă","comedie","related","word","word",0.568150886192202
"comercial","comerciant","related","word","word",0.505142069201041
"inspector","comisar","related","word","word",0.644855136876644
"comision","comitet","related","word","word",0.371907202101627
"răbdare","compasiune","related","word","word",0.445714963900165
"absolut","complet","related","word","word",0.545900582507094
"total","complet","related","word","word",0.772429493064812
"navigare","comunicare","related","word","word",0.39713353236695
"rasist","comunist","related","word","word",0.529014260981049
"societate","comunitate","related","word","word",0.606998087911752
"demisie","concediere","related","word","word",0.601055191834079
"focus","concentrați-vă","related","word","word",NA
"tur","concert","related","word","word",0.343229151419767
"pasager","conducător auto","related","word","word",NA
"a lua legatura","conexiune","related","word","word",NA
"privat","confidențialitate","related","word","word",0.391732764505705
"haos","confuzie","related","word","word",0.51747178320895
"rom","coniac","related","word","word",0.615613877374033
"lege","constituţie","related","word","word",0.415386380606255
"constructie","construi","related","word","word",0.514674623271356
"baron","contesă","related","word","word",0.378637910335182
"continua","continua","related","word","word",1
"conține","conţinut","related","word","word",0.461417699057964
"opus","contrar","related","word","word",0.421515180000333
"tufiș","copac","related","word","word",0.450778075072499
"original","copie","related","word","word",0.405163739112564
"bebelus","copil","related","word","word",0.641971776785611
"tineret","copilărie","related","word","word",0.27148229033102
"gresit","corect","related","word","word",0.490490202725687
"companie","corporație","related","word","word",0.398801000742182
"podea","covor","related","word","word",0.503787497951831
"rodeo","cowboy","related","word","word",0.481894056013531
"os","craniu","related","word","word",0.513112646880344
"lega","cravată","related","word","word",0.329881144783403
"imaginație","creativitate","related","word","word",0.422538023093897
"monstru","creatură","related","word","word",0.476938055733608
"încredere","cred","related","word","word",0.307415206333729
"loial","credincios","related","word","word",0.687694678279725
"speranţă","credinţă","related","word","word",0.529204825913795
"catolic","creştin","related","word","word",0.593511802237798
"sinucidere","crimă","related","word","word",0.540953474684515
"păcat","crimă","related","word","word",0.359603430370248
"ucigaş","criminal","related","word","word",0.757882549355421
"situatie","criză","related","word","word",0.428657144349296
"brutal","crud","related","word","word",0.548420597567143
"rău","cruzime","related","word","word",0.257996444970221
"stomac","cufăr","related","word","word",0.175445049886676
"vânzător","cumpărător","related","word","word",0.637552031240822
"experienţă","cunoştinţe","related","word","word",0.499165433610551
"cuptor","cuptor","related","word","word",1
"nobil","curajos","related","word","word",0.538634588048928
"pui","curcan","related","word","word",0.354134488310183
"sabie","cuţit","related","word","word",0.480784175506461
"bine","da","related","word","word",0.344512487199527
"oferi","da","related","word","word",0.165012977121993
"dansator","dans","related","word","word",0.492978455927975
"responsabilitate","datorie","related","word","word",0.460098973081935
"apus de soare","dawn","related","word","word",NA
"uneori","de multe ori","related","word","word",NA
"în mod normal","de obicei","related","word","word",NA
"urgent","de urgență","related","word","word",NA
"noiembrie","decembrie","related","word","word",0.711411622868214
"secol","deceniu","related","word","word",0.617028682127862
"concept","definiție","related","word","word",0.349929368770683
"deget","deget mare","related","word","word",NA
"gustos","delicios","related","word","word",0.73520358427827
"mândrie","demnitate","related","word","word",0.616574875099034
"libertate","democraţie","related","word","word",0.439152393944067
"protest","demonstrație","related","word","word",0.342323881839733
"lângă","departe","related","word","word",0.327977989440013
"gol","deplin","related","word","word",0.0737786730457131
"stres","depresie","related","word","word",0.461940862259893
"profil","descriere","related","word","word",0.414031896786694
"out","despre","related","word","word",0.154814333885525
"fate","destin","related","word","word",0.167882096700223
"agent","detectiv","related","word","word",0.517948621014307
"curaj","determinare","related","word","word",0.496952636951692
"fidelitate","devotament","related","word","word",0.556733498282536
"surprinde","dezamăgire","related","word","word",0.312326687344366
"murdar","dezgustător","related","word","word",0.570894159583647
"progresul","dezvoltare","related","word","word",0.406779364848565
"înger","diavol","related","word","word",0.591110248090806
"similar","diferit","related","word","word",0.483106797548569
"mâine","dimineaţă","related","word","word",0.482293644477797
"târziu","din timp","related","word","word",NA
"praf de puşcă","dinamită","related","word","word",NA
"ping","ding","related","word","word",0.493157912226082
"unghii","dinte","related","word","word",0.370371107555084
"direct","direct","related","word","word",1
"producător","director","related","word","word",0.456751300280623
"conversaţie","discuţie","related","word","word",0.769788347586254
"moarte","dispariție","related","word","word",0.267648996211286
"cip","dispozitiv","related","word","word",0.562041034923003
"conflict","disputa","related","word","word",0.452199885622723
"județ","district","related","word","word",0.400566052677161
"creare","distrugere","related","word","word",0.396570481649098
"dumnezeu","divin","related","word","word",0.381510095472827
"unitate","divizia","related","word","word",0.399833739306313
"face","do","related","word","word",0.208931999449533
"lord","doamnă","related","word","word",0.200717419204334
"chirurg","doctor","related","word","word",0.685250749115649
"fişier","document","related","word","word",0.515606409687162
"livră","dolar","related","word","word",0.377293644137346
"caritate","donare","related","word","word",0.484943335090997
"dorință","dori","related","word","word",0.20983516597176
"odihnă","dormi","related","word","word",0.338533307182375
"cameră","dormitor","related","word","word",0.535027225426565
"dovezi","dovada","related","word","word",0.644005546093854
"ură","dragoste","related","word","word",0.402514836099746
"dulce","drăguţ","related","word","word",0.428214955853316
"cabinet","dulap","related","word","word",0.379107458671841
"sâmbătă","duminică","related","word","word",0.812817192926242
"suferinţă","durere","related","word","word",0.61922429267237
"ruginit","dusty","related","word","word",0.0467825828210557
"echipamente","echipa","related","word","word",0.368507159143877
"ligă","echipă","related","word","word",0.576380783480343
"sănătate","educaţie","related","word","word",0.371816253805849
"influență","efect","related","word","word",0.239626636986905
"util","efectiv","related","word","word",0.236825667674392
"încăpăţânat","egoist","related","word","word",0.539121835318942
"magnetic","electric","related","word","word",0.523472092119482
"actual","electricitate","related","word","word",0.0947529750003869
"la modă","elegant","related","word","word",NA
"factor","element","related","word","word",0.520786057009294
"ambulanță","elicopter","related","word","word",0.410468978362279
"înlătura","elimina","related","word","word",0.641579337385524
"mental","emoţional","related","word","word",0.61173202542039
"putere","energie","related","word","word",0.515327655737537
"ciumă","epidemie","related","word","word",0.635161593430957
"serie","episod","related","word","word",0.224636944948845
"orgasm","erecție","related","word","word",0.338490615768821
"succes","eșec","related","word","word",0.349445561743714
"vest","est","related","word","word",0.857982526642479
"flee","evadare","related","word","word",0.073572280975293
"observare","evaluare","related","word","word",0.387454476782946
"fenomen","eveniment","related","word","word",0.523243996191704
"clar","evident","related","word","word",0.60883539517204
"subestima","exagera","related","word","word",0.449030342380626
"mândru","excitat","related","word","word",0.305131458374932
"agăţat","execuţie","related","word","word",0.238750956209225
"practică","exercițiu","related","word","word",0.308836429303801
"izbucni","exploda","related","word","word",0.463071696158455
"cutremur","explozie","related","word","word",0.490790488511875
"bombă","exploziv","related","word","word",0.579312558996321
"galerie","expoziţie","related","word","word",0.588897239648058
"descrie","expres","related","word","word",0.120845347825852
"intern","extern","related","word","word",0.658822644455125
"popular","faimos","related","word","word",0.559420007089978
"cereale","făină","related","word","word",0.546167024910837
"fals","fals","related","word","word",1
"clan","familie","related","word","word",0.420271878251499
"minunat","fantastic","related","word","word",0.82928391679257
"realitate","fantezie","related","word","word",0.549431652629201
"neajutorat","fără putere","related","word","word",NA
"inutil","fără valoare","related","word","word",NA
"castron","farfurie","related","word","word",0.569078001476825
"mortal","fatal","related","word","word",0.53675521044953
"poștă","fax","related","word","word",0.317904169760482
"tuse","febră","related","word","word",0.5080971140572
"colonie","federaţie","related","word","word",0.3179763301748
"văduvă","femeie","related","word","word",0.412383927932371
"masculin","femeie","related","word","word",0.26274400041135
"mulțumit","fericit","related","word","word",0.502895243438937
"atractiv","fermecător","related","word","word",0.558884516559192
"carnaval","festival","related","word","word",0.519972074638261
"băieți","fete","related","word","word",0.363038248395362
"rinichi","ficat","related","word","word",0.732086458866306
"porno","film","related","word","word",0.464107397608537
"final","final","related","word","word",1
"sfârșit","finalizarea","related","word","word",0.271877698532626
"bancar","financiar","related","word","word",0.526349368837879
"financiar","finanțare","related","word","word",0.366795595612832
"buget","finanțarea","related","word","word",0.392333502045104
"fiica","fiu","related","word","word",0.255701952808505
"sexual","fizic","related","word","word",0.581207718377771
"foc","flacără","related","word","word",0.470620494734342
"plantă","floare","related","word","word",0.543751453754272
"naval","flota","related","word","word",0.34138668896283
"lichid","fluid","related","word","word",0.697722872765895
"corn","fluier","related","word","word",0.539107633418253
"obosit","foame","related","word","word",0.387973618553354
"extrem","foarte","related","word","word",0.767075640832088
"putere","forta","related","word","word",0.381620942931853
"baschet","fotbal","related","word","word",0.862964570021513
"autograf","fotograf","related","word","word",0.413643566344272
"imagine","fotografie","related","word","word",0.617199279838795
"lanţ","frânghie","related","word","word",0.29262357265248
"omule","frate","related","word","word",0.625434659553832
"sora","frate","related","word","word",0.451689346386005
"conspiraţie","fraudă","related","word","word",0.521776340912057
"dicţionar","fraza","related","word","word",0.278658677192789
"groază","frică","related","word","word",0.35483051705526
"măr","fructe","related","word","word",0.459870510866766
"frumos","frumoasa","related","word","word",0.481789282946045
"farmec","frumuseţe","related","word","word",0.400683751960018
"refugiat","fugar","related","word","word",0.343886809419668
"operațional","funcţional","related","word","word",0.416223199155314
"top","fund","related","word","word",0.168121639426306
"cur","fund","related","word","word",0.81573042798298
"linguriţă","furculiţă","related","word","word",0.536405523611837
"furie","furie","related","word","word",1
"gelos","furios","related","word","word",0.598719450811592
"albină","furnică","related","word","word",0.58870057864073
"permite","furnizare","related","word","word",0.171388150983787
"pompa","furtun","related","word","word",0.496412778755225
"vânt","furtună","related","word","word",0.46441265795026
"univers","galaxie","related","word","word",0.683564352461739
"roșu","galben","related","word","word",0.600728519724741
"considera","gândi","related","word","word",0.31876275763567
"atelier","garaj","related","word","word",0.607797409288688
"perete","gard","related","word","word",0.52278191673312
"căutare","găsi","related","word","word",0.417409774762855
"gât","gât","related","word","word",1
"sparge","gaură","related","word","word",0.249475383986414
"milos","generos","related","word","word",0.54078939533462
"umăr","genunchi","related","word","word",0.411611229343542
"nefericit","ghinion","related","word","word",0.360089744581584
"naţional","global","related","word","word",0.442505139186301
"calibru","glonţ","related","word","word",0.496498564891433
"glorios","glorie","related","word","word",0.450595730711142
"truc","glumă","related","word","word",0.273373213259955
"nud","gol","related","word","word",0.358704014285742
"maimuţă","gorilă","related","word","word",0.661098244128882
"kilogram","gram","related","word","word",0.660440117709231
"liber","gratuit","related","word","word",0.394605399880044
"diaree","greaţă","related","word","word",0.532731500348001
"român","grec","related","word","word",0.450938530862018
"eroare","greşeală","related","word","word",0.499852168633772
"greu","greu","related","word","word",1
"lovit","grevă","related","word","word",0.247014843397965
"îngrijorare","griji","related","word","word",0.377406123912192
"subţire","gros","related","word","word",0.607043272558366
"excelent","grozav","related","word","word",0.694608135358358
"bandă","grup","related","word","word",0.406445536481965
"orchestră","grup","related","word","word",0.235818725385983
"puşcă","gun","related","word","word",0.286237157018805
"gunoi","gunoi","related","word","word",1
"administrare","guvern","related","word","word",0.338932583973169
"iluzie","halucinaţie","related","word","word",0.524037129813256
"sandwich","hamburger","related","word","word",0.690032387200639
"busolă","hartă","related","word","word",0.5706960229157
"cocaină","heroina","related","word","word",0.754437382607774
"carbon","hidrogen","related","word","word",0.57499164359059
"sida","hiv","related","word","word",0.717590883450532
"ton","homar","related","word","word",0.378648533765307
"lesbiene","homosexual","related","word","word",0.466244446966918
"paradis","iad","related","word","word",0.49909976543368
"vară","iarnă","related","word","word",0.700193908912283
"prost","idiot","related","word","word",0.648785829890236
"scump","ieftin","related","word","word",0.66476365990247
"vulpe","iepure","related","word","word",0.584458409537032
"azi","ieri","related","word","word",0.682943193879074
"sărut","îmbrăţişare","related","word","word",0.569249359925121
"schimbare","îmbunătăţire","related","word","word",0.525651958036054
"mare","imens","related","word","word",0.60577039847083
"imperial","împărat","related","word","word",0.360034088676888
"regal","împărăție","related","word","word",0.318361853486221
"dinastie","imperiu","related","word","word",0.484519104986433
"valoros","important","related","word","word",0.557917533157711
"sens","importanţă","related","word","word",0.475170244507314
"flata","impresiona","related","word","word",0.465436580110179
"credit","împrumut","related","word","word",0.465839942088545
"in cele din urma","în cele din urmă","related","word","word",NA
"natural","în general","related","word","word",NA
"rundă","în jurul","related","word","word",NA
"mereu","în mod constant","related","word","word",NA
"voluntar","în mod voluntar","related","word","word",NA
"scăzut","înalt","related","word","word",0.272724061989786
"greutate","înălţime","related","word","word",0.418082974477602
"majestate","înălțime","related","word","word",0.188464793801476
"deja","încă","related","word","word",0.486671412697708
"incapacitatea","incapabil","related","word","word",0.484336641603378
"deschis","închide","related","word","word",0.517241154696801
"deschidere","închidere","related","word","word",0.748792358919028
"blocat","închis","related","word","word",0.503189059434505
"celulă","închisoare","related","word","word",0.582304563534092
"respect","încredere","related","word","word",0.384237342059041
"punct","indica","related","word","word",0.167133741895636
"persoană","individual","related","word","word",0.302382998299993
"virus","infecţie","related","word","word",0.521487411287311
"infricosator","înfiorător","related","word","word",0.589330018731653
"raport","informa","related","word","word",0.377760588027069
"date","informație","related","word","word",0.304934268492194
"sursă","informator","related","word","word",0.282656183097769
"victorie","înfrângere","related","word","word",0.678430785821961
"topi","îngheţa","related","word","word",0.517905819941416
"cădere brusca","înghiţitură","related","word","word",NA
"săpa","îngropa","related","word","word",0.537305329001006
"doza","injecţie","related","word","word",0.462099684425546
"sicriu","înmormântare","related","word","word",0.452789908668902
"îneca","înot","related","word","word",0.344029714029579
"record","înregistrare","related","word","word",0.307550799306346
"păianjen","insectă","related","word","word",0.507961019141058
"escorta","însoți","related","word","word",0.414631356562485
"examinare","inspecţie","related","word","word",0.491226350162853
"a inspira","inspirație","related","word","word",NA
"instrument","instrument","related","word","word",1
"vedea","întâlni","related","word","word",0.409253553227177
"conferinţă","întâlnire","related","word","word",0.470934209046253
"apar","întâmpla","related","word","word",0.237008223278539
"inteligent","inteligent","related","word","word",1
"scop","intenție","related","word","word",0.320379652465488
"accidental","intentionat","related","word","word",0.434401362487372
"captivant","interesant","related","word","word",0.652930755262231
"in afara","interior","related","word","word",NA
"a functiona","interventie chirurgicala","related","word","word",NA
"interzis","interzice","related","word","word",0.723025469603052
"personal","intim","related","word","word",0.409943438819997
"înapoi","întoarcere","related","word","word",0.31846081309224
"de fapt","într-adevăr","related","word","word",NA
"ieșire","intrare","related","word","word",0.576380697601969
"serviciu","întreținere","related","word","word",0.32470584276892
"instinct","intuiţie","related","word","word",0.572020774576195
"umbră","întuneric","related","word","word",0.486139702968657
"finanţa","investi","related","word","word",0.452248117164503
"examina","investiga","related","word","word",0.459980577283452
"analist","investigator","related","word","word",0.555191015900762
"bancher","investitor","related","word","word",0.52326702427727
"nerezonabil","iresponsabil","related","word","word",0.483084206340256
"ironie","ironic","related","word","word",0.596581469234355
"amantă","iubit","related","word","word",0.33868054671488
"iunie","iulie","related","word","word",0.6976792081165
"furt","jaf","related","word","word",0.704923688279513
"mizerabil","jalnic","related","word","word",0.642991928482472
"insultă","jignița","related","word","word",NA
"joaca","joc","related","word","word",0.541776717045336
"păpuşă","jucărie","related","word","word",0.514922771660582
"antrenor","jucător","related","word","word",0.608867331415285
"curte","judecător","related","word","word",0.216936895435264
"romeo","juliet","related","word","word",0.618273870151478
"senior","junior","related","word","word",0.356529321646501
"jura","jurământ","related","word","word",0.50196623992674
"reporter","jurnalist","related","word","word",0.797551174346736
"răzbunare","justiţie","related","word","word",0.400001150634964
"râu","lac","related","word","word",0.694788967174434
"cheie","lacăt","related","word","word",0.418366263011427
"permite","lăsa","related","word","word",0.497944880712996
"seminar","lectura","related","word","word",0.276272106984703
"ilegal","legal","related","word","word",0.641071949014314
"mit","legendă","related","word","word",0.540583037158177
"crea","legume și fructe","related","word","word",NA
"balaur","leu","related","word","word",0.477813284427089
"conservator","liberal","related","word","word",0.604735469329486
"membru","lider","related","word","word",0.443189275534216
"engleză","limba franceza","related","word","word",NA
"taxi","limuzina","related","word","word",0.57307100318977
"ming","ling","related","word","word",0.593310531737378
"a suge","linge","related","word","word",NA
"artă","literatură","related","word","word",0.532975419478408
"regional","local","related","word","word",0.439112102475983
"loc","locație","related","word","word",0.226959683279642
"sergent","locotenent","related","word","word",0.712945321901815
"lampă","lumânare","related","word","word",0.544015765029509
"internaţional","lume","related","word","word",0.209553435379669
"strălucire","luminos","related","word","word",0.449160982986015
"mic de statura","lung","related","word","word",NA
"mărimea","lungime","related","word","word",0.340390090381699
"urs","lup","related","word","word",0.643086395854492
"luptă","luptă","related","word","word",1
"război","luptă","related","word","word",0.469617682988132
"campion","luptător","related","word","word",0.538170593727847
"magazin","magazin","related","word","word",1
"ketchup","maioneză","related","word","word",0.603217560140436
"adult","mamă","related","word","word",0.299589061477464
"tata","mămică","related","word","word",0.308714880123268
"orfelinat","mănăstire","related","word","word",0.473424910210519
"templu","mănăstire","related","word","word",0.434046595520056
"a hrani","mânca","related","word","word",NA
"control","manipula","related","word","word",0.22564955059842
"pirat","marinar","related","word","word",0.538902266608046
"publicitate","marketing","related","word","word",0.564654790305847
"luni","marţi","related","word","word",0.514300278394249
"martor","mărturie","related","word","word",0.504414019812568
"admite","mărturisi","related","word","word",0.391001676251514
"alimente","masă","related","word","word",0.232428422401362
"gustare","masa de pranz","related","word","word",NA
"yoga","masaj","related","word","word",0.509243645458964
"vehicul","mașină","related","word","word",0.458384064042429
"robot","mașinărie","related","word","word",0.251383342990391
"fizică","matematică","related","word","word",0.609053602980876
"minim","maxim","related","word","word",0.558410322212669
"tehnic","mecanic","related","word","word",0.366306146791053
"turneu","meci","related","word","word",0.494640453109252
"trofeu","medalie","related","word","word",0.475380097891198
"artefact","medalion","related","word","word",0.448949441662759
"alcool","medicament","related","word","word",0.380780274790128
"presupune","menţine","related","word","word",0.234525842759324
"introduce","merge","related","word","word",0.224758660004571
"alerga","mers pe jos","related","word","word",NA
"avertizare","mesaj","related","word","word",0.326763822049109
"a inghiti","mesteca","related","word","word",NA
"fier","metal","related","word","word",0.544937687812767
"kilometru","metru","related","word","word",0.636287512987691
"puțin","mic","related","word","word",0.295450098839
"masa de seara","mic dejun","related","word","word",NA
"aparat foto","microfon","related","word","word",NA
"telescop","microscop","related","word","word",0.537857731068504
"iertare","milă","related","word","word",0.466365399481027
"milion","miliard","related","word","word",0.79724675471481
"civil","militar","related","word","word",0.553371967792704
"minciună","mincinos","related","word","word",0.453499738016725
"ambasadă","ministerul","related","word","word",0.3521445988318
"ambasador","ministru","related","word","word",0.521628475038587
"grozav","minunat","related","word","word",0.845276353773474
"plus","minus","related","word","word",0.690357306606619
"al doilea","minut","related","word","word",NA
"mire","mireasă","related","word","word",0.680640362532815
"gust","miros","related","word","word",0.633988603111546
"sarcină","misiune","related","word","word",0.474126903883754
"secret","mister","related","word","word",0.356467956282795
"cald","misto","related","word","word",0.272202827729837
"sărăcie","mizerie","related","word","word",0.453039796626788
"umil","modest","related","word","word",0.572840951989624
"capcană","momeală","related","word","word",0.566853548960661
"ecran","monitor","related","word","word",0.547531913352016
"aspirină","morfină","related","word","word",0.613414598562826
"în viaţă","mort","related","word","word",NA
"patrimoniu","moşteni","related","word","word",0.302208064183626
"hotel","motel","related","word","word",0.822862697611158
"rezervor","motor","related","word","word",0.442955228635492
"recunoscător","mulțumiri","related","word","word",0.446644721220164
"loc de munca","muncă","related","word","word",NA
"agricultor","muncitor","related","word","word",0.483018075955632
"deal","munte","related","word","word",0.57766383016158
"neplăcut","murdar","related","word","word",0.392387719750822
"nervos","muşchi","related","word","word",0.148527831616086
"evoluţie","mutaţie","related","word","word",0.602634279061328
