ro_cue,ro_target,type,cue_type,target_type,ro_cosine
confortabil,placut,related,word,word,0.281071472963941
comandă,ordin,related,word,word,0.351352387293418
comandant,căpitan,related,word,word,0.590355034001823
cometariu,afirmație,related,word,word,
comercial,comerciant,related,word,word,0.505142069201041
comisie,comitet,related,word,word,0.654164990847294
companie,corporație,related,word,word,0.398801000742182
busolă,hartă,related,word,word,0.5706960229157
milos,generos,related,word,word,0.54078939533462
competiție,campionat,related,word,word,0.446881852858129
reclamație,acuzație,related,word,word,0.639593717067542
compliment,cadou,related,word,word,0.511173613732382
concept,definiție,related,word,word,0.349929368770683
îngrijorare,griji,related,word,word,0.377406123912192
concluzie,presupoziție,related,word,word,
beton,oţel,related,word,word,0.52287060374962
conferinţă,întâlnire,related,word,word,0.470934209046253
confirmare,a confirma,related,word,word,
conflict,disputa,related,word,word,0.452199885622723
felicitare,salutare,related,word,word,0.216047639956376
conservator,liberal,related,word,word,0.604735469329486
cosiderare,gândire,related,word,word,0.252413465456278
conspiraţie,fraudă,related,word,word,0.521776340912057
construcție,construire,related,word,word,0.601622793513734
contact,conexiune,related,word,word,0.397810287951963
conține,conţinut,related,word,word,0.461417699057964
contaminare,radiație,related,word,word,0.423707904749261
contract,acord,related,word,word,0.313938487365071
control,manipulare,related,word,word,0.353940045854848
conversaţie,discuţie,related,word,word,0.769788347586254
găti,bucătar,related,word,word,0.465724324393551
colţ,alee,related,word,word,0.343459222650669
tuse,febră,related,word,word,0.5080971140572
numărare,calculare,related,word,word,0.480045819272543
țară,naţiune,related,word,word,0.357891493637873
județ,district,related,word,word,0.400566052677162
curaj,determinare,related,word,word,0.496952636951692
instanță,judecător,related,word,word,0.429333298668029
acoperire,ascundere,related,word,word,0.388322935171263
vacă,porc,related,word,word,0.585641483013782
crăpătură,gaură,related,word,word,0.599934353864674
cremă,sos,related,word,word,0.510478503243613
creare,legume și fructe,related,word,word,
creație,distrugere,related,word,word,0.288442939355868
credit,împrumut,related,word,word,0.465839942088545
echipaj,navă,related,word,word,0.487751992461776
critic,politic,related,word,word,0.424081836323907
mulțime,public,related,word,word,0.0889300293518335
coroană,tron,related,word,word,0.444244517090776
cultură,civilizaţie,related,word,word,0.526866360292752
ceașcă,cafea,related,word,word,0.599350606406432
curent,electricitate,related,word,word,0.453087063038507
blestem,vrăjitoare,related,word,word,0.411866513691217
tătic,mămică,related,word,word,0.64755726374795
zilnic,săptămânal,related,word,word,0.608876646473065
dansator,dans,related,word,word,0.492978455927975
întuneric,lumină,related,word,word,0.570997405645631
date,informație,related,word,word,0.304934268492194
fiică,fiu,related,word,word,0.353842090452904
mortal,fatal,related,word,word,0.53675521044953
decan,profesor,related,word,word,0.588204288000018
moarte,dispariție,related,word,word,0.267648996211286
decent,sincer,related,word,word,0.291751582057032
delicat,sensibil,related,word,word,0.562012645792886
porunci,cere,related,word,word,0.383299700571941
descriere,exprimare,related,word,word,0.289979341026206
deşert,vale,related,word,word,0.350886422107372
merita,vrednic,related,word,word,0.342910145093578
dorire,dorință,related,word,word,
masă de birou,birou,related,word,word,
desert,tort,related,word,word,0.452277404524506
detonator,temporizator,related,word,word,0.564517575634772
diamant,bijuterie,related,word,word,0.546570320308383
diaree,greaţă,related,word,word,0.532731500348001
dicţionar,sintagmă,related,word,word,0.331760663549009
săpa,îngropa,related,word,word,0.537305329001006
dezgustător,urât,related,word,word,0.512227814246142
cină,mic dejun,related,word,word,
diplomă,absolvent,related,word,word,0.553363950453237
direct,în mod direct,related,word,word,
murdar,dezgustător,related,word,word,0.570894159583647
distanţă,viteză,related,word,word,0.287410677842788
divorț,căsnicie,related,word,word,0.404556370463591
adn,amprentă,related,word,word,0.531031572427713
câine,pisică,related,word,word,0.598257436710784
păpuşă,jucărie,related,word,word,0.514922771660582
măgar,cal,related,word,word,0.544680984642851
doză,injecţie,related,word,word,0.572041636847455
dubla,triplu,related,word,word,0.508434164568476
îndoială,suspect,related,word,word,0.191545490629821
jos,sus,related,word,word,0.677824058545229
balaur,leu,related,word,word,0.477813284427089
dramă,comedie,related,word,word,0.568150886192202
dramatic,romantic,related,word,word,0.478980025780619
băutură,bere,related,word,word,0.655087872430501
conduce,plimbare,related,word,word,0.237217287540139
picătură,înghiţitură,related,word,word,0.498090349471342
îneca,înot,related,word,word,0.344029714029579
uscat,ud,related,word,word,0.525138738069948
omule,frate,related,word,word,0.625434659553832
dvd,video,related,word,word,0.518644340638932
dinastie,imperiu,related,word,word,0.484519104986433
cutremur,explozie,related,word,word,0.490790488511875
înlătura,elimina,related,word,word,0.641579337385524
altundeva,undeva,related,word,word,0.61794937759855
ambasadă,minister,related,word,word,0.398170083905804
gol,plin,related,word,word,0.440363475081318
permite,furniza,related,word,word,0.24843326355853
sfârșit,final,related,word,word,0.425040684156646
inamic,adversar,related,word,word,0.505861046801665
logodnă,nuntă,related,word,word,0.701543428714662
inginer,arhitect,related,word,word,0.580862291461515
engleză,franceză,related,word,word,0.792745153741004
de ajuns,suficient,related,word,word,
intra,merge,related,word,word,0.351227355669685
entuziasm,pasiune,related,word,word,0.452949157968708
plic,colet,related,word,word,0.519788972160144
mediu,atmosferă,related,word,word,0.339808654018983
echipamente,echipa,related,word,word,0.368507159143877
eroare,greşeală,related,word,word,0.499852168633772
escorta,însoți,related,word,word,0.414631356562485
spionaj,sabotaj,related,word,word,0.495146055036364
etern,pentru totdeauna,related,word,word,
dovezi,probă,related,word,word,0.364571669083953
rău,cruzime,related,word,word,0.257996444970221
evoluţie,mutaţie,related,word,word,0.602634279061328
examinare,inspecţie,related,word,word,0.491226350162853
examina,investiga,related,word,word,0.459980577283452
excelent,grozav,related,word,word,0.694608135358358
excepţional,remarcabil,related,word,word,0.466938274957569
incitant,interesant,related,word,word,0.656496307197224
ieșire,intrare,related,word,word,0.576380697601969
scump,ieftin,related,word,word,0.664763659902471
experienţă,cunoştinţe,related,word,word,0.499165433610551
experiment,test,related,word,word,0.568803219026062
expert,specialist,related,word,word,0.806036139598326
explicaţie,plauzibil,related,word,word,0.434082472972082
suplimentar,adiţional,related,word,word,0.400605708313791
extrem,foarte,related,word,word,0.767075640832088
ochi,ureche,related,word,word,0.314993356915442
factor,element,related,word,word,0.520786057009294
fabrică,producție,related,word,word,0.354287661325713
corect,rezonabil,related,word,word,0.460734069316775
contrafăcut,fals,related,word,word,0.505404748007564
toamna,colaps,related,word,word,0.121871406379339
agricultor,muncitor,related,word,word,0.483018075955632
la modă,elegant,related,word,word,
soartă,destin,related,word,word,0.655757341548895
federal,stat,related,word,word,0.333469427796906
hrăni,mânca,related,word,word,0.572650691711863
fidelitate,devotament,related,word,word,0.556733498282536
fişier,document,related,word,word,0.515606409687162
definitiv,final,related,word,word,0.312912466937927
într-un final,în cele din urmă,related,word,word,
finanța,investi,related,word,word,0.43358650170778
financiar,finanțare,related,word,word,0.366795595612832
deget,deget mare,related,word,word,
foc,flacără,related,word,word,0.470620494734342
firmă,agenţie,related,word,word,0.566789073818242
cu fermitate,cu putere,related,word,word,
primul,ultimul,related,word,word,0.73926328200868
rezolva,reparație,related,word,word,0.214065424338669
steag,simbol,related,word,word,0.45811178159271
flata,impresiona,related,word,word,0.465436580110179
scăpa,evada,related,word,word,0.553409082614354
podea,covor,related,word,word,0.503787497951831
gripă,boală,related,word,word,0.638424290669078
focus,concentrare,related,word,word,0.273689774487432
urma,urmări,related,word,word,0.321848089318526
mâncare,preparate,related,word,word,0.42983079011618
prost,idiot,related,word,word,0.648785829890236
interzis,interzice,related,word,word,0.723025469603052
uită,amintește,related,word,word,0.247388806615398
ierta,scuza,related,word,word,0.437526945409282
iertare,milă,related,word,word,0.466365399481027
formular,semnare,related,word,word,0.408500230011302
vulpe,iepure,related,word,word,0.584458409537032
fragment,bucată,related,word,word,0.448881215650196
libertate,democraţie,related,word,word,0.439152393944067
în mod liber,gratuit,related,word,word,
frecvență,semnal,related,word,word,0.398757286417405
proaspăt,reîmprospăta,related,word,word,0.38470078954435
broască,şopârlă,related,word,word,0.576405865889299
față,spate,related,word,word,0.431749158062674
viitor,trecut,related,word,word,0.363253201499402
câştig,victorie,related,word,word,0.322495848010752
galerie,expoziţie,related,word,word,0.588897239648058
jocuri de noroc,poker,related,word,word,
gașcă,grup,related,word,word,0.277027391583093
usturoi,ceapă,related,word,word,0.578522911802966
gaz,combustibil,related,word,word,0.539187726734809
general,colonel,related,word,word,0.510453702111026
generator,reactor,related,word,word,0.555784278189864
geniu,om de știință,related,word,word,
gest,act,related,word,word,0.555052781346052
fată,băiat,related,word,word,0.565927216738848
sticlă,sticla,related,word,word,0.831427820729754
ochelari,șapcă,related,word,word,0.490650462095161
glorios,glorie,related,word,word,0.450595730711142
dumnezeu,divin,related,word,word,0.381510095472827
aurit,argint,related,word,word,0.472867643197092
golf,tenis,related,word,word,0.731455596907808
bun,rău,related,word,word,0.457935414888601
gâscă,rață,related,word,word,0.39949441717493
bârfă,scandal,related,word,word,0.431175830809801
guvernator,senator,related,word,word,0.669703022629804
apuca,prinde,related,word,word,0.358294045880816
cereale,auină,related,word,word,0.546167024910837
bunic,bunică,related,word,word,0.641593022555364
nepot,copil,related,word,word,0.500117577436288
recunoscător,mulțumire,related,word,word,0.385816757634919
mormânt,cimitir,related,word,word,0.612562310379168
verde,portocaliu,related,word,word,0.710172657268017
mire,mireasă,related,word,word,0.680640362532815
garanție,promisiune,related,word,word,0.320481983210929
gardian,patrulă,related,word,word,0.308033768404041
praf de puşcă,dinamită,related,word,word,
păr,barbă,related,word,word,0.557628717377088
jumătate,sfert,related,word,word,0.683960173613127
mână,braţ,related,word,word,0.505190569378538
spânzurare,execuţie,related,word,word,0.586239440825135
ură,dragoste,related,word,word,0.402514836099746
sănătate,educaţie,related,word,word,0.371816253805849
sănătos,normal,related,word,word,0.45204353862473
audiere,proces,related,word,word,0.515019297643671
căldură,temperatură,related,word,word,0.597822913798717
greu,cu greutate,related,word,word,
salut,pa,related,word,word,0.5284520232454
cască,pălărie,related,word,word,0.519739526762312
ajutare,asistare,related,word,word,0.421621096853135
neajutorat,fără putere,related,word,word,
aici,acolo,related,word,word,0.736373885838478
patrimoniu,moștenire,related,word,word,0.350848402809798
erou,salvator,related,word,word,0.557170163899168
deal,munte,related,word,word,0.57766383016158
angajare,închiriere,related,word,word,0.460225737409515
lovi,bate,related,word,word,0.4813693524574
hobby,sport,related,word,word,0.344374009254575
ținere,păstrare,related,word,word,
miere,unt,related,word,word,0.417260179124619
speranţă,credinţă,related,word,word,0.529204825913795
hormon,adrenalină,related,word,word,0.521131618434565
claxon,fluier,related,word,word,0.478756448951967
groază,frică,related,word,word,0.35483051705526
spital,clinică,related,word,word,0.619096271516241
ospitalitate,recunoștință,related,word,word,0.351536216142566
ostatic,prizonier,related,word,word,0.610244727753207
fierbinte,rece,related,word,word,0.5668668035533
hotel,motel,related,word,word,0.822862697611158
casă,apartament,related,word,word,0.536342300333408
umil,modest,related,word,word,0.572840951989624
foame,sete,related,word,word,0.77546517114988
vânătoare,pescuit,related,word,word,0.514266485142494
uragan,tornadă,related,word,word,0.619949990554551
soț,soție,related,word,word,0.799740007086569
idee,teorie,related,word,word,0.490996339210451
ideal,perfect,related,word,word,0.576454792146405
ignoranţă,aroganţă,related,word,word,0.620149729921678
bolnav,stare de rău,related,word,word,
ilegal,legal,related,word,word,0.641071949014315
iluzie,halucinaţie,related,word,word,0.524037129813256
imaginație,creativitate,related,word,word,0.422538023093896
imperial,împărat,related,word,word,0.360034088676888
imposibil,uşor,related,word,word,0.454194447757759
impresie,sentiment,related,word,word,0.319449912654508
impresionant,uimitor,related,word,word,0.661608061521115
incapacitate,incapabil,related,word,word,0.535005440043809
incident,accident,related,word,word,0.667743180644971
crește,reduce,related,word,word,0.41484706966627
industrie,afacere,related,word,word,0.460177325814049
influență,efect,related,word,word,0.239626636986905
nedreptate,inechitabil,related,word,word,0.397631844379756
nevinovat,vinovat,related,word,word,0.721152363985975
introduce,pune,related,word,word,0.36149158110883
inspector,comisar,related,word,word,0.644855136876644
inspira,inspirație,related,word,word,0.574657514582814
instinct,intuiţie,related,word,word,0.572020774576195
insultă,jigni,related,word,word,0.491129074642269
intern,extern,related,word,word,0.658822644455125
internaţional,lume,related,word,word,0.209553435379669
internet,web,related,word,word,0.587035733146265
întrerupe,perturba,related,word,word,0.475261903918255
invazie,atac,related,word,word,0.498040488389538
fier,metal,related,word,word,0.544937687812767
ironie,ironic,related,word,word,0.596581469234355
jazz,muzică,related,word,word,0.585799468231998
gelos,furios,related,word,word,0.598719450811592
jeep,camion,related,word,word,0.609592683591142
loc de muncă,muncă,related,word,word,
jurnalism,politică,related,word,word,0.369309839318466
iunie,iulie,related,word,word,0.6976792081165
junglă,pădure,related,word,word,0.647841591322546
jurisdicție,autoritate,related,word,word,0.437740211645848
adineaori,recent,related,word,word,0.249175228872986
ketchup,maioneză,related,word,word,0.603217560140436
cheie,lacăt,related,word,word,0.418366263011427
fura,răpi,related,word,word,0.461318941212845
răpitor,răscumpărare,related,word,word,0.537354376225374
rinichi,ficat,related,word,word,0.732086458866306
ucigaş,criminal,related,word,word,0.757882549355421
kilogram,gram,related,word,word,0.660440117709231
kilometru,metru,related,word,word,0.636287512987691
pupic,îmbrăţişare,related,word,word,0.579754033487983
lampă,lumânare,related,word,word,0.544015765029509
ateriza,zbura,related,word,word,0.557764973390551
aterizare,zbor,related,word,word,0.476136479417846
lasagna,spaghete,related,word,word,0.546604367033268
târziu,devreme,related,word,word,0.613586598051651
lege,constituţie,related,word,word,0.415386380606255
avocat,procuror,related,word,word,0.628502644339091
strat,suprafaţă,related,word,word,0.338213189011037
ligă,echipă,related,word,word,0.576380783480343
învăța,preda,related,word,word,0.349193624732521
pleca,părăsi,related,word,word,0.534639242228502
legiune,armată,related,word,word,0.585936775472741
limonadă,suc acidulat,related,word,word,
lesbiană,homosexual,related,word,word,0.57002576583015
bibliotecă,muzeu,related,word,word,0.431200904280187
minciună,mincinos,related,word,word,0.453499738016725
fulger,tunet,related,word,word,0.543005095449266
buză,obraz,related,word,word,0.485456621237623
ruj,parfum,related,word,word,0.567058580372338
lichid,fluid,related,word,word,0.697722872765895
asculta,auzi,related,word,word,0.566912405055632
literalmente,practic,related,word,word,0.544269757415558
puțin,mic,related,word,word,0.295450098839
trăi,supravieţui,related,word,word,0.467276584442155
încărcătură,marfă,related,word,word,0.556797165889235
blocat,închis,related,word,word,0.503189059434505
privește,se uită,related,word,word,
lord,doamnă,related,word,word,0.200717419204334
pierzător,câştigător,related,word,word,0.573980270645183
scăzut,înalt,related,word,word,0.272724061989786
mai jos,mai sus,related,word,word,
loial,credincios,related,word,word,0.687694678279725
loialitate,onestitate,related,word,word,0.624317258304327
lunar,solar,related,word,word,0.282950264238006
nebunie,prostie,related,word,word,0.567456480106918
mafie,cartel,related,word,word,0.511385916568133
magie,vrăjitor,related,word,word,0.486477736985908
magnetic,electric,related,word,word,0.523472092119482
poștă,fax,related,word,word,0.317904169760482
majestate,alteță,related,word,word,0.488017978358123
majoritate,vot,related,word,word,0.369347841382744
face,produce,related,word,word,0.390759911547751
mascul,femelă,related,word,word,0.77922622826515
bărbat,uman,related,word,word,0.198502892073325
descurcare,reușire,related,word,word,
management,administrativ,related,word,word,0.464827462985334
manager,șef,related,word,word,0.358768901026619
maraton,cursă,related,word,word,0.417650118690948
pușcaș marin,marină militară,related,word,word,
marte,venus,related,word,word,0.593721121564676
materie,particulă,related,word,word,0.470595725522376
poate,probabil,related,word,word,0.406259627066176
sens,importanţă,related,word,word,0.475170244507314
medical,psihologic,related,word,word,0.532927436897152
topi,îngheţa,related,word,word,0.517905819941416
membru,lider,related,word,word,0.443189275534216
mintal,emoţional,related,word,word,0.486560992661398
mercenar,asasin,related,word,word,0.573821304272296
metodă,tehnică,related,word,word,0.547523245014974
miezul nopţii,amiază,related,word,word,
milă,centimetru,related,word,word,0.286360096171184
lapte,suc,related,word,word,0.615444421500567
milion,miliard,related,word,word,0.79724675471481
milionar,antreprenor,related,word,word,0.528613659635345
amestecându-se,ling,related,word,word,
minim,maxim,related,word,word,0.558410322212669
mizerabil,jalnic,related,word,word,0.642991928482472
amantă,iubit,related,word,word,0.33868054671488
model,prototip,related,word,word,0.386180252317896
modern,tradiţional,related,word,word,0.476290791908083
luni,marţi,related,word,word,0.514300278394249
călugăr,preot,related,word,word,0.628833061012222
maimuţă,gorilă,related,word,word,0.661098244128881
monstru,creatură,related,word,word,0.476938055733608
lună,săptămână,related,word,word,0.794807308782047
monument,statuie,related,word,word,0.518703210921576
lună,soare,related,word,word,0.276499336887779
mama,tata,related,word,word,0.772230843433267
motiv,alibi,related,word,word,0.384939657581488
șoarece,şobolan,related,word,word,0.527138685585376
gură,nas,related,word,word,0.459411208631525
mutare,transfer,related,word,word,0.269656406628359
noroi,nisip,related,word,word,0.581108909776406
mit,legendă,related,word,word,0.540583037158177
unghie,dinte,related,word,word,0.47656025593671
naiv,cinic,related,word,word,0.6088429200626
naiv,prost,related,word,word,0.446090422153694
nume,titlu,related,word,word,0.352602696655824
bonă,servitoare,related,word,word,0.498018581825734
pui de somn,plimbare,related,word,word,
îngust,larg,related,word,word,0.325731656995374
scârbos,jegos,related,word,word,0.508369531664466
naţional,global,related,word,word,0.442505139186301
natural,artificial,related,word,word,0.430976230023286
natural,în general,related,word,word,
naval,flotă,related,word,word,0.332440652281076
navigare,comunicare,related,word,word,0.39713353236695
aproape,departe,related,word,word,0.461462353337286
necesar,nevoie,related,word,word,0.441262014655889
ac,seringă,related,word,word,0.577578484070715
nerv,muşchi,related,word,word,0.520771815158765
cuib,ou,related,word,word,0.482877350055644
reţea,sistem,related,word,word,0.420840167862568
niciodată,vreodată,related,word,word,0.600723839460449
drăguț,minunat,related,word,word,0.374856801610529
poreclă,nume de familie,related,word,word,
noapte,seară,related,word,word,0.63973826790447
coșmar,vis,related,word,word,0.453805641201027
ninja,samurai,related,word,word,0.548511220813114
nobel,premiu,related,word,word,0.434463285967475
nobil,curajos,related,word,word,0.538634588048928
zgomot,sunet,related,word,word,0.655387922088194
în mod normal,de obicei,related,word,word,
nimic,ceva,related,word,word,0.61080503960965
noiembrie,decembrie,related,word,word,0.711411622868215
acum,știi,related,word,word,0.184528232391999
nud,gol,related,word,word,0.358704014285742
număr,adresă,related,word,word,0.358021208668904
obiect,subiect,related,word,word,0.475456271625344
observație,evaluare,related,word,word,0.357535361708823
obstacol,provocare,related,word,word,0.340395334893663
ocazional,rareori,related,word,word,0.405849375917865
avea loc,întâmpla,related,word,word,
oferi,da,related,word,word,0.165012977121993
în mod oficial,oficial,related,word,word,
în regulă,da,related,word,word,
vechi,tânăr,related,word,word,0.255180334952204
unu,trei,related,word,word,0.495484123229815
deschide,închide,related,word,word,0.721474675050312
deschidere,închidere,related,word,word,0.748792358919028
a opera,intervenție chirurgicală,related,word,word,
operațional,funcţional,related,word,word,0.416223199155314
opinie,atitudine,related,word,word,0.38554881420583
opus,contrar,related,word,word,0.421515180000333
optimist,realist,related,word,word,0.510341955888839
orchestră,trupă,related,word,word,0.584187647907646
comun,obișnuit,related,word,word,0.2006475377387
orgasm,erecție,related,word,word,0.338490615768821
original,copie,related,word,word,0.405163739112564
orfelinat,mănăstire,related,word,word,0.473424910210519
afară,despre,related,word,word,0.170257390233128
afară,înăuntru,related,word,word,0.532628496207868
cuptor,sobă,related,word,word,0.507779964113818
pacific,atlantic,related,word,word,0.638814533582511
pictare,desenare,related,word,word,0.577079351594953
palat,castel,related,word,word,0.684552154407543
hârtie,pix,related,word,word,0.487904100120362
paradis,iad,related,word,word,0.49909976543368
paranoic,nebun,related,word,word,0.592994630652231
parlament,senat,related,word,word,0.494065439024421
pasager,șofer,related,word,word,0.346472314969273
răbdare,compasiune,related,word,word,0.445714963900165
pacient,client,related,word,word,
penalizare,încarcerare,related,word,word,0.358133374241533
pensie,salariu,related,word,word,0.466078726416004
permisiune,aprobare,related,word,word,0.636294801630417
persoană,individual,related,word,word,0.302382998299993
personal,intim,related,word,word,0.409943438819997
fază,perioadă,related,word,word,0.481683912619922
fenomen,eveniment,related,word,word,0.523243996191704
filozofie,religie,related,word,word,0.553170363620824
