"nl_target","nl_cue","nl_fake_cue","nl_fake_target","en_cue","en_target"
"dorp","kamp","kadi","doté","camp","village"
"dorst","honger","masger","uurst","hunger","thirst"
"draad","kabel","karij","feaad","cable","wire"
"draaien","draai","feaai","brooden","turn","rotate"
"drie","een","azn","thie","one","three"
"driehoek","cirkel","ruskel","drieries","circle","triangle"
"dronken","nuchter","gustter","jongken","sober","drunk"
"droom","nachtmerrie","vliegmerrie","feoom","nightmare","dream"
"drugs","alcohol","alcotech","drlis","alcohol","drug"
"druk","puls","puop","feuk","pulse","pressure"
"druk op","knop","knec","drukbam","button","press"
"duidelijk","duidelijk","duidesche","duidesche","clearly","obviously"
"duim","vinger","helger","duci","finger","thumb"
"duivel","engel","enrij","servel","angel","devil"
"dynamiet","buskruit","busbrast","dynakaal","gunpowder","dynamite"
"echt","waar","snar","ecnk","TRUE","real"
"echt","eigenlijk","eigendrup","ecnk","actually","really"
"eend","gans","galm","eepl","goose","duck"
"eenvoudig","onmogelijk","onmogesteld","hartvoudig","impossible","easy"
"eenvoudig","eenvoudig","eenheiddig","hartvoudig","simply","simple"
"eer","voorrecht","voorzorgs","azr","privilege","honor"
"eerlijk","redelijk","redesche","dialijk","decent","honest"
"eerlijkheid","loyaliteit","loyaligings","eerwaarheid","loyalty","honesty"
"effect","invloed hebben","instinc hebben","efmerk","influence","effect"
"effectief","bruikbaar","frankbaar","effecford","useful","effective"
"egoïstisch","eigenwijs","eigenslag","egoïsbrood","stubborn","selfish"
"ei","nest","neum","wn","nest","egg"
"eigenaar","eigenschap","eigenstrij","eigeluid","property","owner"
"elegant","modieus","modicher","samgant","fashionable","elegant"
"elektriciteit","huidige","borodige","moordtriciteit","current","electricity"
"elektrisch","magnetisch","magnemings","kruitrisch","magnetic","electric"
"element","factor","gettor","konment","factor","element"
"ellendig","miserabel","miseramisch","elspoedig","miserable","pathetic"
"emotioneel","mentaal","distaal","emotiokaart","mental","emotional"
"energie","stroom","strowe","enertel","power","energy"
"eng","eng","oeg","oeg","scary","creepy"
"epidemie","pest","peno","vormdemie","plague","epidemic"
"erectie","orgasme","orblieme","spretie","orgasm","erection"
"ergens","ergens anders","ergens asoula","erberg","elsewhere","somewhere"
"erven","erfenis","erfereer","ertie","heritage","inherit"
"eten","voer","ixer","yoen","feed","eat"
"evaluatie","observatie","observalerya","spookluatie","observation","evaluation"
"evenement","fenomeen","fenolost","evenetijd","phenomenon","event"
"excuus","vergeven","vergeboor","exkeup","forgive","excuse"
"executie","hangend","welgend","koopcutie","hanging","execution"
"explosie","aardbeving","aardberech","explokers","earthquake","explosion"
"explosief","bom","imm","explogram","bomb","explosive"
"extern","intern","inhech","extand","internal","external"
"familie","clan","kian","famipers","clan","family"
"fantasie","realiteit","realigings","sekstasie","reality","fantasy"
"fantastisch","prachtig","braaktig","fantasteerd","wonderful","fantastic"
"fataal","dodelijk","dodesche","fabiel","deadly","fatal"
"fax","mail","maft","exx","mail","fax"
"federatie","kolonie","kolovend","federamount","colony","federation"
"festival","carnaval","carnablij","kicktival","carnival","festival"
"film","porno","redno","fiew","porn","movie"
"financieel","bank-","jenk","financikaart","banking","financial"
"financiering","financieel","financikaart","financieteerd","financially","financing"
"financiering","begroting","begrobaar","financieteerd","budget","funding"
"finish","einde","slode","ficast","end","finish"
"fles","glas","tras","lyes","glass","bottle"
"fluit","hoorn","storn","kuuit","horn","whistle"
"fornuis","oven","eyen","fornijd","oven","stove"
"foto","afbeelding","afvuurding","foler","picture","photo"
"fotograaf","handtekening","kweektekening","fotonacht","autograph","photographer"
"frans","engels","enteem","frlls","english","french"
"fraude","complot","comwold","zwande","conspiracy","fraud"
"frisdrank","limonade","liteitsnade","rotsdrank","lemonade","soda"
"fruit","appel","aplin","frint","apple","fruit"
"fugitief","vluchteling","zachtteling","fugibral","refugee","fugitive"
"functioneel","operationeel","operatiostrijd","pleegtioneel","operational","functional"
"fysiek","seksueel","prossueel","fyrith","sexual","physical"
"gaan","binnenkomen","hoofdnenkomen","gamo","enter","go"
"garage","workshop","worksens","garageschreeuwd","workshop","garage"
"gat","scheur","scherz","odt","crack","hole"
"gebeuren","voorkomen","liefkomen","gemontren","occur","happen"
"gebouw","toren","togra","gedruk","tower","building"
"gebruikelijk","normaal","normens","gehaaldkelijk","ordinary","usual"
"gebruikelijk","normaal gesproken","normaal gesprstruik","gehaaldkelijk","normally","usually"
"gebruiken","van toepassing zijn","van toepalingstaart","geklinken","apply","use"
"gedicht","tekst","tenot","gericks","text","poem"
"geel","rood","rola","kjel","red","yellow"
"geest","ziel","ouel","geïlt","soul","spirit"
"gek","paranoïde","paranoïdevereaux","nsk","paranoid","crazy"
"geld","contant geld","contantgents","geap","cash","money"
"gelofte","zweer","oueer","gebedste","swear","oath"
"geloof","filosofie","filosolaars","gebots","philosophy","religion"
"geluid","lawaai","lacall","gevoud","noise","sound"
"gemeenschap","samenleving","samenleseerd","gemeenseerd","society","community"
"genade","vergiffenis","verschuifenis","gebiedde","forgiveness","mercy"
"genereus","medelijdend","medelijkaart","geneklet","compassionate","generous"
"genezen","herstellen","hergroelen","genelijk","recover","heal"
"gerechtigheid","wraak","wrikk","gestaantigheid","revenge","justice"
"geschenk","compliment","complitijd","geschaal","compliment","gift"
"gesloten","op slot","opchoot","getjesten","locked","closed"
"getrouwd","enkel","ensce","getreerd","single","married"
"getuigenis","getuige","gevensge","gezwaargenis","witness","testimony"
"geur","smaak","vraak","geës","taste","smell"
"gevaar","risico","risiteit","gevens","risk","danger"
"gevaarlijk","riskant","alakant","genootlijk","risky","dangerous"
"gevangene","gegijzelde","geknaldzelde","gedichtgene","hostage","prisoner"
"gevangenis","cel","uml","gevangeteerd","cell","prison"
"gevangenisstraf","straf","koraf","gevangenisknecht","penalty","imprisonment"
"gevecht","gevecht","getaart","getaart","combat","fight"
"geven","aanbieding","aanbietjes","getje","offer","give"
"gevoel","indruk","indert","gedoor","impression","feeling"
"gevoelig","delicaat","delivoel","gevoement","delicate","sensitive"
"geweldig","indrukwekkend","inschatwekkend","gesprodig","impressive","amazing"
"gezag","jurisdictie","juriskeerdtie","gedos","jurisdiction","authority"
"gisteren","vandaag","vanvans","stofteren","today","yesterday"
"gitaar","piano","piaties","gihals","piano","guitar"
"globaal","nationaal","natiofeest","curbaal","national","global"
"goddelijk","god","oyd","goddesche","god","divine"
"goedkeuring","toestemming","toelaatming","venskeuring","permission","approval"
"goedkoop","duur","dugs","goedhout","expensive","cheap"
"gorilla","aap","ryp","gozersla","monkey","gorilla"
"gram","kilo","verlo","grin","kilo","gram"
"grap","truc","trpé","grol","trick","joke"
"grappig","ad rem","adroen","zwakpig","witty","funny"
"gravin","baron","baket","menvin","baron","countess"
"grieks","roman","roris","grieft","roman","greek"
"groep","bende","forde","grimp","gang","group"
"grondwet","wet","obt","grondcum","law","constitution"
"groot","excellent","exceltrie","grist","excellent","great"
"grootmoeder","grootvader","rechtvader","rechtmoeder","grandfather","grandmother"
"hagedis","kikker","tacker","hagemerd","frog","lizard"
"hallucinatie","illusie","illugash","sneeuwlucinatie","illusion","hallucination"
"halsketting","ring","rito","veerketting","ring","necklace"
"hamburger","broodje","treinje","bergburger","sandwich","hamburger"
"hamer","stok","stui","harad","stick","hammer"
"handdoek","deken","depor","handreed","blanket","towel"
"handelaar","reclame","rekendme","handeving","commercial","merchant"
"handelen","gebaar","geplan","werkdelen","gesture","act"
"handtekening","stempel","stemmin","sleeptekening","stamp","signature"
"harmonie","balans","batros","harmoment","balance","harmony"
"haven","baai","etai","hatje","bay","harbor"
"heel","extreem","exteeld","heza","extremely","very"
"heelal","universum","univergeer","diefal","universe","galaxy"
"heerlijkheid","glorieus","aquarieus","maatlijkheid","glorious","glory"
"heks","vloek","vleik","heno","curse","witch"
"hel","paradijs","paraturn","ool","paradise","hell"
"helder","schijnen","smaaknen","casder","shine","bright"
"helikopter","ambulance","ambuteursce","helisplinter","ambulance","helicopter"
"helpen","helpen","caspen","caspen","help","assist"
"hemels","lucht","ischt","hebaas","sky","heavenly"
"herfst","voorjaar","vensjaar","hecast","spring","autumn"
"heroïne","cocaïne","kerstcaïne","mephistopheroïne","cocaine","heroin"
"het werk","functie","spectie","hetsperd","job","work"
"hiv","aids","aisy","bov","aids","hiv"
"hoed","helm","heeu","houn","helmet","hat"
"hoeveelheid","som","iem","hoeveelvoor","sum","amount"
"homo","lesbienne","strafbienne","hokie","lesbian","gay"
"honderd","duizend","opezend","honwell","thousand","hundred"
"hongerig","moe","uie","platgerig","tired","hungry"
"hoofdkwartier","baseren","baselijk","hoofdkwarhoud","base","headquarters"
"hoog","laag","lary","horo","low","high"
"hoogheid","majesteit","majesklan","vlugheid","majesty","highness"
"hoogte","gewicht","gelisch","meente","weight","height"
"horen","luister","kleiter","holis","listen","hear"
"horloge","kijk","kinh","elekloge","look","watch"
"hou op","voorkomen","liefkomen","hocoop","prevent","stop"
"houden","houden","criden","turden","hold","keep"
"houding","mening","merick","kwading","opinion","attitude"
"hulp in de huishouding","oppas","opdek","hulp in de huissiopeia","nanny","maid"
"huur","arbeidskracht","ardrijfkracht","hucy","hire","rent"
"huwelijk","scheiding","spoedding","huwetens","divorce","marriage"
"idioot","gek","uuk","idizic","fool","idiot"
"iets","niets","muets","ents","nothing","something"
"individueel","persoon","permeen","individustrijd","person","individual"
"indruk maken","vleien","smelen","indruk mlijfd","flatter","impress"
"infectie","virus","vidon","instrutie","virus","infection"
"informant","bron","geon","infordorp","source","informant"
"informatie","gegevens","gegejaar","inschatmatie","data","information"
"informeren","verslag doen van","verslag doetroit","ingingsmeren","report","inform"
"ingang","uitgang","uitraar","inzend","exit","entrance"
"inhoud","bevatten","belooften","insend","contain","content"
"injectie","dosis","dotan","instratie","dose","injection"
"inkomen","winst","wiurt","inkowitz","profit","income"
"insect","spin","grin","innesh","spider","insect"
"inspectie","inspectie","inadoptie","inadoptie","examination","inspection"
"inspiratie","inspireren","inzoeksreren","ingrondratie","inspire","inspiration"
"instorten","val","ull","inzochten","fall","collapse"
"instrument","hulpmiddel","branmiddel","intainment","tool","instrument"
"intelligent","slim","slur","intellivraag","smart","intelligent"
"interessant","spannend","stofnend","interesmoord","exciting","interesting"
"intiem","persoonlijk","pervaarlijk","inween","personal","intimate"
"intuïtie","instinct","inschoot","intuïschap","instinct","intuition"
"investeren","financiën","ficeerdciën","inschatteren","finance","invest"
"ironisch","ironie","julnie","raknisch","irony","ironic"
"ja","oke","ime","py","okay","yeah"
"jasje","shirt","shrdt","zenje","shirt","jacket"
"jeugd","jeugd","jeced","jeced","youth","childhood"
"jong","oud","zwd","joli","old","young"
"jongen","meisje","spieje","kergen","girl","boy"
"journalist","verslaggever","verheidsgever","journaspel","reporter","journalist"
"juli","juni","judel","trali","june","july"
"juliet","romeo","rojay","jumont","romeo","juliet"
"junior","senior","sehulpor","juhulpor","senior","junior"
"jurk","rok","éik","zark","skirt","dress"
"juweel","diamant","diagist","juques","diamond","jewel"
"kaars","lamp","lako","kamis","lamp","candle"
"kaart","kompas","bakpas","kadot","compass","map"
"kaas","brood","slood","kape","bread","cheese"
"kalkoen","kip","ilp","kaldons","chicken","turkey"
"kalm","stil","stea","kaeu","quiet","calm"
"kampioenschap","concurrentie","contractrentie","kampioenfonds","competition","championship"
"kanker","tumor","tuheb","kanman","tumor","cancer"
"kantoor","bureau","buzaal","kanvoel","desk","office"
"kapel","kerk","gork","katho","church","chapel"
"kapitalisme","anarchie","anarmijn","kapitacheerdme","anarchy","capitalism"
"kapitein","commandant","commanchie","kapirurg","commander","captain"
"kardinaal","bisschop","golschop","kardivers","bishop","cardinal"
"kartel","maffia","mafgot","vretel","mafia","cartel"
"kast","kastje","vangje","kaum","cabinet","closet"
"kasteel","paleis","pacept","kastans","palace","castle"
"kat","hond","hoit","sht","dog","cat"
"katoen","zijde","reide","kacoro","silk","cotton"
"kauwen","slikken","enigken","neiwen","swallow","chew"
"keizer","keizerlijk","keizerster","grozer","imperial","emperor"
"kennis","beleven","beleraar","chinis","experience","knowledge"
"kiezer","kandidaat","kandiform","haszer","candidate","voter"
"kind","baby","bawen","kimu","baby","child"
"klassiek","typisch","tydicht","klasheel","typical","classic"
"klein","klein","abein","klron","little","small"
"kliniek","ziekenhuis","ziekenming","gieniek","hospital","clinic"
"klooster","tempel","shipel","flitster","temple","monastery"
"klooster","weeshuis","cleahuis","flitster","orphanage","convent"
"kneuzing","kras","gias","beekzing","scratch","bruise"
"knie","schouder","stoomder","stie","shoulder","knee"
"knuffel","kus","fls","kookfel","kiss","hug"
"koel","warm","waof","zwel","warm","cool"
"koffer","aktentas","aktenkerk","zuifer","briefcase","suitcase"
"koffie","beker","begra","zuifie","cup","coffee"
"kogel","kaliber","kalitijd","kolie","caliber","bullet"
"kolonel","algemeen","algekaas","koloshow","general","colonel"
"komedie","drama","redma","komespot","drama","comedy"
"komen","aankomen","moetkomen","kotje","arrive","come"
"konijn","vos","uts","kowiel","fox","rabbit"
"koning","koningin","koninmaat","kobaar","queen","king"
"koninkrijk","koninklijk","kowaarlijk","koninkstel","royal","kingdom"
"kont","kont","stnt","ount","ass","butt"
"koorts","hoest","hourt","korats","cough","fever"
"koper","verkoper","verkoning","konin","seller","buyer"
"kopiëren","origineel","origiving","kopiënisch","original","copy"
"koud","heet","hepa","koac","hot","cold"
"kracht","kracht","kracik","euacht","strength","force"
"krant-","artikel","articaan","feant","article","newspaper"
"kreeft","tonijn","toligd","kreens","tuna","lobster"
"kunstmatig","natuurlijk","namoeilijk","dingsmatig","natural","artificial"
"kust","strand","strait","kuum","beach","coast"
"kwaliteit","hoeveelheid","hoewijsheid","kwaliland","quantity","quality"
"kwartaal","half","hatz","spertaal","half","quarter"
"laatst","eerst","carst","laatch","first","last"
"lachen","glimlach","glimcast","lapend","smile","laugh"
"lading","laden","lator","latief","load","cargo"
"landheer","huurder","teerder","landkaar","tenant","landlord"
"lang","kort","uurt","laza","short","long"
"laten","toestaan","toestuur","laris","allow","let"
"leeuw","draak","feaak","lejow","dragon","lion"
"legende","mythe","mybox","leraarde","myth","legend"
"leger","legioen","leginaal","letje","legion","army"
"leger","civiel","ciwick","letje","civil","military"
"leider","lid","céd","gunder","member","leader"
"lelijk","digst","difft","leving","digusting","ugly"
"lengte","maat","maro","beurte","size","length"
"lening","credit","stodit","lemans","credit","loan"
"leren","leren","letje","letje","learn","teach"
"leugenaar","leugen","hamgen","leugereed","lie","liar"
"lever","nier","nith","letje","kidney","liver"
"lezing","seminarie","seminaschok","lenier","seminar","lecture"
"liberaal","conservatief","conservalerya","libewick","conservative","liberal"
"licht","duisternis","softternis","bucht","darkness","light"
"liedje","album","alsië","luxuje","album","song"
"lief","leuk","leër","liai","nice","lovely"
"liefde","een hekel hebben aan","een hekel hebbpluutjes","geerde","hate","love"
"lijk","lichaam","litract","lihr","body","corpse"
"likken","zuigen","kofgen","gauken","suck","lick"
"limousine","taxi","tagé","livingssine","taxi","limousine"
"ling","ming","misu","reng","ming","ling"
"links","rechtsaf","slachtaf","likas","right","left"
"literatuur","kunst","kumat","literamaakt","art","literature"
"litteken","tatoeëren","talingsëren","krypteken","tattoo","scar"
"lokaal","regionaal","regiofeest","lovang","regional","local"
"losgeld","ontvoerder","ontsluider","thegeld","kidnapper","ransom"
"luchthaven","terminal","termiches","amanthaven","terminal","airport"
"luitenant","sergeant","sergecier","luitetigd","sergeant","lieutenant"
"lunch","snack","snikk","lugah","snack","lunch"
"maaltijd","voedsel","woonsel","huiltijd","food","meal"
"machine","robot","ropin","mawaarne","robot","machine"
"machteloos","hulpeloos","hulpening","brilteloos","helpless","powerless"
"mamma","papa","compa","froma","daddy","mum"
"manipuleren","controle","conoverle","manipuleplaats","control","manipulate"
"marine","marine","mawaarne","mawaarne","marine","navy"
"marketing","reclame","rekendme","markevers","advertising","marketing"
"marteling","kwelling","chesling","marteraar","torment","torture"
"massage","yoga","vrega","liefsage","yoga","massage"
"matroos","piraat","pikomt","maklooi","pirate","sailor"
"maximum","minimum","minibalk","maxiens","minimum","maximum"
"mayonaise","ketchup","ketcold","truelonaise","ketchup","mayonnaise"
"mechanisch","technisch","stelnisch","mechahoofd","technical","mechanical"
"medaille","trofee","trogly","megentle","trophy","medal"
"medaillon","artefact","artesche","merendlon","artifact","medallion"
"medeleven","geduld","gehuur","medelescoop","patience","compassion"
"meel","korrel","kortas","meht","grain","flour"
"meer","rivier","rihing","sner","river","lake"
"meisjes","jongens","katgens","vliejes","boys","girls"
"mengsel","combinatie","teitsbinatie","borgsel","combination","mixture"
"menselijk","mens","meca","menserend","man","human"
"mensen","bevolking","bevoltooi","grasen","population","people"
"mes","zwaard","ouaard","lds","sword","knife"
"metaal","ijzer","ijdag","meclub","iron","metal"
"meter","kilometer","kilomenings","melij","kilometer","meter"
"microfoon","camera","cametjes","microback","camera","microphone"
"microscoop","telescoop","telegooid","microgooid","telescope","microscope"
"middag","middernacht","midderquist","veidag","midnight","noon"
"mier","bij","vaj","dwer","bee","ant"
"miljard","miljoen","milholm","milhood","million","billion"
"minister","ambassadeur","ambassastaan","mivechter","ambassador","minister"
