"nl_cue","nl_target","type","cue_type","target_type","nl_cosine"
"spanning","depressie","related","word","word",0.302387745421098
"tussenpersoon","detective","related","word","word",0.262941852384576
"raam","deur-","related","word","word",NA
"open","dichtbij","related","word","word",0.117133977574705
"beest","dier","related","word","word",0.646296374686597
"dun","dik","related","word","word",0.642403384983196
"ping","ding","related","word","word",0.168695033891662
"maandag","dinsdag","related","word","word",0.789742951769842
"direct","direct","related","word","word",1
"gesprek","discussie","related","word","word",0.564379669168506
"eenheid","divisie","related","word","word",0.512241332218833
"student","docent","related","word","word",0.622516354662706
"het dossier","document","related","word","word",NA
"vergif","doden","related","word","word",0.257912639169881
"hallo","doei","related","word","word",0.472327254387649
"maken","doen","related","word","word",0.377350398204152
"pond","dollar","related","word","word",0.577715666718962
"naief","dom","related","word","word",0.594642139685831
"krankzinnigheid","domheid","related","word","word",0.566580289358545
"bliksem","donder","related","word","word",0.522258040847346
"schaduw","donker","related","word","word",0.474003857382507
"in leven","dood","related","word","word",NA
"lijden","dood gaan","related","word","word",NA
"blind","doof","related","word","word",0.59713406290432
"doorgaan","doorgaan","related","word","word",1
"kamp","dorp","related","word","word",0.575324845331634
"honger","dorst","related","word","word",0.720207196677295
"kabel","draad","related","word","word",0.554218829708239
"draai","draaien","related","word","word",0.711369261983861
"een","drie","related","word","word",0.206198349603276
"cirkel","driehoek","related","word","word",0.485579474191445
"nuchter","dronken","related","word","word",0.525502780686761
"nachtmerrie","droom","related","word","word",0.643229087621526
"alcohol","drugs","related","word","word",0.621971592326325
"puls","druk","related","word","word",0.177017545983454
"knop","druk op","related","word","word",NA
"duidelijk","duidelijk","related","word","word",1
"vinger","duim","related","word","word",0.658003038335592
"engel","duivel","related","word","word",0.577793929282434
"buskruit","dynamiet","related","word","word",0.507528929669051
"waar","echt","related","word","word",0.288190124315765
"eigenlijk","echt","related","word","word",0.411651872145782
"gans","eend","related","word","word",0.51339979883818
"onmogelijk","eenvoudig","related","word","word",0.479025517736328
"eenvoudig","eenvoudig","related","word","word",1
"voorrecht","eer","related","word","word",0.534556309310717
"redelijk","eerlijk","related","word","word",0.432582353418728
"loyaliteit","eerlijkheid","related","word","word",0.624947006589508
"invloed hebben","effect","related","word","word",NA
"bruikbaar","effectief","related","word","word",0.420743197837252
"eigenwijs","egoïstisch","related","word","word",0.615489779368538
"nest","ei","related","word","word",0.472894563610997
"eigenschap","eigenaar","related","word","word",0.131303561985036
"modieus","elegant","related","word","word",0.517327477983159
"huidige","elektriciteit","related","word","word",0.113688866938902
"magnetisch","elektrisch","related","word","word",0.578363460082775
"factor","element","related","word","word",0.358712947959703
"miserabel","ellendig","related","word","word",0.676074116961159
"mentaal","emotioneel","related","word","word",0.619741021570661
"stroom","energie","related","word","word",0.561360869697978
"eng","eng","related","word","word",1
"pest","epidemie","related","word","word",0.473478568393297
"orgasme","erectie","related","word","word",0.487567083160159
"ergens anders","ergens","related","word","word",NA
"erfenis","erven","related","word","word",0.496879721166424
"voer","eten","related","word","word",0.263175356862352
"observatie","evaluatie","related","word","word",0.469761582752866
"fenomeen","evenement","related","word","word",0.356990724272732
"vergeven","excuus","related","word","word",0.27933312575327
"hangend","executie","related","word","word",0.203200511452208
"aardbeving","explosie","related","word","word",0.58037522940474
"bom","explosief","related","word","word",0.610478006152161
"intern","extern","related","word","word",0.636726156805866
"clan","familie","related","word","word",0.501065911869776
"realiteit","fantasie","related","word","word",0.521655704363171
"prachtig","fantastisch","related","word","word",0.750564526963063
"dodelijk","fataal","related","word","word",0.628888397154183
"mail","fax","related","word","word",0.556084579409931
"kolonie","federatie","related","word","word",0.48195199536537
"carnaval","festival","related","word","word",0.467091053590449
"porno","film","related","word","word",0.487747698539435
"bank-","financieel","related","word","word",NA
"financieel","financiering","related","word","word",0.511127450949106
"begroting","financiering","related","word","word",0.517806841433621
"einde","finish","related","word","word",0.252179782264022
"glas","fles","related","word","word",0.563413167922872
"hoorn","fluit","related","word","word",0.445526802028134
"oven","fornuis","related","word","word",0.632614337435266
"afbeelding","foto","related","word","word",0.553207388119467
"handtekening","fotograaf","related","word","word",0.225828651866888
"engels","frans","related","word","word",0.754251695321456
"complot","fraude","related","word","word",0.344703358560965
"limonade","frisdrank","related","word","word",0.621161677860801
"appel","fruit","related","word","word",0.49254044847296
"vluchteling","fugitief","related","word","word",NA
"operationeel","functioneel","related","word","word",0.616983642938533
"seksueel","fysiek","related","word","word",0.556155417671669
"binnenkomen","gaan","related","word","word",0.333007372496372
"workshop","garage","related","word","word",0.258028318803581
"scheur","gat","related","word","word",0.495614381515188
"voorkomen","gebeuren","related","word","word",0.297806168994009
"toren","gebouw","related","word","word",0.433919317813978
"normaal","gebruikelijk","related","word","word",0.403190007269293
"normaal gesproken","gebruikelijk","related","word","word",NA
"van toepassing zijn","gebruiken","related","word","word",NA
"tekst","gedicht","related","word","word",0.479096776267301
"rood","geel","related","word","word",0.744875606953406
"ziel","geest","related","word","word",0.6082063345501
"paranoïde","gek","related","word","word",0.48699843075621
"contant geld","geld","related","word","word",NA
"zweer","gelofte","related","word","word",0.278253851376195
"filosofie","geloof","related","word","word",0.310268891296222
"lawaai","geluid","related","word","word",0.668763239792177
"samenleving","gemeenschap","related","word","word",0.66100458685598
"vergiffenis","genade","related","word","word",0.639804045991112
"medelijdend","genereus","related","word","word",0.301010947989101
"herstellen","genezen","related","word","word",0.505557218827881
"wraak","gerechtigheid","related","word","word",0.516823597970444
"compliment","geschenk","related","word","word",0.475569164110141
"op slot","gesloten","related","word","word",NA
"enkel","getrouwd","related","word","word",0.0435972321342785
"getuige","getuigenis","related","word","word",0.569719021190274
"smaak","geur","related","word","word",0.537958969087406
"risico","gevaar","related","word","word",0.597961344896586
"riskant","gevaarlijk","related","word","word",0.642995966749527
"gegijzelde","gevangene","related","word","word",0.386489151105618
"cel","gevangenis","related","word","word",0.738819770983844
"straf","gevangenisstraf","related","word","word",0.70304166322748
"gevecht","gevecht","related","word","word",1
"aanbieding","geven","related","word","word",0.134368401992525
"indruk","gevoel","related","word","word",0.244200739412493
"delicaat","gevoelig","related","word","word",0.500610073089384
"indrukwekkend","geweldig","related","word","word",0.504405131035307
"jurisdictie","gezag","related","word","word",0.512954024399533
"vandaag","gisteren","related","word","word",0.610352562409144
"piano","gitaar","related","word","word",0.626691078741005
"nationaal","globaal","related","word","word",0.375669863368257
"god","goddelijk","related","word","word",0.494061416918746
"toestemming","goedkeuring","related","word","word",0.681733745075359
"duur","goedkoop","related","word","word",0.5913276096458
"aap","gorilla","related","word","word",0.620262402698269
"kilo","gram","related","word","word",0.572205576569667
"truc","grap","related","word","word",0.486906290964762
"ad rem","grappig","related","word","word",NA
"baron","gravin","related","word","word",0.340881111325847
"roman","grieks","related","word","word",0.144092903503377
"bende","groep","related","word","word",0.562890568194018
"wet","grondwet","related","word","word",0.640692090476474
"excellent","groot","related","word","word",0.158730375197876
"grootvader","grootmoeder","related","word","word",0.645703908809248
"kikker","hagedis","related","word","word",0.511609433982676
"illusie","hallucinatie","related","word","word",0.428140619058757
"ring","halsketting","related","word","word",0.555473072840247
"broodje","hamburger","related","word","word",0.591935617812305
"stok","hamer","related","word","word",0.519988657271011
"deken","handdoek","related","word","word",0.563513971272889
"reclame","handelaar","related","word","word",0.165518622255113
"gebaar","handelen","related","word","word",0.234540391556083
"stempel","handtekening","related","word","word",0.533798431728831
"balans","harmonie","related","word","word",0.43228524123261
"baai","haven","related","word","word",0.573925572178688
"extreem","heel","related","word","word",0.430463400364164
"universum","heelal","related","word","word",0.851122592351965
"glorieus","heerlijkheid","related","word","word",0.377078136526433
"vloek","heks","related","word","word",0.507713103033841
"paradijs","hel","related","word","word",0.422703287591291
"schijnen","helder","related","word","word",0.366088351097765
"ambulance","helikopter","related","word","word",0.524046943987089
"helpen","helpen","related","word","word",1
"lucht","hemels","related","word","word",0.338404946530526
"voorjaar","herfst","related","word","word",0.678206181507997
"cocaïne","heroïne","related","word","word",0.770215536252484
"functie","het werk","related","word","word",NA
"aids","hiv","related","word","word",0.568949540061816
"helm","hoed","related","word","word",0.526160610402686
"som","hoeveelheid","related","word","word",0.334405894303641
"lesbienne","homo","related","word","word",0.586238062339424
"duizend","honderd","related","word","word",0.730422896714506
"moe","hongerig","related","word","word",0.525992628000452
"baseren","hoofdkwartier","related","word","word",0.121015754037
"laag","hoog","related","word","word",0.672524269467701
"majesteit","hoogheid","related","word","word",0.691228424834235
"gewicht","hoogte","related","word","word",0.311578227926227
"luister","horen","related","word","word",0.317784027575564
"kijk","horloge","related","word","word",0.172441696557441
"voorkomen","hou op","related","word","word",NA
"houden","houden","related","word","word",1
"mening","houding","related","word","word",0.289877663235226
"oppas","hulp in de huishouding","related","word","word",NA
"arbeidskracht","huur","related","word","word",0.327198739574269
"scheiding","huwelijk","related","word","word",0.518836237396417
"gek","idioot","related","word","word",0.522370845746847
"niets","iets","related","word","word",0.616338570882091
"persoon","individueel","related","word","word",0.365095403497499
"vleien","indruk maken","related","word","word",NA
"virus","infectie","related","word","word",0.589324094851818
"bron","informant","related","word","word",0.423710788491822
"gegevens","informatie","related","word","word",0.630714563222172
"verslag doen van","informeren","related","word","word",NA
"uitgang","ingang","related","word","word",0.717625861631882
"bevatten","inhoud","related","word","word",0.360312379360444
"dosis","injectie","related","word","word",0.579026379086508
"winst","inkomen","related","word","word",0.466397355763994
"spin","insect","related","word","word",0.533405700007048
"inspectie","inspectie","related","word","word",1
"inspireren","inspiratie","related","word","word",0.577260032139543
"val","instorten","related","word","word",0.304835301390233
"hulpmiddel","instrument","related","word","word",0.424694659769163
"slim","intelligent","related","word","word",0.658346056142026
"spannend","interessant","related","word","word",0.658423155912977
"persoonlijk","intiem","related","word","word",0.342941990332452
"instinct","intuïtie","related","word","word",0.715516618098269
"financiën","investeren","related","word","word",0.331464456318097
"ironie","ironisch","related","word","word",0.595654901112493
"oke","ja","related","word","word",0.604553727783357
"shirt","jasje","related","word","word",0.707835619524026
"jeugd","jeugd","related","word","word",1
"oud","jong","related","word","word",0.515908705450661
"meisje","jongen","related","word","word",0.627581927415006
"verslaggever","journalist","related","word","word",0.776541442844983
"juni","juli","related","word","word",0.650350141898827
"romeo","juliet","related","word","word",0.62352689399736
"senior","junior","related","word","word",0.459045974377757
"rok","jurk","related","word","word",0.674087182996398
"diamant","juweel","related","word","word",0.536795256315467
"lamp","kaars","related","word","word",0.60418174052106
"kompas","kaart","related","word","word",0.412163671930279
"brood","kaas","related","word","word",0.561049527767122
"kip","kalkoen","related","word","word",0.672834085992671
"stil","kalm","related","word","word",0.535198202622612
"concurrentie","kampioenschap","related","word","word",0.179481366508502
"tumor","kanker","related","word","word",0.609462126160157
"bureau","kantoor","related","word","word",0.717867116623301
"kerk","kapel","related","word","word",0.632015308721333
"anarchie","kapitalisme","related","word","word",0.501270358308425
"commandant","kapitein","related","word","word",0.645174188291021
"bisschop","kardinaal","related","word","word",0.618393279165529
"maffia","kartel","related","word","word",0.518612195967528
"kastje","kast","related","word","word",0.607957806185509
"paleis","kasteel","related","word","word",0.62948673126545
"hond","kat","related","word","word",0.713629687050368
"zijde","katoen","related","word","word",0.265439452072832
"slikken","kauwen","related","word","word",0.454376030373462
"keizerlijk","keizer","related","word","word",0.667560179061276
"beleven","kennis","related","word","word",0.185182894106687
"kandidaat","kiezer","related","word","word",0.499318090809042
"baby","kind","related","word","word",0.654867650262252
"typisch","klassiek","related","word","word",0.379095652145454
"klein","klein","related","word","word",1
"ziekenhuis","kliniek","related","word","word",0.614326779292353
"tempel","klooster","related","word","word",0.521138148081991
"weeshuis","klooster","related","word","word",0.534508748948611
"kras","kneuzing","related","word","word",0.481495809716418
"schouder","knie","related","word","word",0.554408024002754
"kus","knuffel","related","word","word",0.625378802302009
"warm","koel","related","word","word",0.575157063600435
"aktentas","koffer","related","word","word",0.571668859543606
"beker","koffie","related","word","word",0.323851328111795
"kaliber","kogel","related","word","word",0.491067990472474
"algemeen","kolonel","related","word","word",0.14172227561937
"drama","komedie","related","word","word",0.51679018757544
"aankomen","komen","related","word","word",0.40720312734622
"vos","konijn","related","word","word",0.539750482052834
"koningin","koning","related","word","word",0.772566679081942
"koninklijk","koninkrijk","related","word","word",0.451703165832432
"kont","kont","related","word","word",1
"hoest","koorts","related","word","word",0.579378286302304
"verkoper","koper","related","word","word",0.600904731274797
"origineel","kopiëren","related","word","word",0.382482847586618
"heet","koud","related","word","word",0.331460237936146
"kracht","kracht","related","word","word",1
"artikel","krant-","related","word","word",NA
"tonijn","kreeft","related","word","word",0.536059575769607
"natuurlijk","kunstmatig","related","word","word",0.263378715355495
"strand","kust","related","word","word",0.513875620612144
"hoeveelheid","kwaliteit","related","word","word",0.413207981448152
"half","kwartaal","related","word","word",0.1316760773639
"eerst","laatst","related","word","word",0.383620864739237
"glimlach","lachen","related","word","word",0.420469773500251
"laden","lading","related","word","word",0.447030039778458
"huurder","landheer","related","word","word",0.347790411789904
"kort","lang","related","word","word",0.451267512127174
"toestaan","laten","related","word","word",0.297860898443158
"draak","leeuw","related","word","word",0.5062853278264
"mythe","legende","related","word","word",0.644063543627007
"legioen","leger","related","word","word",0.564457082467014
"civiel","leger","related","word","word",0.213766765038906
"lid","leider","related","word","word",0.477728060245348
"digst","lelijk","related","word","word",NA
"maat","lengte","related","word","word",0.307881214712615
"credit","lening","related","word","word",0.332494911275118
"leren","leren","related","word","word",1
"leugen","leugenaar","related","word","word",0.5750701683043
"nier","lever","related","word","word",0.600350465303585
"seminarie","lezing","related","word","word",0.318582547338998
"conservatief","liberaal","related","word","word",0.558327259913148
"duisternis","licht","related","word","word",0.452619926396041
"album","liedje","related","word","word",0.508558800216635
"leuk","lief","related","word","word",0.497773536999904
"een hekel hebben aan","liefde","related","word","word",NA
"lichaam","lijk","related","word","word",0.622401863627656
"zuigen","likken","related","word","word",0.527906786644001
"taxi","limousine","related","word","word",0.608532607919951
"ming","ling","related","word","word",0.597555605873416
"rechtsaf","links","related","word","word",0.655068345881461
"kunst","literatuur","related","word","word",0.542092143747389
"tatoeëren","litteken","related","word","word",0.431848697755497
"regionaal","lokaal","related","word","word",0.44006057055672
"ontvoerder","losgeld","related","word","word",0.505869263569219
"terminal","luchthaven","related","word","word",0.513851458259405
"sergeant","luitenant","related","word","word",0.625877407228388
"snack","lunch","related","word","word",0.50471967694932
"voedsel","maaltijd","related","word","word",0.490737613583768
"robot","machine","related","word","word",0.533017534235835
"hulpeloos","machteloos","related","word","word",0.675648548400075
"papa","mamma","related","word","word",0.756030499802951
"controle","manipuleren","related","word","word",0.252446082185668
"marine","marine","related","word","word",1
"reclame","marketing","related","word","word",0.47128349514544
"kwelling","marteling","related","word","word",0.544117751844964
"yoga","massage","related","word","word",0.539330301137606
"piraat","matroos","related","word","word",0.4488679767064
"minimum","maximum","related","word","word",0.633156113219045
"ketchup","mayonaise","related","word","word",0.630071050930503
"technisch","mechanisch","related","word","word",0.560755928403352
"trofee","medaille","related","word","word",0.517203002125039
"artefact","medaillon","related","word","word",0.424840498022698
"geduld","medeleven","related","word","word",0.501955162995141
"korrel","meel","related","word","word",0.307348863596683
"rivier","meer","related","word","word",0.168039154422916
"jongens","meisjes","related","word","word",0.732685317579815
"combinatie","mengsel","related","word","word",0.390408307932591
"mens","menselijk","related","word","word",0.577471732961041
"bevolking","mensen","related","word","word",0.409593563145614
"zwaard","mes","related","word","word",0.577445720269952
"ijzer","metaal","related","word","word",0.627658412045069
"kilometer","meter","related","word","word",0.66300403451779
"camera","microfoon","related","word","word",0.598523869644372
"telescoop","microscoop","related","word","word",0.538002521692494
"middernacht","middag","related","word","word",0.49583361229807
"bij","mier","related","word","word",0.0945011102461073
"miljoen","miljard","related","word","word",0.776255362016157
"ambassadeur","minister","related","word","word",0.538004076965202
"ambassade","ministerie","related","word","word",0.476831408501244
"minnares","minnaar","related","word","word",0.678814506744787
"plus","minus","related","word","word",0.492650680313555
"seconde","minuut","related","word","word",0.764678808776689
"armoede","mis","related","word","word",0.0443023649047103
"zonde","misdaad","related","word","word",0.46801829189241
"succes","mislukking","related","word","word",0.512997023535093
"diarree","misselijkheid","related","word","word",0.594788197551259
"taak","missie","related","word","word",0.507301096444407
"wolk","mist","related","word","word",0.288856272569311
"edele","moedig","related","word","word",0.28547706951169
"moeilijk","moeilijk","related","word","word",1
"kans","mogelijkheid","related","word","word",0.660197653139124
"mooi","mooi","related","word","word",1
"zelfmoord","moord","related","word","word",0.483673204231376
"moordenaar","moordenaar","related","word","word",1
"aspirine","morfine","related","word","word",0.589077681459084
"hotel","motel","related","word","word",0.739460009652615
"tank","motor","related","word","word",0.515888615488949
"bibliotheek","museum","related","word","word",0.441863893446871
"zanger","musicus","related","word","word",0.545568705220516
"evolutie","mutatie","related","word","word",0.500214313353134
"jazz-","muziek","related","word","word",NA
"geheim","mysterie","related","word","word",0.41335135765234
"naakt","naakt","related","word","word",1
"beschrijven","nadrukkelijk","related","word","word",0.194063522572044
"droog","nat","related","word","word",0.604398538517259
"land","natie","related","word","word",0.540524017380509
"kleinzoon","neef","related","word","word",0.524666140058318
"familielid","neef","related","word","word",0.381420101937713
"invoegen","neerzetten","related","word","word",0.319909829389627
"positief","negatief","related","word","word",0.767345809793257
"keel","nek","related","word","word",0.507065498648606
"bezorgd","nerveus","related","word","word",0.490100233220132
"mond","neus","related","word","word",0.497903563182524
"onvermogen","niet in staat","related","word","word",NA
"kanaal","nieuws","related","word","word",0.275333795445973
"al","nog steeds","related","word","word",NA
"dringend","noodgeval","related","word","word",0.435471471100978
"zuiden","noorden","related","word","word",0.852918880776774
"gezond","normaal","related","word","word",0.430157439275816
"atomair","nucleair","related","word","word",0.499859548171229
"zee","oceaan","related","word","word",0.794198066943976
"morgen","ochtend","related","word","word",0.583483624321412
"zonsondergang","ochtendgloren","related","word","word",0.499365736144936
"oefening","oefening","related","word","word",1
"officieel","officieel","related","word","word",1
"september","oktober","related","word","word",0.689869702902343
"steenkool","olie-","related","word","word",NA
"omlaag","omhoog","related","word","word",0.827418918420766
"ongemakkelijk","onaangenaam","related","word","word",0.559665567582332
"anoniem","onbekend","related","word","word",0.392689283987779
"dienst","onderhoud","related","word","word",0.256738696833538
"beschermen","onderhouden","related","word","word",0.413138430006403
"bovenkant","onderkant","related","word","word",0.780138490369102
"miljonair","ondernemer","related","word","word",0.442516129134202
"voorwerp","onderwerp","related","word","word",0.445932790478374
"onderzoeken","onderzoeken","related","word","word",1
"analist","onderzoeker","related","word","word",0.52623924326539
"onrecht","oneerlijk","related","word","word",0.487048258463226
"conflict","onenigheid","related","word","word",0.445832093193908
"incident","ongeluk","related","word","word",0.529402272311269
"zojuist","onlangs","related","word","word",0.583465161400493
"diner","ontbijt","related","word","word",0.631204409756876
"vergeten","onthouden","related","word","word",0.501025888156109
"conferentie","ontmoeting","related","word","word",0.41049388689841
"uitbarsting","ontploffen","related","word","word",0.336052786788668
"ontslag","ontslag","related","word","word",1
"vluchten","ontsnappen","related","word","word",0.521738614918834
"ontvoeren","ontvoeren","related","word","word",1
"voortgang","ontwikkeling","related","word","word",0.392378765618249
"onredelijk","onverantwoordelijk","related","word","word",0.531586081226567
"plotseling","onverwacht","related","word","word",0.470513083213102
"nooit","ooit","related","word","word",0.579972267136
"oog","oor","related","word","word",0.476417368321351
"reden","oorzaak","related","word","word",0.396486901880636
"west","oosten-","related","word","word",NA
"bewonderen","op prijs stellen","related","word","word",NA
"rug","opbrengst","related","word","word",0.114360056833659
"trots","opgewonden","related","word","word",0.316837112004304
"gezondheid","opleiding","related","word","word",0.263242953482349
"uitzonderlijk","opmerkelijk","related","word","word",0.666964112396528
"vermelding","opname","related","word","word",0.25286328879916
"laag","oppervlak","related","word","word",0.258651075861259
