ko_cue,ko_target,type,cue_type,target_type,ko_cosine
극적인,낭만적 인,related,word,word,
잠재적인,재능,related,word,word,0.321257370302192
발생하다,일어나다,related,word,word,
입술,볼,related,word,word,0.202199906164396
사전,구절,related,word,word,0.357556493781279
명령하다,주문하다,related,word,word,
없애다,제거하다,related,word,word,
그림,사진,related,word,word,0.293178823832649
용서,자비,related,word,word,0.424884772590635
공주,왕자,related,word,word,0.415132407923679
선실,갑판,related,word,word,0.656594518266816
그릇,접시,related,word,word,0.518196299811036
다이아몬드,보석,related,word,word,0.417941598099543
축하해,환영하다,related,word,word,
자유롭게,무료,related,word,word,0.184310669273978
동여매다,묶다,related,word,word,
거미,곤충,related,word,word,0.486868140070749
일,삼,related,word,word,0.299016554023571
가짜,거짓,related,word,word,0.27904810965178
남편,부인,related,word,word,0.173276827013271
아마도,아마,related,word,word,0.5724110625417
시멘트,플라스틱,related,word,word,0.357198729253077
인구,사람들,related,word,word,0.165029926269399
영웅,구원자,related,word,word,0.426515453419494
전문가,전문의,related,word,word,0.599909613614545
위험천만한,위험한,related,word,word,
직업,일하다,related,word,word,0.162713075662144
직업,평판,related,word,word,0.434550786972135
불,불꽃,related,word,word,0.292662588374981
정신적 인,감정적 인,related,word,word,
눈부신,극적인,related,word,word,0.286181056746466
단백질,비타민,related,word,word,0.511564157875859
예산,자금,related,word,word,0.383131009207019
까먹다,기억하다,related,word,word,
나귀,엉덩이,related,word,word,
도착하다,오다,related,word,word,
균형,조화,related,word,word,0.501526652987258
평범한,보통의,related,word,word,0.390780743001613
만,항구,related,word,word,0.196487758290452
패널티,투옥,related,word,word,
파운드,달러,related,word,word,0.561022244282686
불편한,불쾌한,related,word,word,0.379120969995426
밍,링,related,word,word,0.378240461381575
살아있는,죽은,related,word,word,0.25126960021303
책임,의무,related,word,word,0.386847207045323
맛이 나다,냄새가 나다,related,word,word,
제안하다,추천하다,related,word,word,
근처에,멀리,related,word,word,0.17178951772715
약혼,혼례,related,word,word,
이배,삼배,related,word,word,
인상,감정,related,word,word,0.286007906820409
경쟁,선수권 대회,related,word,word,
밀다,끌다,related,word,word,
디엔에이,지문,related,word,word,
독감,질병,related,word,word,0.427623593527199
노예,하인,related,word,word,0.366226681569713
다수,투표,related,word,word,0.44261314084615
사악한,잔학,related,word,word,
크리스마스,휴일,related,word,word,0.428014388605434
청소년,어린 시절,related,word,word,
떨어지다,무너지다,related,word,word,
터미널,공항,related,word,word,0.283373713286312
칭찬,선물,related,word,word,0.27528232160271
수요,요구,related,word,word,
아빠,엄마,related,word,word,0.454837919250059
천사,악마,related,word,word,0.385022796267129
카메라,마이크로폰,related,word,word,
프로젝트,프로그램,related,word,word,0.52993834655069
진흙,모래,related,word,word,0.512687538898172
실험,시험,related,word,word,0.34248175945113
오븐,화덕,related,word,word,
답변,댓글,related,word,word,0.478172023003195
회의,모임,related,word,word,0.450243739738595
논평,성명,related,word,word,
군중,관중,related,word,word,0.541199581241145
진실,진짜,related,word,word,0.167771875489577
경매,판매,related,word,word,0.531946509626634
아래,위,related,word,word,0.392335175554508
신용도,대출,related,word,word,
상황,위기,related,word,word,0.323501136717693
자살,살인,related,word,word,0.393868671936072
공무상,공식적인,related,word,word,
구름,안개,related,word,word,0.48493556161636
타바고,담배,related,word,word,
의미,중요성,related,word,word,0.343460461028638
미술,문학,related,word,word,0.583020361000903
증거물,증거,related,word,word,0.742514039887158
현금,돈,related,word,word,0.335477055707279
거룩한,영광,related,word,word,0.580496375080499
도구,악기,related,word,word,0.373314457697354
의식,행사,related,word,word,0.175812757543299
당연히,일반적으로,related,word,word,0.162826089913811
과부,여성,related,word,word,0.252720736639683
끝,마치다,related,word,word,
레즈비언,게이,related,word,word,0.426431005876361
아기,어린이,related,word,word,0.209188651619048
자유,민주주의,related,word,word,0.354859957677172
지역,구역,related,word,word,0.389088105433786
지역,현지의,related,word,word,
챔피언,전투기,related,word,word,0.342575204208591
캡슐,조사,related,word,word,0.281533829277905
세기,열개의,related,word,word,
초점을 맞추다,집중,related,word,word,
원자력,핵무기,related,word,word,0.584554158207121
빛나는,밝은,related,word,word,0.409911739853716
가수,음악가,related,word,word,0.507509724949811
여름,겨울,related,word,word,0.460492755220046
강인한,단단한,related,word,word,0.38720923809549
입,코,related,word,word,0.219187255509586
권하다,주다,related,word,word,
의심,의심하다,related,word,word,
기병대,포술,related,word,word,
층,표면,related,word,word,0.484974347927892
밤,저녁,related,word,word,0.262129057208363
성적,육체,related,word,word,0.458892711710514
번호,주소,related,word,word,0.550146532845971
잔,병,related,word,word,0.28680947824607
초자연의,초자연적 인 것,related,word,word,
떠나다,버리다,related,word,word,0.33210894415692
다람쥐,너구리,related,word,word,0.56896061437279
수도,도시,related,word,word,0.128346675680855
신화,전설,related,word,word,0.566016149210645
수수료,위원회,related,word,word,0.324883037898293
천재,과학자,related,word,word,0.398170182659095
아첨하다,감탄시키다,related,word,word,
말도 안되는,터무니없는,related,word,word,
금,은,related,word,word,0.29155647448575
터지다,폭발하다,related,word,word,
시민이,군대,related,word,word,0.313805330067093
화면,모니터,related,word,word,0.45294569340884
필요한 만큼,충분한,related,word,word,
필요한,필요,related,word,word,0.569183719246276
이야기하다,말하다,related,word,word,
얘기하다,알리다,related,word,word,
병원,진료소,related,word,word,0.398058794286515
벽,울타리,related,word,word,0.459487487385344
반사,거울,related,word,word,0.344009130095736
병든,아픈,related,word,word,0.329266930319856
청문회,재판,related,word,word,0.487749791776642
사회,지역 사회,related,word,word,
인내심,동정심,related,word,word,0.586898452278401
컵,커피,related,word,word,0.271235254065611
밖의,안에,related,word,word,0.264932526141936
소년들,소녀들,related,word,word,0.697114204365278
창조,파괴,related,word,word,0.496712496032969
여우,토끼,related,word,word,0.411111803797689
술 취하지 않은,술 취한,related,word,word,
채널,뉴스,related,word,word,0.4885085731304
단어,문장,related,word,word,0.533540744627895
우표,서명,related,word,word,0.396839747507851
앨범,노래,related,word,word,0.344988549478936
곰,늑대,related,word,word,0.360952243941439
요인,요소,related,word,word,
법원,판사,related,word,word,0.393277659286937
때리다,치다,related,word,word,
기침,발열,related,word,word,0.559438275803406
이유,원인,related,word,word,0.258190329417628
분명히,확실히,related,word,word,0.276399850144716
워싱턴,보스턴,related,word,word,0.48689327852066
가끔,드물게,related,word,word,0.265907278342495
가난한,부자,related,word,word,0.460592583076489
크기,길이,related,word,word,0.242605271304839
품위있는,솔직한,related,word,word,0.552238334726163
동기,구실,related,word,word,0.311737975012531
반지,목걸이,related,word,word,0.480918473008709
빈도,신호,related,word,word,
반,사분의 일,related,word,word,
건강,교육,related,word,word,0.499220932113684
녹다,얼다,related,word,word,
신나는,흥미로운,related,word,word,0.400766298321914
하느님,신성한,related,word,word,0.377681781690294
상자,가방,related,word,word,0.483377022875415
디브이디,동영상,related,word,word,
용,사자,related,word,word,0.402994804451088
수집,모으다,related,word,word,
뇌관,타이머,related,word,word,
뇌물,약탈,related,word,word,0.371887475628228
할 수 없음,할 수 없는,related,word,word,
다리,터널,related,word,word,0.255122430120279
머리카락,수염,related,word,word,0.355324048171932
머무르다,남아있다,related,word,word,
야영지,마을,related,word,word,0.325309459989334
서비스,유지,related,word,word,0.329324091291541
파기,묻다,related,word,word,
상처,상해,related,word,word,0.178828122933166
주교,추기경,related,word,word,0.606877753693657
담요,수건,related,word,word,0.63510413361247
미소 짓다,웃다,related,word,word,
회전하다,회전,related,word,word,
밥을 먹이다,먹다,related,word,word,
가능성,가망,related,word,word,0.368232438108505
무거운,무겁게,related,word,word,0.484359034658089
곡물,밀가루,related,word,word,0.629079172342606
직접,곧장,related,word,word,0.194826699587441
조사관,위원,related,word,word,
본문,시,related,word,word,
문화,문명,related,word,word,0.561605031783695
백화점,가게,related,word,word,0.184816806713977
혐오하다,사랑,related,word,word,
달의,태양의,related,word,word,0.339007779590367
소녀,소년,related,word,word,0.565627232309792
비판적인,정치적인,related,word,word,0.763213535091977
탑,건물,related,word,word,0.386076905476503
목구멍,목,related,word,word,
개인적인,친밀한,related,word,word,0.394256128868913
무정부 상태,자본주의,related,word,word,
듣다,들리다,related,word,word,
책상,사무실,related,word,word,0.503189939775444
비참한,불쌍한,related,word,word,0.275350414512798
상표,제품,related,word,word,
연약한,예민한,related,word,word,0.5013441353138
공손한,친숙한,related,word,word,0.578824823556551
숟가락,포크,related,word,word,0.571004691657256
폐하,전하,related,word,word,0.500526015316471
작동하다,수술,related,word,word,
남성,여자,related,word,word,0.253316677436065
붙잡다,잡다,related,word,word,
상어,생선,related,word,word,0.426735075628069
쓸모없는,가치 없는,related,word,word,
이동하다,옮기다,related,word,word,
의견,태도,related,word,word,0.445794099419303
노력하다,시도,related,word,word,
유산,상속,related,word,word,0.588579875386764
복수,정의,related,word,word,0.431936489260201
얻다,이기다,related,word,word,
달,태양,related,word,word,0.277595936809174
역겨운,못생긴,related,word,word,0.480444346314858
바이러스,전염병,related,word,word,0.518280524484274
개념,정의,related,word,word,0.429206583219305
로데오,카우보이,related,word,word,0.425335055412522
호주머니,지갑,related,word,word,0.443747731858143
절,수도원,related,word,word,0.145616697356006
깨닫다,이해하다,related,word,word,
좁은,넓은,related,word,word,0.358076599219023
유월,칠월,related,word,word,
수량,품질,related,word,word,
왕조,제국,related,word,word,0.536148735928229
장엄한,황제,related,word,word,0.60633700969432
바라보다,보다,related,word,word,
진행하다,계속하다,related,word,word,
알림,경보,related,word,word,0.625421322040327
존경하다,고마워하다,related,word,word,
둥지,계란,related,word,word,0.388262074015858
돼지 고기,고기,related,word,word,
길,거리,related,word,word,0.234945297898731
마련하다,정리하다,related,word,word,
배,가슴,related,word,word,0.248025045509991
틈,구멍,related,word,word,0.430532956281139
드디어,결국,related,word,word,0.237283870393241
고맙다,감사하다,related,word,word,
낭비하다,쓰다,related,word,word,
값,가격,related,word,word,0.536217846664986
바다,대양,related,word,word,
반대,상반하는,related,word,word,
긴급한,비상,related,word,word,0.378452437355402
밖,~에 대한,related,word,word,
인종 차별 주의자,공산주의자,related,word,word,
은행가,투자자,related,word,word,0.364619932899539
무게,키,related,word,word,0.299058790437961
눈,귀,related,word,word,0.264523631866104
허용하다,허락하다,related,word,word,
교회,예배당,related,word,word,0.251889994223949
용병,암살자,related,word,word,0.57474398091767
구석,골목,related,word,word,0.397196692066981
의지할 곳이 없는,무력한,related,word,word,
완쾌하다,치유하다,related,word,word,
조용한,침묵,related,word,word,0.161565035960371
조용한,침착한,related,word,word,0.4224351867429
선술집,식당,related,word,word,
상태,위치,related,word,word,0.388663607352933
연예인,별,related,word,word,0.273659969389473
나비,새,related,word,word,0.262366719707347
투기장,싸움터,related,word,word,
재치 있는,재미있는,related,word,word,
용기,결심,related,word,word,0.370045390655548
보여 주다,성능,related,word,word,
보장하다,약속하다,related,word,word,
행성,궤도,related,word,word,0.384737798097222
손자,조카,related,word,word,0.420353467599642
갑자기,뜻밖에,related,word,word,0.259506723121444
보호하다,지키다,related,word,word,
별명,성,related,word,word,0.179795785194414
피아노,기타,related,word,word,0.376898045613901
현상,이벤트,related,word,word,0.40605510761724
남부,서부,related,word,word,0.476585842146539
고아원,수도희,related,word,word,
망원경,현미경,related,word,word,0.51022531376078
불가능한,쉬운,related,word,word,0.258025868487889
당나귀,말,related,word,word,0.279789487083234
인공물,큰 메달,related,word,word,
발사,사격,related,word,word,0.392897161837813
물체,주제,related,word,word,0.412386674351957
장애물,도전,related,word,word,0.429576262049795
연구,공부하다,related,word,word,
가스,연료,related,word,word,0.431117748839036
홀로,외로운,related,word,word,0.224598746759318
유치장,감옥,related,word,word,
정맥,동맥,related,word,word,0.675355944547228
웨이터,웨이트리스,related,word,word,0.58497537605697
일몰,새벽,related,word,word,0.423863399840609
관광,콘서트,related,word,word,0.343287529307764
벌하다,체포,related,word,word,
진화,돌연변이,related,word,word,0.4596837992022
시저,로마,related,word,word,0.307744784335776
첫 번째,마지막,related,word,word,
이상적인,완벽한,related,word,word,0.419990157982117
고려하다,생각한다,related,word,word,
뼈,두개골,related,word,word,0.460229443269655
자연스러운,인공의,related,word,word,
성격,인격,related,word,word,0.494305685534628
극도로,매우,related,word,word,0.401114679292048
회로망,시스템,related,word,word,
입맞춤,껴안다,related,word,word,
군,구역,related,word,word,0.201241018125913
실패자,우승자,related,word,word,
신경,근육,related,word,word,0.280902654565535
럼 주,코냑,related,word,word,
물리학,수학,related,word,word,0.322295642316276
유행의,우아한,related,word,word,
영어,프랑스어,related,word,word,0.44310091933432
광고업,마케팅,related,word,word,
거리,속도,related,word,word,0.267633761854603
실수로,의도적으로,related,word,word,0.235665556665658
원형,삼각형,related,word,word,0.52483145540916
나체상,벌거벗은,related,word,word,
달아나다,탈출하다,related,word,word,
가톨릭,기독교,related,word,word,0.544913312522367
난민,도망자,related,word,word,0.341041055817876
배우다,가르치다,related,word,word,
낙관적 인,현실적인,related,word,word,
언덕,산,related,word,word,0.295722591316521
선박,해군,related,word,word,0.456690996348196
큰,거대한,related,word,word,0.309787316661599
라이브,생존하다,related,word,word,
피부,조직,related,word,word,0.392872551317487
저널리즘,정치,related,word,word,
시현,환성,related,word,word,
모욕하다,감정을 상하게 하다,related,word,word,
봄,가을,related,word,word,0.594225491763633
사수,저격병,related,word,word,
로마 인,그리스인,related,word,word,
강,호수,related,word,word,0.466111752023595
전쟁,전투,related,word,word,0.406996843751987
소프트웨어,컴퓨터,related,word,word,0.38652704749592
조사하다,취조하다,related,word,word,
짧은,긴,related,word,word,0.449248096247638
간식,점심,related,word,word,0.491188634063238
해변,해안,related,word,word,0.372076263740823
사막,골짜기,related,word,word,0.524196114172963
충성심,정직,related,word,word,0.33078223642372
라디오,텔레비전,related,word,word,0.410678631484553
자부심,위엄,related,word,word,0.400896179524664
아래쪽의,위쪽의,related,word,word,
외과 의사,의사,related,word,word,
질투하는,화난,related,word,word,0.373243930471271
현실,공상,related,word,word,0.484348257102307
첩죄,사보타주,related,word,word,
취미,스포츠,related,word,word,0.35280956452606
장소,위치,related,word,word,0.333955456740247
잠수함,배,related,word,word,0.25925031209831
운동,선거,related,word,word,0.239317101832869
현대의,전통적인,related,word,word,0.455237739147196
스트레스,우울증,related,word,word,0.410771703436526
준비,계획,related,word,word,0.385531291467588
따르다,뒤쫓다,related,word,word,
몸짓,행동,related,word,word,
닭,칠면조,related,word,word,0.420126904883602
슬퍼,비참한,related,word,word,0.366020917267874
해부학,심리학,related,word,word,0.507570940815583
이익,소득,related,word,word,0.54022905939451
관리자,사장,related,word,word,0.421870335185345
재즈,음악,related,word,word,0.362988946333905
총,온전한,related,word,word,0.0844389029014991
장난,농담,related,word,word,0.407925804749662
내일,아침,related,word,word,0.245948955736902
마라톤,경주,related,word,word,0.475124036780007
고통을 겪다,죽다,related,word,word,
눈물,자르다,related,word,word,
거주자,집주인,related,word,word,
나라,국가,related,word,word,0.315465564473562
램프,양초,related,word,word,0.482404972958782
달콤한,귀여운,related,word,word,0.215063423943038
초록색,주황색,related,word,word,0.530436966886586
욕을하다,맹세,related,word,word,
자필,사진 작가,related,word,word,
마피아,카르텔,related,word,word,0.598478066708035
천국,지옥,related,word,word,0.531335338658654
이,사,related,word,word,0.208941924483921
방울,한모금,related,word,word,0.527594165659011
상처,타박상,related,word,word,0.354004193658347
달리다,걷다,related,word,word,
녹슨,먼지가 자뜩한,related,word,word,
코치,선수,related,word,word,0.378646319131269
요가,마사지,related,word,word,0.324006001203719
아마추어,전문의,related,word,word,0.336937686919538
아스피린,모르핀,related,word,word,0.332737541299697
아이디어,이론,related,word,word,0.30175049798157
영혼,혼,related,word,word,0.280305122903871
미혼,기혼,related,word,word,
분석자,조사자,related,word,word,
아프리카,미국,related,word,word,0.265956192505706
궁전,성,related,word,word,0.367232112877716
탱크,엔진,related,word,word,0.457228488246105
오류,실수,related,word,word,0.294468823404955
미확인 배행물체,외계인,related,word,word,
때때로,자주,related,word,word,0.18224696723459
술,약,related,word,word,0.332500631112738
부츠,신발,related,word,word,0.442024918477605
부검,분석,related,word,word,0.491745385195958
위스키,보드카,related,word,word,0.56901773549743
집안,가족,related,word,word,0.350198793550171
방,침실,related,word,word,0.344550630423639
액체,체액,related,word,word,0.544019041231149
제어,조종하다,related,word,word,
오염,방사선,related,word,word,0.440129683285609
태평양,대서양,related,word,word,0.644284782114145
부드러운,온화한,related,word,word,0.419846468103105
더러운,역겨운,related,word,word,0.370496543114672
금지된,금하다,related,word,word,
만족하는,행복하다,related,word,word,0.375937202669173
지렁이,뱀,related,word,word,0.239532636653312
셜록,왓슨,related,word,word,0.422646476668785
아주머니,청소부,related,word,word,0.272513227725354
종이,펜,related,word,word,0.33999427689445
고집스러운,이기적인,related,word,word,0.540013983424394
보고서,알리다,related,word,word,
포함하다,콘텐츠,related,word,word,
특별한,유일무이한,related,word,word,0.233109750429839
골프,테니스,related,word,word,0.425878953337026
설탕,초콜릿,related,word,word,0.522628767204881
뒤,반품,related,word,word,
열광,열정,related,word,word,
더하기,빼기,related,word,word,0.554692988550495
봉투,패키지,related,word,word,0.21060406732755
리듬,스타일,related,word,word,0.374732124202261
좋은,나쁜,related,word,word,0.381023798091645
납치범,몸값,related,word,word,0.412445530566008
전투,싸움,related,word,word,0.282165405130168
파일,문서,related,word,word,0.461981889791852
집,아파트,related,word,word,0.410755783771492
본능,직관,related,word,word,
광고,상인,related,word,word,0.301725350009434
조사관,형사,related,word,word,0.408480846304745
승리,패배,related,word,word,0.596995835388466
엔지니어,건축가,related,word,word,0.557572917566894
인질,죄인,related,word,word,0.16313981205483
절대,항상,related,word,word,0.171756426017276
어머니,아버지,related,word,word,0.417736236567356
마른,젖은,related,word,word,0.459026409343794
티켓,여권,related,word,word,0.418244055887593
무죄한,유죄한,related,word,word,
학장,교수,related,word,word,0.352671533471391
치마,드레스,related,word,word,0.466396856588782
오른쪽,왼쪽,related,word,word,0.639112073252481
계약,합의,related,word,word,0.395792888092761
오르가슴,발기,related,word,word,
끔찍한,불결한,related,word,word,0.285639136247349
트로피,메달,related,word,word,0.4747818842648
화약,다이너마이트,related,word,word,0.540592091805796
독,죽임,related,word,word,0.209316343242954
관,장례식,related,word,word,0.178824596840343
재산,소유자,related,word,word,0.536202366768768
오케스트라,밴드,related,word,word,0.441189107689052
소,돼지,related,word,word,0.423704569046411
빨다,핥다,related,word,word,
화성,금성,related,word,word,
의문,물어보기,related,word,word,0.316848605280062
페인트,그리다,related,word,word,
화,격노,related,word,word,
토요일,일요일,related,word,word,0.730949592306019
천천히,빠르게,related,word,word,0.357795265874797
원숭이,고릴라,related,word,word,0.333135893771926
무모한,책임지지 않는,related,word,word,
경치,관점,related,word,word,0.162052014328948
보다,만나다,related,word,word,0.143491864112098
천,백,related,word,word,0.485505843096149
경험,지식,related,word,word,0.393490152107914
자원 봉사자,자발적으로,related,word,word,
수렵,어업,related,word,word,
구입,팔다,related,word,word,
모델,원기,related,word,word,
허가,승인,related,word,word,0.607686148390888
우주 비행사,조종사,related,word,word,
착륙하다,파리,related,word,word,
바람,폭풍,related,word,word,0.164435216133719
출구,입구,related,word,word,0.585422623844468
어깨,무릎,related,word,word,0.418679757357394
크림,소스,related,word,word,0.581710781491721
농구,축구,related,word,word,0.424017856391193
탄소,수소,related,word,word,0.535485981184369
운전하다,타다,related,word,word,0.5729011722724
관계,우정,related,word,word,0.328505404837792
경비원,순찰,related,word,word,0.432441719908501
종양,암,related,word,word,0.335124253786481
친척,사촌,related,word,word,0.414139964816222
데이터,정보,related,word,word,0.438881192568568
씌우다,숨다,related,word,word,
저항,저항하다,related,word,word,
변화,개선,related,word,word,0.413373677561795
화학,생물학,related,word,word,0.511723004827987
보너스,보상,related,word,word,0.495722042244248
꿀,버터,related,word,word,0.42311631081593
성인,부모,related,word,word,0.347811592116913
최저한의,최고,related,word,word,
느린,빠른,related,word,word,0.502351876291607
로켓,미사일,related,word,word,0.371492190498482
검사,점검,related,word,word,0.41229886234789
증가하다,줄이다,related,word,word,
체인,밧줄,related,word,word,0.666457991794841
바꾸다,대리자,related,word,word,
연대,대대,related,word,word,0.425058256161034
패거리,그룹,related,word,word,0.354478821239117
국가의,세계적인,related,word,word,0.431785948911862
와인,샴페인,related,word,word,0.562985940950792
리그,팀,related,word,word,0.287362671900036
중사,상관 대리,related,word,word,
적,상대,related,word,word,0.136157215645512
염려,걱정하다,related,word,word,
브라보,알파의,related,word,word,0.474131013205145
원본,복사,related,word,word,0.541794401865743
적용하다,사용하다,related,word,word,
남성,인간,related,word,word,0.229135153978479
크루,배,related,word,word,0.235150442665885
방법,기술,related,word,word,0.313595680819683
보고자,기자,related,word,word,0.324696390361716
충실도,헌신,related,word,word,
보통,대개,related,word,word,0.37870855328592
마법,마법사,related,word,word,0.60383841889888
차량,자동차,related,word,word,0.357572501162619
환자,고객,related,word,word,0.258885913752111
저주,마녀,related,word,word,0.375968577799041
칩,장치,related,word,word,0.417305387880573
