"zh_cue","zh_target","type","cue_type","target_type","zh_cosine"
"打猎","钓鱼","related","word","word",0.883205983848833
"错觉","幻觉","related","word","word",0.872892033980979
"印象","感觉","related","word","word",0.891978221039096
"行业","商业","related","word","word",0.511902261235215
"不公正","不公平","related","word","word",0.886412529234429
"国际的","世界","related","word","word",NA
"吉普车","卡车","related","word","word",0.971635162999641
"只是","最近","related","word","word",0.682869040899127
"土地","飞","related","word","word",0.875485544907716
"图书馆","博物馆","related","word","word",0.936318222286777
"闪电","雷","related","word","word",0.697887256021689
"液体","体液","related","word","word",-0.241333577530481
"小的","小的","related","word","word",1
"锁定","关闭","related","word","word",0.902039181543662
"看","手表","related","word","word",0.543471763342601
"主","淑女","related","word","word",0.663568761811011
"失败者","优胜者","related","word","word",0.949910479846012
"低的","高的","related","word","word",NA
"忠诚","诚实","related","word","word",0.870797649365908
"魔法","巫师","related","word","word",0.86691797607168
"磁的","电的","related","word","word",NA
"邮件","传真","related","word","word",0.855474370055015
"制作","做","related","word","word",0.588910142327909
"经理","老板","related","word","word",0.747069575873609
"人","人类","related","word","word",0.674934291060138
"火星","金星","related","word","word",0.901239274178448
"事情","粒子","related","word","word",0.83115391220557
"可能是","大概","related","word","word",0.660107496207886
"意义","重要性","related","word","word",0.875309138740029
"医疗的","心理","related","word","word",NA
"英里","厘米","related","word","word",0.931913648185203
"牛奶","果汁","related","word","word",0.917415089133948
"百万","十亿","related","word","word",0.86633476905284
"明","凌","related","word","word",0.764958207888799
"现代的","传统的","related","word","word",0.952841363465811
"移动","转移","related","word","word",0.801070564532792
"幼稚的","愚蠢的","related","word","word",0.924977756059342
"姓名","标题","related","word","word",0.580291266689979
"国家的","全球的","related","word","word",0.945325944128654
"靠近","远的","related","word","word",0.87413113498327
"必要的","需要","related","word","word",0.893848692873121
"巢","蛋","related","word","word",0.925141943408329
"绝不","曾经","related","word","word",0.838867023849109
"好的","迷人的","related","word","word",0.536412684797325
"忍者","武士","related","word","word",0.874698418593313
"高贵","勇敢的","related","word","word",0.929795075103867
"一般","通常","related","word","word",0.734443081075779
"没有","某物","related","word","word",0.506774047277917
"十一月","十二月","related","word","word",0.949339206100904
"现在","知道","related","word","word",0.395421319538061
"观察","评估","related","word","word",0.826537704519879
"提供","给","related","word","word",0.55217099670392
"好的","是的","related","word","word",0.555524028730855
"老的","年轻","related","word","word",0.815024610553695
"一","三","related","word","word",0.774655994802897
"打开","关闭","related","word","word",0.866848096647512
"开幕式","关闭","related","word","word",0.913414092567467
"操作","手术","related","word","word",0.909269640865148
"观点","态度","related","word","word",0.726726266606127
"乐观的","实际的","related","word","word",NA
"乐队","乐队","related","word","word",1
"普通的","通常","related","word","word",0.707412905561054
"原版的","复制","related","word","word",NA
"出去","关于","related","word","word",0.538233146980555
"外部","里面","related","word","word",0.580293325982576
"画","画","related","word","word",1
"天堂","地狱","related","word","word",0.90531304704288
"偏执狂","疯狂的","related","word","word",0.924305448395967
"议会","参议院","related","word","word",0.914671893710308
"病人","客户","related","word","word",0.668784792663452
"人","个人","related","word","word",0.592994908884982
"现象","事件","related","word","word",0.819046512926934
"哲学","宗教","related","word","word",0.678995900739958
"物理","数学","related","word","word",0.845125828624726
"野餐","野营","related","word","word",0.737457416120738
"手枪","武器","related","word","word",0.862374155342283
"地方","地点","related","word","word",0.851387921374428
"行星","轨道","related","word","word",0.928065006935796
"花花公子","杂志","related","word","word",0.836646976150537
"加","减","related","word","word",0.755433962050881
"观点","表明","related","word","word",0.853127811325542
"毒","杀","related","word","word",0.777195513918161
"政策","政治家","related","word","word",0.940771645702499
"人口","人们","related","word","word",0.636589409578531
"门户网站","门","related","word","word",NA
"准备","规划","related","word","word",0.773750533979747
"漂亮","美丽的","related","word","word",0.788124448752971
"猎物","掠夺者","related","word","word",0.907354834243115
"可能性","可能是","related","word","word",0.890784767268835
"进步","发展","related","word","word",0.849009918929155
"项目","程序","related","word","word",0.880616570937688
"财产","所有者","related","word","word",0.824561036145425
"自豪的","兴奋的","related","word","word",NA
"酒吧","餐厅","related","word","word",0.946603275968252
"脉冲","压力","related","word","word",0.965343032703865
"惩治","逮捕","related","word","word",NA
"题","问","related","word","word",0.837397619319816
"种族主义的","共产","related","word","word",NA
"读","写作","related","word","word",0.823227421927164
"原因","原因","related","word","word",1
"认出","知道","related","word","word",NA
"难民","逃亡者","related","word","word",0.890212963244186
"相对的","表哥","related","word","word",0.898367058264791
"代替","代替","related","word","word",1
"报告","通知","related","word","word",0.794318945864424
"尊重","信心","related","word","word",0.91945481105451
"责任","义务","related","word","word",0.889378355958989
"休息","睡觉","related","word","word",0.878139568880718
"启示","想象","related","word","word",0.819941751102567
"韵律","风格","related","word","word",0.920396375162556
"正确的","剩下","related","word","word",0.909442074806261
"有风险","危险的","related","word","word",0.915494448119183
"路","高速公路","related","word","word",0.747121305846219
"圆形的","大约","related","word","word",0.757551537737456
"皇室","王国","related","word","word",0.943663443003376
"规则","协议","related","word","word",0.80179812788685
"朗姆酒","科涅克白兰地","related","word","word",0.922672888081409
"伤心","悲惨","related","word","word",0.920993745942135
"周六","星期日","related","word","word",0.873279044648646
"说","告诉","related","word","word",0.494640560839853
"刮","挫伤","related","word","word",NA
"屏幕","监视器","related","word","word",0.888302724314119
"第二","分钟","related","word","word",0.59878209624752
"秘密","神秘","related","word","word",0.848418984918779
"看","遇到","related","word","word",NA
"性","身体的","related","word","word",NA
"阴影","黑暗的","related","word","word",0.885687996580767
"显示","表现","related","word","word",0.755027416953991
"相似的","不同的","related","word","word",0.960816476467533
"罪","犯罪","related","word","word",0.837651114397892
"单身的","已婚","related","word","word",0.875947949213529
"尺寸","长度","related","word","word",0.847951774001351
"天空","天上","related","word","word",0.932622916823331
"粉碎","休息","related","word","word",0.824006960740704
"抽烟","雪茄","related","word","word",0.909260207215573
"有时","经常","related","word","word",0.793115510734642
"汤","沙拉","related","word","word",0.893409498408976
"资源","整理车","related","word","word",NA
"体育场","棒球","related","word","word",0.887540739655793
"偷","抢","related","word","word",0.880444662495839
"戳","锤子","related","word","word",0.815747412408281
"力量","力量","related","word","word",1
"压力","沮丧","related","word","word",0.962875684905398
"固执的","自私","related","word","word",0.954234017456398
"潜艇","船","related","word","word",0.835050056437322
"痛苦","疼痛","related","word","word",0.825779846941468
"症状","综合征","related","word","word",NA
"坦克","引擎","related","word","word",0.852106587295051
"出租车","豪华轿车","related","word","word",0.830679963058122
"眼泪","切","related","word","word",0.737307330132621
"文本","诗","related","word","word",0.827168277204275
"贼","刑事","related","word","word",0.414934208485707
"薄的","厚的","related","word","word",0.566816589455312
"第三","第四","related","word","word",0.903531114012829
"吐司","熏肉","related","word","word",0.949737445439062
"烟草","香烟","related","word","word",0.708221658340558
"洗手间","下沉","related","word","word",0.900669940232165
"明天","早晨","related","word","word",0.798053857759052
"比赛","匹配","related","word","word",0.872516676531714
"预告片","班","related","word","word",0.636164136005504
"诡计","玩笑","related","word","word",0.794807284812179
"真的","真实的","related","word","word",0.571698954149692
"相信","相信","related","word","word",1
"尝试","试图","related","word","word",0.961905034005475
"转动","旋转","related","word","word",0.912958823875284
"二","四","related","word","word",0.817897816478325
"飞碟","外星人","related","word","word",0.909745962813336
"叔叔","爸爸","related","word","word",0.619234187556484
"不舒服","不愉快","related","word","word",0.858643397582595
"有用","有效的","related","word","word",0.84154611358632
"价值","价钱","related","word","word",0.955078151760201
"等待","预计","related","word","word",0.856668787425298
"温暖的","凉爽的","related","word","word",NA
"警告","信息","related","word","word",0.821236507543408
"什么","那","related","word","word",0.333247850085046
"威士忌酒","伏特加","related","word","word",0.955532669678082
"寡妇","女士","related","word","word",0.556097616267976
"机智","有趣的","related","word","word",0.885028729079434
"单词","句子","related","word","word",0.560872732269857
"南","北","related","word","word",0.853833459987696
"西","东方","related","word","word",0.767570146250933
"白色的","黑色的","related","word","word",0.982705162580523
"积极的","消极的","related","word","word",NA
"红色的","黄色的","related","word","word",0.685733381834061
"英语","法语","related","word","word",0.573162964366835
"公主","王子","related","word","word",0.868890074079367
"母亲","父亲","related","word","word",0.606151367541911
"读","写","related","word","word",0.702557648604224
"狗","猫","related","word","word",0.871185716790232
"女王","国王","related","word","word",0.86189107185792
"强的","虚弱的","related","word","word",NA
"一般的","上校","related","word","word",0.717627405965533
"省长","参议员","related","word","word",0.750409402962066
"外科医生","医生","related","word","word",0.753436213420021
"姐姐","兄弟","related","word","word",0.631647468948254
"清白的","有罪","related","word","word",0.886067516369091
"学生","老师","related","word","word",0.758420997057104
"自杀","谋杀","related","word","word",0.893592949855943
"女孩","男生","related","word","word",0.792978216616972
"医院","诊所","related","word","word",0.720640607324272
"酒店","汽车旅馆","related","word","word",0.870761185911602
"风险","危险","related","word","word",0.748852800155159
"离婚","婚姻","related","word","word",0.833540192330659
"指挥官","队长","related","word","word",0.779704393627159
"瘤","癌症","related","word","word",0.616598942673729
"热的","寒冷的","related","word","word",NA
"火车","公共汽车","related","word","word",0.891134923713952
"男性","女性","related","word","word",0.901959592395643
"车辆","车","related","word","word",0.767347691120007
"铁","金属","related","word","word",0.831180881387739
"可卡因","海洛因","related","word","word",0.947118418414679
"神话","传奇","related","word","word",0.844202197541855
"发电机","反应堆","related","word","word",0.925424594050632
"主意","理论","related","word","word",0.773833711580405
"恨","爱","related","word","word",0.487997496904182
"大学","大学","related","word","word",1
"风","风暴","related","word","word",0.849397558840046
"夏天","冬天","related","word","word",0.808069301861875
"炸弹","爆炸性","related","word","word",NA
"剑","刀","related","word","word",0.813867300536968
"军士","中尉","related","word","word",0.813921327181957
"同事","朋友","related","word","word",0.56445668037633
"生产者","导向器","related","word","word",NA
"理想的","完美的","related","word","word",0.962282617050988
"蝴蝶","鸟","related","word","word",0.904187595969108
"婴儿","孩子","related","word","word",0.732604564848892
"听","听到","related","word","word",0.832105602493948
"买","卖","related","word","word",0.854801020497522
"战争","战斗","related","word","word",0.838464564239585
"糟糕的","可怕","related","word","word",0.938351898078737
"肮脏的","厌恶","related","word","word",0.661220490330006
"熊","狼","related","word","word",0.797336325969034
"雨","雪","related","word","word",0.858364872509613
"成功","失败","related","word","word",0.870188287070096
"干燥","湿的","related","word","word",0.91512701623753
"噪音","声音","related","word","word",0.719474254827282
"在场","缺席","related","word","word",0.788089914920285
"技术","科学","related","word","word",0.711443486514556
"秘书","助手","related","word","word",0.960362146004356
"非法的","合法的","related","word","word",0.963016095557483
"实验","测试","related","word","word",0.672389576149994
"会议","会议","related","word","word",1
"舞蹈家","舞蹈","related","word","word",0.891061426604806
"委员会","委员会","related","word","word",1
"最低限度","最大","related","word","word",0.85222374920031
"确认","确认","related","word","word",1
"业余","专业的","related","word","word",0.939513730662543
"九月","十月","related","word","word",0.940836540463842
"准备好","准备","related","word","word",0.92794043171034
"女儿","儿子","related","word","word",0.744615861151922
"射击","射击","related","word","word",1
"忘记","记住","related","word","word",0.68973155908288
"火","火焰","related","word","word",0.763992414818175
"短的","长","related","word","word",0.814283403741536
"盒子","包","related","word","word",0.812719701621318
"窗户","门","related","word","word",0.844450550657301
"戒指","项链","related","word","word",0.953696601562452
"海","海洋","related","word","word",0.6429240452779
"宇宙","星系","related","word","word",0.559210097831032
"胜利","打败","related","word","word",0.856077987186762
"间谍","叛徒","related","word","word",0.832889558253804
"文化","文明","related","word","word",0.801193198197541
"异常","奇怪的","related","word","word",0.854803403823454
"高尔夫球","网球","related","word","word",0.913110171923778
"非洲","美国","related","word","word",0.751526030827765
"公里","仪表","related","word","word",NA
"夜晚","晚上","related","word","word",0.903858492433362
"喝","啤酒","related","word","word",0.710557030524357
"数字","地址","related","word","word",0.820297797631639
"晚了","早期的","related","word","word",0.574869848217706
"学习","教导","related","word","word",0.787425844223024
"较差的","富有的","related","word","word",NA
"桌子","椅子","related","word","word",0.881905182116344
"法庭","法官","related","word","word",0.76317474392594
"精彩的","极好的","related","word","word",NA
"傻子","笨蛋","related","word","word",0.447418726585572
"微笑","笑","related","word","word",0.71563014068576
"特点","性格","related","word","word",0.83971929368647
"全体人员","船","related","word","word",0.827769028885798
"衬衫","夹克","related","word","word",0.899081623874595
"过程","程序","related","word","word",0.898933015998331
"社会","社区","related","word","word",0.832075769989298
"祖父","祖母","related","word","word",0.881423300192678
"爬坡道","山","related","word","word",NA
"艺术家","画家","related","word","word",0.952928069621169
"戏剧","喜剧","related","word","word",0.952004782092473
"记者","记者","related","word","word",1
"正式","官方的","related","word","word",0.821488262818173
"磅","美元","related","word","word",0.759713312368243
"积极的","活动","related","word","word",0.43698233218918
"雷达","卫星","related","word","word",0.931013666044592
"灯","蜡烛","related","word","word",0.837208923088438
"仪式","仪式","related","word","word",1
"精神的","情绪化","related","word","word",NA
"讲话","说话","related","word","word",0.895271872749391
"玩","游戏","related","word","word",0.831826164857128
"丈夫","妻子","related","word","word",0.642943934870595
"公司","公司","related","word","word",1
"班级","学校","related","word","word",0.898791057624921
"保护","保卫","related","word","word",0.355036088057502
"律师","检察官","related","word","word",0.881033525376151
"搜索","找","related","word","word",0.820737934404292
"品尝","闻","related","word","word",0.87664462110734
"玻璃","瓶子","related","word","word",0.927042894411885
"收音机","电视","related","word","word",0.789553709185003
"慢","快速地","related","word","word",0.609616992627288
"怪物","生物","related","word","word",0.784586119300604
"士兵","战士","related","word","word",0.724102543837503
"骨","颅骨","related","word","word",0.817478813334499
"病毒","感染","related","word","word",0.85077457668218
"钢琴","吉他","related","word","word",0.903112284996377
"混乱","困惑","related","word","word",0.91868365965553
"世纪","十年","related","word","word",0.815146175249721
"订婚","婚礼","related","word","word",0.920704909547866
"鲨鱼","鱼","related","word","word",0.848390983081539
"僧","牧师","related","word","word",0.76942267679154
"电报","信件","related","word","word",0.946002450692021
"周一","周二","related","word","word",0.910301061697641
"背部","返回","related","word","word",0.835731506953989
"居住","存活","related","word","word",0.858572154668262
"特别的","独特","related","word","word",0.952146990740475
"情况","危机","related","word","word",0.903505937054766
"疲劳的","饥饿的","related","word","word",NA
"月","星期","related","word","word",0.632199834819514
"吻","拥抱","related","word","word",0.946930014926117
"灵魂","精神","related","word","word",0.889491020459265
"钥匙","锁","related","word","word",0.862265751601354
"墙","栅栏","related","word","word",0.483251765287686
"安静的","冷静的","related","word","word",NA
"敌人","对手","related","word","word",0.934466085155154
"葡萄酒","香槟酒","related","word","word",0.89957544508711
"河","湖","related","word","word",0.790113525779835
"证人","见证","related","word","word",0.923111008736868
"文件","文档","related","word","word",0.808818712111227
"职业","名声","related","word","word",0.662752651121147
"杯子","咖啡","related","word","word",0.823113950394763
"瞎的","聋","related","word","word",NA
"合同","协议","related","word","word",0.776391617504391
"现实","幻想","related","word","word",0.894494486745887
"成员","领导","related","word","word",0.746278074976391
"面包","起司","related","word","word",0.838122141810477
"爬","跳","related","word","word",0.846080627853731
"受欢迎的","著名的","related","word","word",NA
"影响","影响","related","word","word",1
"直接的","直接地","related","word","word",NA
"恶梦","梦","related","word","word",0.71500889864945
"文章","报纸","related","word","word",0.89437375365877
"有价值的","重要的","related","word","word",NA
"治疗","治疗","related","word","word",1
"歌手","音乐家","related","word","word",0.860574473937352
"老鼠","鼠","related","word","word",0.811992055732369
"专家","专家","related","word","word",1
"人质","囚犯","related","word","word",0.736778326918047
"女同性恋者","同性戀","related","word","word",NA
"工程师","建筑师","related","word","word",0.887598308843704
"画廊","展览","related","word","word",0.843927220901694
"篮球","足球","related","word","word",0.789793482375752
"主教","红衣主教","related","word","word",0.926148219962922
"爵士乐","音乐","related","word","word",0.741583872264214
"灰","灰尘","related","word","word",0.8127094177516
"圣经","书","related","word","word",0.676415201451511
"大街","街道","related","word","word",0.782688987618599
"六月","七月","related","word","word",0.883446334363909
"回答","回复","related","word","word",0.506515910073888
"计划","战略","related","word","word",0.910470892956239
"未来","过去的","related","word","word",0.906748866337485
"说谎","说谎者","related","word","word",0.897016798499574
"选择","选项","related","word","word",0.829591646433861
"发誓","誓言","related","word","word",0.831282397779256
"接触","联系","related","word","word",0.915497799541087
"俱乐部","酒吧","related","word","word",0.940448821831776
"对话","讨论","related","word","word",0.706972343837946
"自由","民主","related","word","word",0.919141525043992
"桥","隧道","related","word","word",0.925567854333687
"代码","密码","related","word","word",0.829707643368897
"重点","集中","related","word","word",0.846247359543357
"春天","秋天","related","word","word",0.937357949703524
"宫","城堡","related","word","word",0.885779856132921
"事件","意外","related","word","word",0.774965974500382
"令人兴奋的","有趣的","related","word","word",0.888558227491777
"寺庙","修道院","related","word","word",0.898527138545675
"按钮","按","related","word","word",0.869708085854945
"避免","停止","related","word","word",0.659259661033634
"奴隶","仆人","related","word","word",0.841323336086364
"出口","入口","related","word","word",0.919329720744226
"使满意","快乐的","related","word","word",NA
"塔","建筑","related","word","word",0.861780969882679
"到达","离开","related","word","word",0.664810207684001
"轮廓","描述","related","word","word",0.798766734551191
"毯子","毛巾","related","word","word",0.823578579810828
"电缆","金属丝","related","word","word",0.91349061501904
"诗人","作家","related","word","word",0.889453521448507
"衬套","树","related","word","word",NA
"侵略","攻击","related","word","word",0.816751701967974
"僵尸","吸血鬼","related","word","word",0.818376608995636
"沙发","床","related","word","word",0.853885445775331
"华盛顿","波士顿","related","word","word",0.931218137586501
"罗马","希腊语","related","word","word",0.773730055416818
"跑步","走","related","word","word",0.727582504735093
"站立","坐","related","word","word",0.568712545964045
"力量","活力","related","word","word",0.898684356361178
"血","尿","related","word","word",0.296935734813789
"法律","宪法","related","word","word",0.831722561315248
"头发","胡须","related","word","word",0.845130809848536
"嘴","鼻子","related","word","word",0.876660645943864
"眼睛","耳朵","related","word","word",0.943672532528635
"安全","安全","related","word","word",1
"浪费","花费","related","word","word",0.969954739157556
"乐趣","喜悦","related","word","word",0.885646578461847
"不可能的","简单","related","word","word",0.861063432085688
"热","温度","related","word","word",0.727662232148832
"手指","拇指","related","word","word",0.775840924579292
"口袋","钱包","related","word","word",0.890207722800983
"嫉妒的","生气的","related","word","word",NA
"票","护照","related","word","word",0.578951488763154
"坟","公墓","related","word","word",0.914772254449706
"陷阱","饵","related","word","word",0.831446798403686
"自豪","尊严","related","word","word",0.937996165703954
"昂贵的","便宜的","related","word","word",0.967901026877438
"伤口","受伤","related","word","word",0.894100894881482
"诅咒","巫婆","related","word","word",0.911785662707565
"青年","童年","related","word","word",0.807171971065074
"谢","市长","related","word","word",0.801961526759883
"奶牛","猪","related","word","word",0.827214013945861
"增加","减少","related","word","word",0.370163063389757
"利润","收入","related","word","word",0.923673963245906
"纹身","瘢痕","related","word","word",NA
"降落","航班","related","word","word",0.944509089158682
"钻石","宝石","related","word","word",0.94762689824226
"点心","蛋糕","related","word","word",0.912857417681019
"步枪","枪","related","word","word",0.747932518350988
"盾","盔甲","related","word","word",0.59886281181794
"头盔","帽子","related","word","word",0.936054433190344
"盗窃","抢劫","related","word","word",0.917179844267486
"具体的","钢","related","word","word",0.902461788555221
"反射","镜子","related","word","word",0.742056212664232
"频率","信号","related","word","word",0.811238521707199
"软件","计算机","related","word","word",0.867881348187968
"剂量","注射","related","word","word",0.462201082393791
"纪念碑","雕像","related","word","word",0.927785406832511
"好的","坏的","related","word","word",0.49768876543247
"屋","公寓","related","word","word",0.868711695900722
"大的","巨大的","related","word","word",0.96537495211101
"房间","卧室","related","word","word",0.942371305135829
"错误的","正确的","related","word","word",0.916512324414049
"机会","可能性","related","word","word",0.818600282858565
"国家","国家","related","word","word",1
"晚餐","早餐","related","word","word",0.943981271450633
"活","死的","related","word","word",0.780085986906705
"图片","照片","related","word","word",0.658783079200219
"甜的","可爱的","related","word","word",0.951911089463966
"关系","友谊","related","word","word",0.873594643265038
"经验","知识","related","word","word",0.917216262358183
"聪明的","聪明的","related","word","word",1
"相机","麦克风","related","word","word",0.940709496743424
"惊喜","失望","related","word","word",0.926188932812013
"岩石","石头","related","word","word",0.810874220378255
"实践","锻炼","related","word","word",0.939080112870164
"研究","学习","related","word","word",0.757897887151718
"气体","燃料","related","word","word",0.961118166905894
"帮派","团体","related","word","word",0.858570734840931
"淋浴","浴室","related","word","word",0.922107781874773
"旅游","音乐会","related","word","word",0.871184027182012
"喉","脖子","related","word","word",0.861364641559546
"千","百","related","word","word",0.697193156846471
"系列","插曲","related","word","word",0.708556106268908
"救援","保存","related","word","word",0.939411624092323
"肩膀","膝盖","related","word","word",0.935312707535633
"保证","承诺","related","word","word",0.859911653678506
"目的","主题","related","word","word",0.866618874028674
"任务","使命","related","word","word",0.940062830219941
"网络","系统","related","word","word",0.84601293714204
"忠诚","可信","related","word","word",0.632453505245894
"三明治","汉堡包","related","word","word",0.944913152420136
"电影","剧院","related","word","word",0.776116563188424
"典型的","经典的","related","word","word",0.94374958056522
"检查员","专员","related","word","word",0.866779728256965
"火箭","导弹","related","word","word",0.879530569362735
"感人的","惊人的","related","word","word",NA
"短裙","裙子","related","word","word",0.824432215686227
"狐狸","兔子","related","word","word",0.950339229347608
"海盗","水手","related","word","word",0.925019340327666
"行政","政府","related","word","word",0.912977700938451
"殖民地","联邦","related","word","word",0.842040421666815
"阴道","阴茎","related","word","word",0.654925983936031
"化学","生物学","related","word","word",0.840114837023659
"化学","生物","related","word","word",0.867975898595024
"传感器","发射机","related","word","word",0.705659805450102
"停留","保持","related","word","word",0.737559727549072
"区域","区","related","word","word",0.68786176737705
"意识到","理解","related","word","word",0.846598054124871
"记录","记录","related","word","word",1
"纸","笔","related","word","word",0.873352419538094
"艰难的","难的","related","word","word",NA
"地面","地毯","related","word","word",0.854632478437941
"现金","钱","related","word","word",0.784349558540117
"简单地","简单的","related","word","word",0.934079084298428
"艺术","文学","related","word","word",0.884136847807738
"私人的","隐私","related","word","word",0.958606272086494
