pt_cue,pt_target,type,cue_type,target_type,pt_cosine
noivado,casamento,related,word,word,0.692799010211239
palácio,castelo,related,word,word,0.634753590991659
razão,causa,related,word,word,0.376851085562281
burro,cavalo,related,word,word,0.491709650484636
alho,cebola,related,word,word,0.621415606787323
atrasado,cedo,related,word,word,0.383330392416451
céu,celestial,related,word,word,0.508648499419366
cova,cemitério,related,word,word,0.477251927612914
mil,centenas,related,word,word,0.508956595312442
milha,centímetro,related,word,word,0.400737363710343
muro,cerca,related,word,word,0.336975605539148
fora,acerca,related,word,word,0.187985493518233
cérebro,cerebral,related,word,word,0.625636277570634
ritual,cerimónia,related,word,word,0.543191618239209
beber,cerveja,related,word,word,0.543140955647505
incêndio,chama,related,word,word,0.190723895164699
vinho,champanhe,related,word,word,0.733014243156265
suborno,chantagem,related,word,word,0.550589234128817
capacete,chapéu,related,word,word,0.588251726641963
fumar,charuto,related,word,word,0.578757066102362
gerente,chefe,related,word,word,0.493357427016202
cozinheiro,chefe de cozinha,related,word,word,
vazio,cheio,related,word,word,0.459998954352597
gosto,cheiro,related,word,word,0.275959144036176
açúcar,chocolate,related,word,word,0.573932417318047
tatuagem,cicatriz,related,word,word,0.611762855674088
capital,cidade,related,word,word,0.475816454119204
tecnologia,ciência,related,word,word,0.525473559553645
génio,cientista,related,word,word,0.471470436457915
tabaco,cigarro,related,word,word,0.55939785397205
ingénuo,cínico,related,word,word,0.563858863380268
jardim zoológico,circo,related,word,word,
operar,cirurgia,related,word,word,0.559230662217836
cultura,civilização,related,word,word,0.589717269039945
típico,clássico,related,word,word,0.564719705329754
doente,cliente,related,word,word,0.250498485010282
hospital,clínica,related,word,word,0.586055544906248
verme,cobra,related,word,word,0.380313426743755
raposa,coelho,related,word,word,0.492308995514367
cair,colapso,related,word,word,0.318593309094564
anel,colar,related,word,word,0.617970933440982
cansado,faminto,related,word,word,0.534210506967376
perdoar,desculpar,related,word,word,0.564330012614548
gás,combustível,related,word,word,0.459686414182818
drama,comédia,related,word,word,0.476614512819043
alimentar,comer,related,word,word,0.49814590717883
comercial,comerciante,related,word,word,0.461395407070461
inspetor,comissário,related,word,word,0.515532397774926
comissão,comité,related,word,word,0.674390682426265
paciência,compaixão,related,word,word,0.522980495004855
absolutamente,completamente,related,word,word,0.642043621411263
total,completo,related,word,word,0.539000099791452
vendedor,comprador,related,word,word,0.623364471078168
entender,compreender,related,word,word,0.874612310462199
tamanho,comprimento,related,word,word,0.544750557809702
cápsula,comprimido,related,word,word,0.256510398698616
software,computador,related,word,word,0.619812284357999
navegação,comunicação,related,word,word,0.505073758905076
sociedade,comunidade,related,word,word,0.595881754363461
racista,comunista,related,word,word,0.522968773038915
focar,concentrar,related,word,word,0.84039849640317
barão,condessa,related,word,word,0.391669963967499
passageiro,condutor,related,word,word,0.539860781346294
contato,conexão,related,word,word,0.472300746320232
admitir,confessar,related,word,word,0.591489964727884
respeito,confiança,related,word,word,0.421879571952614
delicado,sensível,related,word,word,0.602000508047827
confirmação,confirmar,related,word,word,0.657624941937313
caos,confusão,related,word,word,0.565155564198508
derreter,congelar,related,word,word,0.529760033018165
rum,conhaque,related,word,word,0.587084740717972
ver,conhecer,related,word,word,0.406782377326596
agora,conhecer,related,word,word,0.174033273828622
experiência,conhecimento,related,word,word,0.390758691090982
conselho,aconselhar,related,word,word,0.487848647838488
sempre,constantemente,related,word,word,0.572752159319164
lei,constituição,related,word,word,0.551189561440616
torre,edifício,related,word,word,0.4020188501369
construção,construir,related,word,word,0.645728001852664
dizer,contar,related,word,word,0.570596548873336
conter,conteúdo,related,word,word,0.288120938861176
oposto,contrário,related,word,word,0.52769303911603
orfanato,convento,related,word,word,0.569381216989085
original,cópia,related,word,word,0.421394475267632
nobre,corajoso,related,word,word,0.444556152640089
cadeia,corda,related,word,word,0.21716179159926
general,coronel,related,word,word,0.720278362288966
companhia,corporação,related,word,word,0.487976808186553
errado,correto,related,word,word,0.533796839778465
maratona,corrida,related,word,word,0.495747994761906
rasgar,cortar,related,word,word,0.527406492961911
praia,costa,related,word,word,0.606298729909256
osso,crânio,related,word,word,0.549101514947373
bebé,criança,related,word,word,0.596412971419683
imaginação,criatividade,related,word,word,0.558318684131642
monstro,criatura,related,word,word,0.538205681526334
pecado,crime,related,word,word,0.407862523690112
ladrão,criminoso,related,word,word,0.577707561221957
situação,crise,related,word,word,0.457700731516202
católico,cristão,related,word,word,0.604878346623576
detonador,cronómetro,related,word,word,0.438531701137679
brutal,cruel,related,word,word,0.586136036989596
mal,crueldade,related,word,word,0.237659271897245
inocente,culpado,related,word,word,0.584738086807023
recuperar,curar,related,word,word,0.427778167164833
dançarino,dança,related,word,word,0.546935767654011
oferta,dar,related,word,word,0.187417388779387
século,década,related,word,word,0.536402248123601
comentário,declaração,related,word,word,0.361256368255599
dedo,polegar,related,word,word,0.667957547291125
proteger,defender,related,word,word,0.668686768436672
conceito,definição,related,word,word,0.503502126763977
permitir,deixar,related,word,word,0.603317063915654
direita,esquerda,related,word,word,0.938858474230985
saboroso,delicioso,related,word,word,0.735337842988213
renúncia,demissão,related,word,word,0.578029936992905
liberdade,democracia,related,word,word,0.497659496164008
protesto,manifestação,related,word,word,0.556123099105938
unha,dente,related,word,word,0.404558638336781
estresse,depressão,related,word,word,0.48028451826251
vitória,derrota,related,word,word,0.67605195402521
obstáculo,desafio,related,word,word,0.449839196694925
desconfortável,desagradável,related,word,word,0.498165401088067
morte,desaparecimento,related,word,word,0.419619824550526
surpresa,desapontamento,related,word,word,0.328002470159314
anónimo,desconhecido,related,word,word,0.439463162029348
perfil,descrição,related,word,word,0.44167267620643
desejo,desejar,related,word,word,0.529807790701667
pintar,desenhar,related,word,word,0.636367211325455
progresso,desenvolvimento,related,word,word,0.562365964869351
sina,destino,related,word,word,0.38518031397117
criação,destruição,related,word,word,0.445902690895154
coragem,determinação,related,word,word,0.582088062965869
agente,detetive,related,word,word,0.545138327477423
responsabilidade,dever,related,word,word,0.410524320831855
fidelidade,devoção,related,word,word,0.559881278404377
novembro,dezembro,related,word,word,0.682118541130481
anjo,diabo,related,word,word,0.403726906087779
semelhante,diferente,related,word,word,0.486940997785604
orgulho,dignidade,related,word,word,0.430930682166004
pólvora,dinamite,related,word,word,0.532459071353874
sibilar,soar,related,word,word,0.246411497542668
numerário,dinheiro,related,word,word,0.397499100208192
direto,diretamente,related,word,word,0.664843503822312
produtor,diretor,related,word,word,0.493956304496569
conversação,discussão,related,word,word,0.555041307221527
chip,dispositivo,related,word,word,0.596474917549121
conflito,disputa,related,word,word,0.512446010747312
próximo,distante,related,word,word,0.380871062372792
município,distrito,related,word,word,0.551111009531164
deus,divino,related,word,word,0.459215659235136
unidade,divisão,related,word,word,0.547906626543678
caridade,doação,related,word,word,0.52082996146273
arquivo,documento,related,word,word,0.557029203655854
gripe,doença,related,word,word,0.560016892189566
enfermo,doente,related,word,word,0.545269723538093
libra,dólar,related,word,word,0.558000789693122
sábado,domingo,related,word,word,0.780540725364446
sofrimento,dor,related,word,word,0.677309547590288
descansar,dormir,related,word,word,0.562288695078231
cirurgião,doutor,related,word,word,0.51839897658768
primeiro,último,related,word,word,0.677607535270084
difícil,duro,related,word,word,0.500398109363308
saúde,educação,related,word,word,0.446595553407487
influência,efeito,related,word,word,0.40923243876805
útil,eficaz,related,word,word,0.436310389726217
teimoso,egoísta,related,word,word,0.600771105907099
moda,elegante,related,word,word,0.311464328601135
campanha,eleição,related,word,word,0.478805856930452
candidato,eleitor,related,word,word,0.601111658393363
factor,elemento,related,word,word,0.44135316762387
corrente,eletricidade,related,word,word,0.384208348976547
magnético,elétrico,related,word,word,0.426582078226178
noutro lugar,em algum lugar,related,word,word,
dados,informação,related,word,word,0.522588938965583
urgente,emergência,related,word,word,0.438722320556682
mental,emocional,related,word,word,0.601427715938232
milionário,empreendedor,related,word,word,0.467068111784247
ama,empregada,related,word,word,0.349844055836094
crédito,empréstimo,related,word,word,0.441101184076773
atraente,encantador,related,word,word,0.543967614344049
agradável,adorável,related,word,word,0.590351633607927
procurar,encontrar,related,word,word,0.593542563259038
conferência,encontro,related,word,word,0.363598510962796
potência,energia,related,word,word,0.532248875168454
espirituoso,engraçado,related,word,word,0.500473466707405
aprender,ensinar,related,word,word,0.727819347728048
escavar,enterrar,related,word,word,0.531616911721106
saída,entrada,related,word,word,0.692604578528261
praga,epidemia,related,word,word,0.632122239374617
séries,episódio,related,word,word,0.442517923479429
equipamento,equipar,related,word,word,0.469943554850478
liga,equipa,related,word,word,0.259816709013574
orgasmo,ereção,related,word,word,0.471011368959671
falta,erro,related,word,word,0.176859183170066
bisbolhetice,escândalo,related,word,word,
fugir,escapar,related,word,word,0.762786545560554
classe,escola,related,word,word,0.3801391557745
leitura,escrita,related,word,word,0.334026409734124
ler,escrever,related,word,word,0.680980481897531
poeta,escritor,related,word,word,0.596116302885378
escrivaninha,escritório,related,word,word,0.39228852416985
lasanha,esparguete,related,word,word,0.56840765857498
perito,especialista,related,word,word,0.864244245362782
reflexão,espelho,related,word,word,0.346449051903557
aguarde,esperar,related,word,word,0.460709753753785
sensacional,espetacular,related,word,word,0.535103889417485
alma,espírito,related,word,word,0.523111149137407
passatempo,desporto,related,word,word,0.445326483630916
marido,esposa,related,word,word,0.659591101915621
plataforma,estação,related,word,word,0.534544398194033
federal,estado,related,word,word,0.267256007249248
monumento,estátua,related,word,word,0.518567104844304
ritmo,estilo,related,word,word,0.422601476405077
ovni,extraterrestre,related,word,word,0.496046297132495
incomum,estranho,related,word,word,0.552987802827646
plano,estratégia,related,word,word,0.550376294566678
celebridade,estrela,related,word,word,0.497016010148663
pirâmide,estrutura,related,word,word,0.458830024688274
pesquisa,estudo,related,word,word,0.541335274456725
loucura,estupidez,related,word,word,0.63223266329535
ingénuo,estúpido,related,word,word,0.51954965710052
porco,carne,related,word,word,0.524882728981657
fenómeno,evento,related,word,word,0.431101699163077
finalmente,eventualmente,related,word,word,0.413616184463777
subestimar,exagerar,related,word,word,0.498893991915681
excelente,ótimo,related,word,word,0.682361491139651
especial,único,related,word,word,0.224610425024824
enforcamento,execução,related,word,word,0.533254617416061
prática,exercício,related,word,word,0.329444872252169
legião,exército,related,word,word,0.459978423925879
galeria,exibição,related,word,word,0.408436570104438
estouro,explodir,related,word,word,0.415860436852781
terremoto,explosão,related,word,word,0.514622945181322
bomba,explosivo,related,word,word,0.570176246321075
descrever,expressar,related,word,word,0.466839717593135
interno,externo,related,word,word,0.654702117170293
espada,faca,related,word,word,0.600059011971909
impossível,fácil,related,word,word,0.572716933993274
palestra,falar,related,word,word,0.294117020027948
sucesso,falha,related,word,word,0.297083293021739
farsa,falso,related,word,word,0.36235165325778
clã,família,related,word,word,0.456477441057284
popular,famoso,related,word,word,0.48169021047645
realidade,fantasia,related,word,word,0.529784426454714
maravilhoso,fantástico,related,word,word,0.83730954092531
grão,farinha,related,word,word,0.465395326117243
mortal,fatal,related,word,word,0.574563888840007
correspondência,fax,related,word,word,0.291172145991547
fazer,faz,related,word,word,0.56921502556254
esperança,fé,related,word,word,0.524864051441138
tosse,febre,related,word,word,0.529467058481338
trancado,fechado,related,word,word,0.682846649335891
abrir,fechar,related,word,word,0.737872121803846
abertura,fecho,related,word,word,0.385173719994541
colónia,federação,related,word,word,0.38737771652911
repulsivo,feio,related,word,word,
satisfeito,feliz,related,word,word,0.607718841886636
masculino,feminino,related,word,word,0.779190219522151
natal,feriado,related,word,word,0.59482955593394
lesão,ferida,related,word,word,0.530018882270116
recepção,festa,related,word,word,0.46984949451209
carnaval,festival,related,word,word,0.397886146865007
leal,fiel,related,word,word,0.681552534565701
rim,fígado,related,word,word,0.657033311822483
filha,filho,related,word,word,0.626993986760727
pornográfico,filme,related,word,word,0.413935538162174
final,definitiva,related,word,word,0.31294241039683
fim,finalizar,related,word,word,0.296249086123696
bancário,financeiro,related,word,word,0.553027547718232
orçamento,verbas,related,word,word,0.452673391839224
financeiramente,financiamento,related,word,word,0.453183292609152
sexual,físico,related,word,word,0.401551717385663
planta,flor,related,word,word,0.536088322960157
selva,floresta,related,word,word,0.704308789689323
líquido,fluido,related,word,word,0.678917120540669
forno,fogão,related,word,word,0.630568250997636
força,vigor,related,word,word,0.387933484446922
abelha,formiga,related,word,word,0.551243073872046
pesado,pesadamente,related,word,word,0.505895951161282
firmemente,fortemente,related,word,word,0.516897775017129
tesouro,fortuna,related,word,word,0.36897837320939
imagem,foto,related,word,word,0.563404871689799
autógrafo,fotógrafo,related,word,word,0.46459034532858
forte,fraco,related,word,word,0.555637816022449
inglês,francês,related,word,word,0.731852741598078
dicionário,frase,related,word,word,0.394679773728121
palavra,frase,related,word,word,0.580320518033908
conspiração,fraude,related,word,word,0.469891781903273
caloroso,frio,related,word,word,0.287671886745549
naval,frota,related,word,word,0.434302805399199
maçã,fruta,related,word,word,0.565190625545207
refugiado,fugitivo,related,word,word,0.392993537118338
operacional,funcional,related,word,word,0.512250408299058
reboque,carrinha,related,word,word,0.50851357380017
raiva,fúria,related,word,word,0.70011833850997
basquetebol,futebol,related,word,word,0.824561771015575
universo,galáxia,related,word,word,0.641036708021185
ganhar,vencer,related,word,word,0.710486537836107
oficina,garagem,related,word,word,0.623996692405907
empregado,empregada,related,word,word,0.738020012423882
colher,garfo,related,word,word,0.469160163275495
rapazes,raparigas,related,word,word,0.595520410769083
rapariga,rapaz,related,word,word,0.61991814436305
copo,garrafa,related,word,word,0.612197706675391
desperdício,gastar,related,word,word,0.413039475390832
cão,gato,related,word,word,0.763587744222999
lésbica,gay,related,word,word,0.60470240536466
misericordioso,generoso,related,word,word,0.50544943024359
naturalmente,geralmente,related,word,word,0.425113458806955
virar,girar,related,word,word,0.419365254980301
nacional,global,related,word,word,0.512236333558304
glorioso,glória,related,word,word,0.513210259970515
macaco,gorila,related,word,word,0.606962069059598
administração,governo,related,word,word,0.51264703959631
diploma,licenciado,related,word,word,0.525626168741428
quilo,grama,related,word,word,0.507857397723243
curto,longo,related,word,word,0.66483559262646
hospitalidade,gratidão,related,word,word,0.514365892644225
livremente,livre,related,word,word,0.425639963503592
registro,gravação,related,word,word,0.310559161866193
vincular,atar,related,word,word,0.195438910080071
nascimento,gravidez,related,word,word,0.371865751662586
romano,grego,related,word,word,0.53111202999671
bater,golpe,related,word,word,0.272016351542174
fino,grosso,related,word,word,0.511165026809014
gangue,grupo,related,word,word,0.534835497505504
esperar,manter,related,word,word,0.213521609767193
esquilo,guaxinim,related,word,word,0.59897401446159
soldado,guerreiro,related,word,word,0.534859634267404
piano,guitarra,related,word,word,0.660386685808374
capacidade,habilidade,related,word,word,0.746180037237946
sanduíche,hamburger,related,word,word,0.549808811746305
equilíbrio,harmonia,related,word,word,0.502179086105714
ambulância,helicóptero,related,word,word,0.490254673636482
arranhão,hematoma,related,word,word,0.480093354232058
herança,herdar,related,word,word,0.539723783203622
cocaína,heroína,related,word,word,0.765715675951756
carbono,hidrogénio,related,word,word,0.592093052970717
sida,hiv,related,word,word,0.641332493348673
super-homem,batman,related,word,word,
lealdade,honestidade,related,word,word,0.592449654325835
decente,honesto,related,word,word,0.519140506085001
privilégio,honra,related,word,word,0.544301297112161
terrível,horrível,related,word,word,0.856707885616633
homem,humano,related,word,word,0.436483563074992
tolo,idiota,related,word,word,0.700789803044184
grande,imenso,related,word,word,0.306102720902838
imperial,imperador,related,word,word,0.537585393272847
dinastia,império,related,word,word,0.483630538769398
significado,importância,related,word,word,0.596079780526701
valioso,importante,related,word,word,0.555738782138261
incapacidade,incapaz,related,word,word,0.563831536684133
desamparado,impotente,related,word,word,0.513006038154899
dna,impressão digital,related,word,word,
lisonjear,impressionar,related,word,word,0.511690227336585
nojento,imundo,related,word,word,0.69014602499253
impressionante,incrível,related,word,word,0.722830828013786
apontar,indicar,related,word,word,0.483631292937571
pessoa,individual,related,word,word,0.250351008475653
repentino,inesperadamente,related,word,word,0.390533452867049
juventude,infância,related,word,word,0.515278831479745
vírus,infecção,related,word,word,0.582155336726468
superior,inferior,related,word,word,0.699446435316152
paraíso,inferno,related,word,word,0.523659536696981
fonte,informante,related,word,word,0.334594892139495
relatar,informar,related,word,word,0.611360299252318
lamentável,infortúnio,related,word,word,0.426481695097917
dose,injeção,related,word,word,0.51425166325341
injustiça,injusto,related,word,word,0.568693926967647
aranha,inseto,related,word,word,0.490002347765934
exame,inspeção,related,word,word,0.439904049919685
inspirar,inspiração,related,word,word,0.657809124757526
ferramenta,instrumento,related,word,word,0.513191970541882
esperto,inteligente,related,word,word,0.747522844779654
propósito,intenção,related,word,word,0.412650629944254
acidentalmente,intencionalmente,related,word,word,0.546110296824863
excitante,interessante,related,word,word,0.643152039451743
pessoal,íntimo,related,word,word,0.226308551293521
instinto,intuição,related,word,word,0.584742071276475
imprestável,inútil,related,word,word,0.470264872629998
verão,inverno,related,word,word,0.656890098389651
banqueiro,investidor,related,word,word,0.588800420526202
analista,investigador,related,word,word,0.545632863595939
examinar,investigar,related,word,word,0.545541852026087
finança,investir,related,word,word,0.287668326236241
entrar,ir,related,word,word,0.392383962282618
irmã,irmão,related,word,word,0.580302560355904
ironia,irónico,related,word,word,0.489648933027676
irracional,irresponsável,related,word,word,0.507438810210972
armadilha,isca,related,word,word,0.484887679237492
camisa,casaco,related,word,word,0.674210828848207
ombro,joelho,related,word,word,0.604416474052718
treinador,jogador,related,word,word,0.63815980201494
jogar,jogo,related,word,word,0.682395462859879
diamante,jóia,related,word,word,0.510895531081134
artigo,jornal,related,word,word,0.597415469348189
repórter,jornalista,related,word,word,0.844768188065666
tribunal,juiz,related,word,word,0.645503638427293
junho,julho,related,word,word,0.682529869576002
romeu,julieta,related,word,word,0.807321701104716
sénior,júnior,related,word,word,0.322507214185324
jurar,juramento,related,word,word,0.544576646770577
ilegal,legal,related,word,word,0.554158541232894
vingança,justiça,related,word,word,0.503028386130995
aqui,lá,related,word,word,0.566364895723089
fora,dentro,related,word,word,0.570172373932871
rã,lagarto,related,word,word,0.474838800659189
rio,lago,related,word,word,0.695536184170607
atum,lagosta,related,word,word,0.551309387312715
chupar,lamber,related,word,word,0.610793158013555
verde,laranja,related,word,word,0.5969142453214
limpar,lavagem,related,word,word,0.267976140078102
dragão,leão,related,word,word,0.501129476264583
esquecer,lembrar,related,word,word,0.659547281642756
pano,lenço,related,word,word,0.492821864106346
mito,lenda,related,word,word,0.596943086027921
oeste,leste,related,word,word,0.731369046531904
conservador,liberal,related,word,word,0.590860521398536
membro,líder,related,word,word,0.554681252321
táxi,limusine,related,word,word,0.527076956355837
bonito,lindo,related,word,word,0.829492466496244
ming,ling,related,word,word,0.549753828448503
arte,literatura,related,word,word,0.534114415026109
bíblia,livro,related,word,word,0.513886460043611
lixeira,lixo,related,word,word,0.60913400813482
urso,lobo,related,word,word,0.614419718821071
regional,local,related,word,word,0.221824467035227
local,localização,related,word,word,0.368838329895861
paranóico,louco,related,word,word,0.606357927371916
campeão,lutador,related,word,word,0.573539070702122
combater,lutar,related,word,word,0.661118249909607
escuridão,luz,related,word,word,0.556265451026484
ketchup,maionese,related,word,word,0.580440654671347
pasta,mala,related,word,word,0.608045032998426
papá,mamã,related,word,word,0.828368924348989
trazer,mandar,related,word,word,0.406908516659318
bombear,mangueira,related,word,word,0.372555804398144
amanhã,manhã,related,word,word,0.574608878884347
controlar,manipular,related,word,word,0.534666906576573
gajo,mano,related,word,word,0.466392879043512
mel,manteiga,related,word,word,0.433733880899126
preservar,manter,related,word,word,0.481269481331066
serviço,manutenção,related,word,word,0.351303307444604
bússola,mapa,related,word,word,0.492489492394736
robô,máquina,related,word,word,0.442375768881164
marinho,marinha,related,word,word,0.475862599327805
pirata,marinheiro,related,word,word,0.519166530638987
anúncio,marketing,related,word,word,0.226200839290965
bastão,martelo,related,word,word,0.584890386301149
ioga,massagem,related,word,word,0.465828981749182
engolir,mastigar,related,word,word,0.538951935734004
veneno,matar,related,word,word,0.298915026343111
física,matemática,related,word,word,0.559118615428527
bom,mau,related,word,word,0.684254679257993
mínimo,máximo,related,word,word,0.61698271366816
técnico,mecânico,related,word,word,0.524011722868566
troféu,medalha,related,word,word,0.525369207542677
artefato,medalhão,related,word,word,0.385816198064848
álcool,droga,related,word,word,0.512704005820454
horror,medo,related,word,word,0.320612920083694
meia-noite,meio-dia,related,word,word,
mudança,melhoria,related,word,word,0.502776979178535
mais,menos,related,word,word,0.543839642736939
aviso,mensagem,related,word,word,0.360467923469517
mentira,mentiroso,related,word,word,0.505471568930211
ferro,metal,related,word,word,0.498650795596251
quilómetro,metro,related,word,word,0.479102986133793
câmera,microfone,related,word,word,0.513349967310582
telescópio,microscópio,related,word,word,0.516015818995274
civil,militares,related,word,word,0.406683494847934
embaixada,ministério,related,word,word,0.394893937344455
embaixador,ministro,related,word,word,0.49150338551427
segundo,minuto,related,word,word,0.653484939407212
pobreza,miséria,related,word,word,0.579149617076151
perdão,misericórdia,related,word,word,0.579076297777534
tarefa,missão,related,word,word,0.659501456456916
