"fi_cue","fi_target","fi_fake_target","fi_fake_cue","en_cue","en_target"
"jazz","musiikki","mupyyhki","jauu","jazz","music"
"jeeppi","kuorma-auto","kuorelotto","lietpi","jeep","truck"
"jengi","ryhmä","hammä","kurgi","gang","group"
"jo","edelleen","käynleen","rd","already","still"
"job","työ","otö","rub","job","work"
"johtaja","pomo","huumo","laistaja","manager","boss"
"johto","hallinnollinen","hallinjacquelinen","histo","management","administrative"
"johtopäätös","oletus","nontus","johtopäämioon","conclusion","assumption"
"joki","järvi","liovi","jomot","river","lake"
"jooga","hieronta","hienaasta","nalga","yoga","massage"
"joskus","usein","usann","kinkus","sometimes","often"
"joulu","loma-","kesma","sillu","christmas","holiday"
"journalismi","politiikka","aseellitiikka","tuplanalismi","journalism","politics"
"julkkis","tähti","lanti","julknön","celebrity","star"
"julma","julma","hioma","anoma","brutal","cruel"
"jumala","jumalallinen","jumalallilywood","jukoilla","god","divine"
"juoda","olut","olee","vanda","drink","beer"
"juoru","skandaali","tartdaali","vahru","gossip","scandal"
"juosta","kävellä","käsuurlä","biasta","run","walk"
"kaaos","sekaannus","seluotnus","kachs","chaos","confusion"
"kaapeli","lanka","käska","alunpeli","cable","wire"
"kaappi","kaappi","kortpi","raispi","cabinet","closet"
"kaasu","polttoaine","poltgreene","heisu","gas","fuel"
"kaikki yhteensä","saattaa loppuun","saattaa losiiie","diploki yhteensä","total","complete"
"kaivaa","haudata","vioidata","kailut","dig","bury"
"kaksi","neljäs","neltop","sulsi","two","four"
"kaksinkertainen","kolminkertaistaa","kolskywalkertaistaa","recordsinkertainen","double","triple"
"kalenteri","ajoittaa","alcattaa","kaskootteri","calendar","schedule"
"kaliiperi","bullet","moilet","kakrampperi","caliber","bullet"
"kallis","halpa","siepa","kaldyt","expensive","cheap"
"kamera","mikrofoni","lothbrofoni","kaaustra","camera","microphone"
"kampanja","vaalit","vaaras","juokpanja","campaign","election"
"kana","turkki","tienki","kasit","chicken","turkey"
"kanava","uutiset","uutilaan","kanaliik","channel","news"
"kaneli","vanilja","varaanja","kanetaan","cinnamon","vanilla"
"kangas","nenäliina","nenäköäänna","kanköä","cloth","handkerchief"
"kansainvälinen","maailman-","maailtua","idiootsainvälinen","international","world"
"kansallinen","maailmanlaajuinen","suklaamanlaajuinen","kanrizzolinen","national","global"
"kapasiteetti","kyky","kypin","kapasiimplantti","capacity","ability"
"kapea","leveä","lehyn","kavil","narrow","wide"
"kappale","pala","rilla","suospale","fragment","piece"
"kapseli","koetin","hämtin","juokseli","capsule","probe"
"karhu","susi","fyysi","työhu","bear","wolf"
"karnevaali","festivaali","aloiltivaali","mcclanevaali","carnival","festival"
"kärsiä","kuolla","railla","piksiä","suffer","die"
"kärsimys","kipu","kityk","kärsitään","suffering","pain"
"kärsimys","kiduttaa","kimaantaa","kärsitään","torment","torture"
"kärsivällisyys","myötätunto","reiästätunto","kärsivällirencen","patience","compassion"
"käsi","varsi","noksi","harsi","hand","arm"
"käsitellä asiaa","menettely","meavaintely","käsitellä aspulcoon","process","procedure"
"kasvain","syöpä","porpä","kaslöön","tumor","cancer"
"käteinen raha","raha","ratyi","käteinen rrowitz","cash","money"
"katolinen","kristillinen","elekttillinen","katoliloway","catholic","christian"
"katso","katsella","katkaisla","selso","look","watch"
"kauhea","kamala","kanoilla","kaunas","terrible","horrible"
"kauhu","pelko","mosko","arthu","horror","fear"
"kaupallinen","kauppias","kirkpias","kaurizzolinen","commercial","merchant"
"käytä","käyttää","möittää","maitä","apply","use"
"käytäntö","poliitikko","poeverstikko","käysyöttö","policy","politician"
"keisarillinen","keisari","siassari","plazassarillinen","imperial","emperor"
"keitto","salaatti","sakointi","bristo","soup","salad"
"kemia","biologia","pyynlogia","keään","chemistry","biology"
"kemiallinen","biologinen","elektloginen","keleyynlinen","chemical","biological"
"kerätä","kerätä","kesyistä","keneestä","collect","gather"
"kerma","kastike","teettike","olema","cream","sauce"
"kerros","pinta-","väita","kerlät","layer","surface"
"kersantti","luutnantti","trianantti","kerluisti","sergeant","lieutenant"
"kesä","talvi-","jänvi","kenut","summer","winter"
"kesäkuu","heinäkuu","heinäläis","kesäteen","june","july"
"keskeyttää","häiritä","securitä","kesväistää","interrupt","disturb"
"keskittyä","keskity","pankkity","keseläytyä","focus","concentrate"
"keskiyöllä","keskipäivä","keskileaksvä","kespizzalä","midnight","noon"
"keskustelu","keskustelu","kesaloittelu","kesaloittelu","conversation","discussion"
"ketju","köysi","juasi","siuju","chain","rope"
"ketsuppi","majoneesi","majoprinssi","ketniimpi","ketchup","mayonnaise"
"kettu","kani","neeni","dantu","fox","rabbit"
"kevät","syksy","akasy","ketie","spring","autumn"
"kielletty","kieltää","keyttää","pääsletty","forbidden","prohibit"
"kieltäytyä","hyväksyä","hyväkmuus","päästäytyä","refuse","accept"
"kiertue","konsertti","konvaasti","kierpöä","tour","concert"
"kiinteistö","omistaja","asuntaja","kiinälyttö","property","owner"
"kiireellinen","hätä","ristä","kiijacquelinen","urgent","emergency"
"kiitollinen","kiittää","säistää","kiirizzolinen","grateful","thank"
"kiivetä","hypätä","hygieetä","teenvetä","climb","jump"
"kilo","gramma","freema","kivää","kilo","gram"
"kilometri","mittari","panktari","kilolanceri","kilometer","meter"
"kilpailu","mestaruus","mestamiin","pääspailu","competition","championship"
"kilpi","panssari","teetsari","muspi","shield","armor"
"kirjaimellisesti","käytännössä","käytäneteensä","kirjaimelliimplantti","literally","practically"
"kirjasto","museo","munuh","kirviitto","library","museum"
"kirjekuori","paketti","pamuisti","kirjelanceri","envelope","package"
"kirkko","kappeli","juokpeli","siepko","church","chapel"
"kirous","noita","rieta","kijoat","curse","witch"
"kirurgi","lääkäri","tanskäri","kitaangi","surgeon","doctor"
"kiva","ihana","berna","kiloi","nice","lovely"
"kivääri","ase","kle","kiterpri","rifle","gun"
"kivihiili","öljy","ölfan","kivideoonli","coal","oil"
"klaani","perhe","kulhe","vaahni","clan","family"
"klubi","baari","ajeri","hatbi","club","bar"
"koe","testata","polttata","aue","experiment","test"
"kohta","osoittaa","asiaktaa","perta","point","indicate"
"kohtalo","kohtalo","suuttalo","suuttalo","fate","destiny"
"kohteliaisuus","lahja","erija","kohterencesuus","compliment","gift"
"kohtelias","ystävällinen","ystäjacquelinen","kohtevoin","polite","friendly"
"kohtuuton","vastuuton","vasosaston","kohliitton","unreasonable","irresponsible"
"koira","kissa","hääsa","rasra","dog","cat"
"kokaiini","heroiini","heälyäni","kouraani","cocaine","heroin"
"kokea","tieto","huoto","koham","experience","knowledge"
"kokki","kokki","evaki","punki","cook","chef"
"koko","pituus","pikyys","kojen","size","length"
"kollega","ystävä","suuntävä","siirlega","colleague","friend"
"kolmas","neljäs","neltop","saamas","third","fourth"
"komentaja","kapteeni","suosteeni","koaloittaja","commander","captain"
"komento","tilaus","tijaat","kosiirto","command","order"
"komissio","komitea","komidiin","komiskeat","commission","committee"
"kommentti","lausunto","laukiehto","komkaasti","comment","statement"
"kompassi","kartta","koorta","syytpassi","compass","map"
"konferenssi","tapaaminen","auschwitzistapaaminen","konfeohueksi","conference","meeting"
"konflikti","riita","tarta","järklikti","conflict","dispute"
"konkreettinen","teräs","tetaf","yleenreettinen","concrete","steel"
"konsepti","määritelmä","shangritelmä","konvoitti","concept","definition"
"konservatiivinen","liberaali","libelizesli","repliikservatiivinen","conservative","liberal"
"koodi","salasana","auschwitzissalasana","reidi","code","password"
"koripallo","jalkapallo","osoitkapallo","koriguezinlo","basketball","football"
"korjata","korjaus","korjeen","avaajata","fix","repair"
"korvata","korvata","raanvata","raanvata","replace","substitute"
"koskea","huoli","koili","kosliä","concern","worry"
"kosto","oikeus","oisian","herto","revenge","justice"
"kouluttaa","bussi","saksi","siirluttaa","train","bus"
"kova","kova","kodis","kodis","tough","hard"
"köyhyys","kurjuus","kurlais","köyfeus","poverty","misery"
"kreivi","laskea","lasliä","tienvi","count","calculate"
"kriittinen","poliittinen","poeverstinen","eloontinen","critical","political"
"kruunu","valtaistuin","valheeltuin","ruisnu","crown","throne"
"kuiva","märkä","guikä","norva","dry","wet"
"kukkula","vuori","sabri","asenkula","hill","mountain"
"kulho","lautanen","lautavuus","perho","bowl","plate"
"kulma","kuja","kunin","perma","corner","alley"
"kultainen","hopea","homio","odottainen","golden","silver"
"kulttuuri","sivilisaatio","sivilisaarencen","frantuuri","culture","civilization"
"kuningatar","kuningas","kuninroin","kuningafield","queen","king"
"kuninkaallinen","kuningaskunta","kuningasasioista","kuninkaallilowitz","royal","kingdom"
"kunniamerkki","yhtenäinen","yhteriöönnen","kunniabronski","badge","uniform"
"kunnioittaminen","luottamus","työntamus","kunkazakstaminen","respect","confidence"
"kunnollinen","rehellinen","rerizzolinen","kunrizzolinen","decent","honest"
"kuolema","katoaminen","kaepäihminen","reillema","death","disappearance"
"kuppi","kahvi","päivi","jacpi","cup","coffee"
"kurja","säälittävä","maaillittävä","sisja","miserable","pathetic"
"kurkku","kaula","lolla","taakku","throat","neck"
"kuu","aurinko","aukeuhko","nzu","moon","sun"
"kuukausi","viikko","avaiko","kuuneeksi","month","week"
"kuulo","oikeudenkäynti","oikeudenidiootti","taylo","hearing","trial"
"kuuma","kylmä","törmä","thoma","hot","cold"
"kuun-","aurinko-","aukeuhko","crun","lunar","solar"
"kuunnella","kuulla","seilla","työsnella","listen","hear"
"kuva","kuva","kunin","kunin","picture","photo"
"kuvata","ilmaista","ilpoltta","kukuutta","describe","express"
"kuvernööri","senaattori","sestocktori","kuvermeklari","governor","senator"
"kypärä","hattu","tratu","kypätion","helmet","hat"
"kysymys","kysyä","kymoa","kysynoon","question","ask"
"kysyntä","pyyntö","marktö","kykeittä","demand","request"
"kyvyttömyys","ei pysty","ei pyfair","kyvyttötioon","inability","unable"
"lääketieteellinen","psykologinen","suklaakologinen","brooklyketieteellinen","medical","psychological"
"lääni","kaupunginosa","idiootpunginosa","jieni","county","district"
"laatikko","laukku","vaelku","poistikko","box","bag"
"ladata","rahti","avoti","lahuolta","load","cargo"
"lähde","ilmiantaja","ilaluettaja","muude","source","informant"
"lahden","satama","auschwitzissatama","huuden","bay","harbor"
"lähellä","kaukana","liikkana","läkäänlä","near","far"
"lahjoa","kiristää","kinäyttää","lahsio","bribe","blackmail"
"laiton","laillinen","ajaslinen","tunton","illegal","legal"
"laitteet","varustaa","vapolttaa","omisteet","equipment","equip"
"laki","perustuslaki","perusalexillaki","lavas","law","constitution"
"lakimies","syyttäjä","palktäjä","lakirouk","lawyer","prosecutor"
"lämmin","viileä","viiköt","vihmin","warm","cool"
"lämpö","lämpötila","maailpötila","tespö","heat","temperature"
"lamppu","kynttilä","opastilä","narkpu","lamp","candle"
"länsi","itään","amään","tyksi","west","east"
"lasagna","spagetti","brisgetti","laguerna","lasagna","spaghetti"
"lasi-","pullo","reilo","täisi","glass","bottle"
"lasit","korkki","joanki","lakul","glasses","cap"
"laskimo","valtimo","senttimo","piikkimo","vein","artery"
"lasku","lento","suuto","nukku","landing","flight"
"läsnäolo","poissaolo","kiersaolo","läsnämius","presence","absence"
"lastenhoitaja","piika","mukka","lastenkazakstaja","nanny","maid"
"lattia","matto","työto","teutia","floor","carpet"
"lauantai","sunnuntai","sunnunbien","lauanreet","Saturday","Sunday"
"laukaista","aktivoida","aktibarksda","lauseenta","trigger","activate"
"laukaus","ampua","amnes","laudaan","shot","shoot"
"laulaja","muusikko","muukeuhko","koillaja","singer","musician"
"lausunto","asenne","mianne","laukiehto","opinion","attitude"
"legio","armeija","artacoja","ledos","legion","army"
"lehmä","sika","sivis","hyömä","cow","pig"
"leima","allekirjoitus","allekirjoirencen","paama","stamp","signature"
"leipä","juusto","kurkto","kospä","bread","cheese"
"leiri","kylä","kysei","nööri","camp","village"
"lesbo","homo","lasmo","ajebo","lesbian","gay"
"leski","nainen","juhnen","ninki","widow","woman"
"levätä","nukkua","nuksil","leylistä","rest","sleep"
"liiga","tiimi","apumi","orega","league","team"
"liikkua","siirtää","siirrol","vuokkua","move","transfer"
"liittokansleri","presidentti","presituointi","liittoalexilleri","chancellor","president"
"liittovaltion-","osavaltio","kuulvaltio","stocktovaltion","federal","state"
"likainen","ällöttävä","älreiästävä","lisyytnen","dirty","disgusting"
"limsa","sooda","jerda","obasa","lemonade","soda"
"lippu","passi","häisi","isäpu","ticket","passport"
"lippu","symboli","alasboli","isäpu","flag","symbol"
"lisääntyä","vähentää","vähengail","likiihtyä","increase","reduce"
"lisäys","laittaa","heuttaa","lisyen","insert","put"
"lohikäärme","leijona","suunjona","lohitioimme","dragon","lion"
"lomake","merkki","lääkki","lobunkke","form","sign"
"loppu","viedä loppuun","viedä loberts","naapu","end","finish"
"lopuksi","lopulta","loveista","loosaisi","finally","eventually"
"lopullinen","perimmäinen","perimfalconen","lorizzolinen","final","ultimate"
"loukkaus","loukata","kriskata","haaskaus","insult","offend"
"lukea","kirjoittaa","kirsuuntaa","lupoi","read","write"
"lukeminen","kirjoittaminen","kirkazakstaminen","lukemiracle","reading","writing"
"lukittu","suljettu","sulmaastu","lusaastu","locked","closed"
"luoda","tuottaa","hauttaa","manda","create","produce"
"luokka","koulu","paslu","keitka","class","school"
"luominen","tuhoaminen","tuepäihminen","charminen","creation","destruction"
"luonnollinen","keinotekoinen","keinotecheyennen","maailnollinen","natural","artificial"
"luonnollisesti","yleisesti","kiissesti","heightnollisesti","naturally","generally"
"luottamus","uskoa","usdan","työntamus","trust","believe"
"luotto","lainata","journata","päätto","credit","loan"
"lupa","hyväksyminen","hyacinthsyminen","lutuu","permission","approval"
"lusikka","haarukka","haahaaska","luneetka","spoon","fork"
"luu","kallo","geolo","nzu","bone","skull"
"lyhyt","pitkä","elokä","lydox","short","long"
"maa","kansakunta","kansamaiiata","ría","country","nation"
"maa","lentää","märtää","ría","land","fly"
"maahantunkeutuminen","hyökkäys","hyökkoit","greenwichantunkeutuminen","invasion","attack"
"maailmankaikkeus","galaksi","gaviitsi","useammankaikkeus","universe","galaxy"
"maali-","piirtää","säistää","joili","paint","draw"
"maanantai","tiistai","eriltai","maananjuus","monday","tuesday"
"maanjäristys","räjähdys","räjähhiin","aloitjäristys","earthquake","explosion"
"määrä","laatu","koutu","hierä","quantity","quality"
"määrä","osoite","avaite","hierä","number","address"
"mafia","kartelli","karihaili","magas","mafia","cartel"
"magneettinen","sähköinen","työsköinen","magchristinen","magnetic","electric"
"mahdollisuus","mahdollisuus","mahdollifield","mahdollifield","chance","possibility"
"mahdoton","helppo","korppo","ecuadoton","impossible","easy"
"mahtava","kunnia","tapnia","teistava","glorious","glory"
"maili","senttimetri","aloiltimetri","gulli","mile","centimeter"
"mainonta","markkinointi","markkieversti","maihaalta","advertising","marketing"
"maito","mehu","meran","eetto","milk","juice"
"majesteettinen","korkeus","korjuun","majesimplanttinen","majesty","highness"
"makea","söpö","caspö","masil","sweet","cute"
