"fi_target","fi_cue","type","target_type","cue_type","fi_cosine"
"valokuvaaja","autografi","related","word","word",NA
"päättäminen","avaaminen","related","word","word",0.576822153065827
"lukko","avain","related","word","word",0.487412664227679
"kiinni","avata","related","word","word",0.27193728834631
"katu","avenue","related","word","word",0.491645983203313
"avioliitto","avioero","related","word","word",0.580448552700011
"vaimo","aviomies","related","word","word",0.644657647663612
"voimaton","avuton","related","word","word",0.494709925763943
"mansikka","banaani","related","word","word",0.464229478169353
"palkinto","bonus","related","word","word",0.299997065095461
"tuote","brändi","related","word","word",0.374251884091401
"alfa","bravo","related","word","word",0.514222113365657
"rahoitus","budjetti","related","word","word",0.474629312138867
"rooma","caesar","related","word","word",0.53764184047572
"yliopisto","college","related","word","word",0.515514057476289
"reikä","crack","related","word","word",0.200067557487538
"professori","dekaani","related","word","word",0.44792918726962
"sormenjälki","dna","related","word","word",0.526896594080986
"komedia","draama","related","word","word",0.470727937817791
"romanttinen","dramaattinen","related","word","word",0.522181850577267
"video-","dvd","related","word","word",NA
"valtakunta","dynastia","related","word","word",0.41920095562266
"takaosa","edestä","related","word","word",0.333629288692967
"jatkaa","edetä","related","word","word",0.354697819331444
"kehitys","edistyminen","related","word","word",0.524391791248247
"äänestäjä","ehdokas","related","word","word",0.542435532098092
"ehdottaa","ehdottaa","related","word","word",1
"täysin","ehdottomasti","related","word","word",0.314584265213197
"koskaan","ei koskaan","related","word","word",NA
"jotain","ei mitään","related","word","word",NA
"hengissä","elää","related","word","word",0.355497811915639
"sirkus","eläintarha","related","word","word",0.435403376417969
"palkka","eläke","related","word","word",0.462151924434448
"toimia","ele","related","word","word",0.206764233532613
"teatteri","elokuva","related","word","word",0.420135581948971
"kuollut","elossa","related","word","word",0.445989608120984
"rakastaja","emäntä","related","word","word",0.356195001011385
"ranskan kieli","englanti","related","word","word",NA
"paholainen","enkeli","related","word","word",0.510782075261923
"äänite","ennätys","related","word","word",0.227215460420349
"kestää","ensimmäinen","related","word","word",0.12485690323697
"epäilty","epäillä","related","word","word",0.481702360518379
"epämiellyttävä","epämiellyttävä","related","word","word",1
"epäoikeudenmukainen","epäoikeudenmukaisuus","related","word","word",0.862112577007695
"outo","epätavallinen","related","word","word",0.542503918435656
"ainutlaatuinen","erikoinen","related","word","word",0.575662861285395
"loistava","erinomainen","related","word","word",0.749040423237694
"erittäin","erittäin","related","word","word",1
"hylkääminen","erota","related","word","word",0.101753133541413
"seurata","escort","related","word","word",0.0590540867927642
"tapahtua","esiintyä","related","word","word",0.341216687936776
"aihe","esine","related","word","word",0.237121615938875
"medallari","esine","related","word","word",NA
"lopettaa","estää","related","word","word",0.370585449432189
"haaste","este","related","word","word",0.364556616522592
"nopeus","etäisyys","related","word","word",0.550022672701531
"kilpikonna","etana","related","word","word",0.394094629793299
"pohjoinen","etelään","related","word","word",0.530516439754774
"läntinen","eteläinen","related","word","word",0.541579964923409
"kunnia","etuoikeus","related","word","word",0.542530847862654
"mutaatio","evoluutio","related","word","word",0.476936676757706
"älykäs","fiksu","related","word","word",0.775845849435622
"uskonto","filosofia","related","word","word",0.418008253013794
"sairaus","flunssa","related","word","word",0.476193999500411
"asema","foorumi","related","word","word",0.197207413378986
"matematiikka","fysiikka","related","word","word",0.728361386648876
"näyttely","galleria","related","word","word",0.545490725938692
"reaktori","generaattori","related","word","word",0.589243761107414
"tennis","golf","related","word","word",0.464402393716397
"vamma","haava","related","word","word",0.594932468426933
"löytö","hae","related","word","word",0.148684913543083
"kalastaa","hai","related","word","word",0.332347971535703
"hallitus","hallinto","related","word","word",0.627647521952098
"onnistua","hallita","related","word","word",0.239489041866972
"hälytys","hälytys","related","word","word",1
"hyönteinen","hämähäkki","related","word","word",0.484369436122639
"pukeutua","hame","related","word","word",0.319049669133927
"ankka","hanhi","related","word","word",0.495942627125189
"ohjelmoida","hanke","related","word","word",0.110039630037394
"harjoittele","harjoitella","related","word","word",0.65647344760428
"ajatella","harkita","related","word","word",0.484367320648821
"urheilu","harrastus","related","word","word",0.459018772425719
"hautausmaa","hauta","related","word","word",0.710346286401548
"arviointi","havainto","related","word","word",0.326357543052034
"voittaja","häviäjä","related","word","word",0.64181339037409
"hei hei","hei","related","word","word",NA
"peili","heijastus","related","word","word",0.426999707826351
"yksilö","henkilö","related","word","word",0.479435562191961
"intiimi","henkilökohtainen","related","word","word",0.337492121351094
"emotionaalinen","henkinen","related","word","word",0.578361026761917
"periä","heritage","related","word","word",0.140849208769543
"herkkä","herkkä","related","word","word",1
"lihas","hermo","related","word","word",0.481908786374225
"nainen","herra","related","word","word",0.101881728896416
"nopeasti","hidas","related","word","word",0.242648180613411
"vety","hiili","related","word","word",0.50038747246466
"rotta","hiiri","related","word","word",0.507892382626531
"rauhoittaa","hiljainen","related","word","word",0.244208350188368
"hiljaisuus","hiljainen","related","word","word",0.57346089530767
"toive","himoita","related","word","word",0.12408728042813
"olento","hirviö","related","word","word",0.494312319017841
"nopeasti","hitaasti","related","word","word",0.611421686007964
"parta","hiukset","related","word","word",0.437635610821336
"hoito","hoito","related","word","word",1
"idiootti","hölmö","related","word","word",0.611676297507186
"adrenaliini","hormoni","related","word","word",0.455173175559181
"motelli","hotelli","related","word","word",0.75876576180194
"pohja","huippu","related","word","word",0.289819820915931
"uida","hukkua","related","word","word",0.489641243281679
"tyhmyys","hulluus","related","word","word",0.475683047150213
"voita","hunaja","related","word","word",0.277143372374642
"hermostunut","huolestunut","related","word","word",0.632146607198934
"aamu","huomenna","related","word","word",0.305333276620742
"vetää puoleensa","huomio","related","word","word",NA
"makuuhuone","huone","related","word","word",0.673782142944664
"rikas","huono","related","word","word",0.152800960648843
"tornado","hurrikaani","related","word","word",0.569754959307492
"poski","huuli","related","word","word",0.493460655212329
"hajuvesi","huulipuna","related","word","word",0.467903129466258
"myynti","huutokauppa","related","word","word",0.446511312868273
"nauraa","hymy","related","word","word",0.282202488408983
"tehokas","hyödyllinen","related","word","word",0.420842968508056
"arvoton","hyödytön","related","word","word",0.550152608241297
"huono","hyvä","related","word","word",0.698509770703242
"lahjoitus","hyväntekeväisyys","related","word","word",0.561298355259638
"teoria","idea","related","word","word",0.492892396834745
"arvostaa","ihailla","related","word","word",0.481884955816895
"fantastinen","ihana","related","word","word",0.503497536426837
"täydellinen","ihanteellinen","related","word","word",0.57944484633502
"kudos","iho","related","word","word",0.414076563903008
"ovi","ikkuna","related","word","word",0.64548323022836
"ruma","ikuinen","related","word","word",0.23283681822983
"ikuisesti","ikuinen","related","word","word",0.53209727231916
"likainen","ilkeä","related","word","word",0.401223536734989
"aamiainen","illallinen","related","word","word",0.653085495736162
"hallusinaatio","illuusio","related","word","word",0.36982166572535
"happi","ilmaa","related","word","word",0.395480997870439
"tapahtuma","ilmiö","related","word","word",0.45241945456018
"ilo","ilo","related","word","word",1
"nuolla","imeä","related","word","word",0.483383530189236
"inspiraatio","innostaa","related","word","word",0.288310083668953
"intohimo","innostus","related","word","word",0.50681999965752
"arkkitehti","insinööri","related","word","word",0.482312359488838
"verkko","internet","related","word","word",0.402090178270335
"ironinen","ironia","related","word","word",0.563010876149575
"äiti","isä","related","word","word",0.831561954637823
"valtava","iso","related","word","word",0.594291526050848
"kaupunki","iso alkukirjain","related","word","word",NA
"isoäiti","isoisä","related","word","word",0.588722881549163
"todella","itse asiassa","related","word","word",NA
"murhata","itsemurha","related","word","word",0.386215577642769
"itsekäs","itsepäinen","related","word","word",0.618098191900953
"kohta","jakso","related","word","word",0.188346260189888
"kakku","jälkiruoka","related","word","word",0.544826159826595
"urhea","jalo","related","word","word",0.457809323746645
"istua","jalustaa","related","word","word",0.244194950894378
"mielenkiintoista","jännittävä","related","word","word",0.399249768935304
"järjestää","järjestää","related","word","word",1
"johtaja","jäsen","related","word","word",0.517194110118897
"bro","jätkä","related","word","word",0.265148561913609
"luopua","jättää","related","word","word",0.295682578963774
"viettää","jätteet","related","word","word",0.0975973835040388
"musiikki","jazz","related","word","word",0.401308516322661
"kuorma-auto","jeeppi","related","word","word",NA
"ryhmä","jengi","related","word","word",0.492212109478804
"edelleen","jo","related","word","word",0.204379437697516
"työ","job","related","word","word",0.174909763510921
"pomo","johtaja","related","word","word",0.499664260127662
"hallinnollinen","johto","related","word","word",0.191043732041518
"oletus","johtopäätös","related","word","word",0.505411359358388
"järvi","joki","related","word","word",0.554928761618379
"hieronta","jooga","related","word","word",0.441414346108622
"usein","joskus","related","word","word",0.452148290895129
"loma-","joulu","related","word","word",NA
"politiikka","journalismi","related","word","word",0.452589692645088
"tähti","julkkis","related","word","word",0.395047388406197
"julma","julma","related","word","word",1
"jumalallinen","jumala","related","word","word",0.48466011610561
"olut","juoda","related","word","word",0.379598393174143
"skandaali","juoru","related","word","word",0.506466245940907
"kävellä","juosta","related","word","word",0.517969894472851
"sekaannus","kaaos","related","word","word",0.401879951627154
"lanka","kaapeli","related","word","word",0.30692050477042
"kaappi","kaappi","related","word","word",1
"polttoaine","kaasu","related","word","word",0.480189461713512
"saattaa loppuun","kaikki yhteensä","related","word","word",NA
"haudata","kaivaa","related","word","word",0.519535014633484
"neljäs","kaksi","related","word","word",0.340193824648683
"kolminkertaistaa","kaksinkertainen","related","word","word",0.626074718696896
"ajoittaa","kalenteri","related","word","word",0.142781966305929
"bullet","kaliiperi","related","word","word",0.181891007852952
"halpa","kallis","related","word","word",0.502550627091579
"mikrofoni","kamera","related","word","word",0.513255994490115
"vaalit","kampanja","related","word","word",0.385469847382991
"turkki","kana","related","word","word",0.251043953279512
"uutiset","kanava","related","word","word",0.347248439877613
"vanilja","kaneli","related","word","word",0.594709870014851
"nenäliina","kangas","related","word","word",0.312245829276367
"maailman-","kansainvälinen","related","word","word",NA
"maailmanlaajuinen","kansallinen","related","word","word",0.585005383338889
"kyky","kapasiteetti","related","word","word",0.350905087119926
"leveä","kapea","related","word","word",0.552740467547469
"pala","kappale","related","word","word",0.328686005421493
"koetin","kapseli","related","word","word",0.185603151095633
"susi","karhu","related","word","word",0.560436934402715
"festivaali","karnevaali","related","word","word",0.568131029782338
"kuolla","kärsiä","related","word","word",0.402520276853319
"kipu","kärsimys","related","word","word",0.49018529388729
"kiduttaa","kärsimys","related","word","word",0.190871382434364
"myötätunto","kärsivällisyys","related","word","word",0.478388684184202
"varsi","käsi","related","word","word",0.351618278892747
"menettely","käsitellä asiaa","related","word","word",NA
"syöpä","kasvain","related","word","word",0.571040660462466
"raha","käteinen raha","related","word","word",NA
"kristillinen","katolinen","related","word","word",0.556801319157683
"katsella","katso","related","word","word",0.299314863472305
"kamala","kauhea","related","word","word",0.790151894313013
"pelko","kauhu","related","word","word",0.474438164976465
"kauppias","kaupallinen","related","word","word",0.313692910861778
"käyttää","käytä","related","word","word",0.681443597554701
"poliitikko","käytäntö","related","word","word",0.187965630066682
"keisari","keisarillinen","related","word","word",0.682557440226458
"salaatti","keitto","related","word","word",0.544287924391904
"biologia","kemia","related","word","word",0.519806796792278
"biologinen","kemiallinen","related","word","word",0.557270489632367
"kerätä","kerätä","related","word","word",1
"kastike","kerma","related","word","word",0.405872463286579
"pinta-","kerros","related","word","word",NA
"luutnantti","kersantti","related","word","word",0.638621354207298
"talvi-","kesä","related","word","word",NA
"heinäkuu","kesäkuu","related","word","word",0.668484720875139
"häiritä","keskeyttää","related","word","word",0.497873108891316
"keskity","keskittyä","related","word","word",0.654266110336599
"keskipäivä","keskiyöllä","related","word","word",0.470690683304959
"keskustelu","keskustelu","related","word","word",1
"köysi","ketju","related","word","word",0.439567418289595
"majoneesi","ketsuppi","related","word","word",0.455913898594176
"kani","kettu","related","word","word",0.401160988195536
"syksy","kevät","related","word","word",0.614009898608533
"kieltää","kielletty","related","word","word",0.4875466548002
"hyväksyä","kieltäytyä","related","word","word",0.358081713311006
"konsertti","kiertue","related","word","word",0.527085970925772
"omistaja","kiinteistö","related","word","word",0.373102220976409
"hätä","kiireellinen","related","word","word",0.409702406104827
"kiittää","kiitollinen","related","word","word",0.582172373165042
"hypätä","kiivetä","related","word","word",0.530551255397719
"gramma","kilo","related","word","word",0.529792114270054
"mittari","kilometri","related","word","word",0.246122046274738
"mestaruus","kilpailu","related","word","word",0.471688579474423
"panssari","kilpi","related","word","word",0.203742001930533
"käytännössä","kirjaimellisesti","related","word","word",0.409753942191981
"museo","kirjasto","related","word","word",0.490612877022019
"paketti","kirjekuori","related","word","word",0.523979823944754
"kappeli","kirkko","related","word","word",0.481822402656717
"noita","kirous","related","word","word",0.296063005458389
"lääkäri","kirurgi","related","word","word",0.662993743713636
"ihana","kiva","related","word","word",0.574235902359218
"ase","kivääri","related","word","word",0.667820822715146
"öljy","kivihiili","related","word","word",0.444650588568086
"perhe","klaani","related","word","word",0.351127346658192
"baari","klubi","related","word","word",0.565977872416583
"testata","koe","related","word","word",0.315389214474639
"osoittaa","kohta","related","word","word",0.0396392159005444
"kohtalo","kohtalo","related","word","word",1
"lahja","kohteliaisuus","related","word","word",0.306661745711583
"ystävällinen","kohtelias","related","word","word",0.687867995827855
"vastuuton","kohtuuton","related","word","word",0.633338978128911
"kissa","koira","related","word","word",0.609734103928665
"heroiini","kokaiini","related","word","word",0.761358700129259
"tieto","kokea","related","word","word",0.169495777044158
"kokki","kokki","related","word","word",1
"pituus","koko","related","word","word",0.18178949989808
"ystävä","kollega","related","word","word",0.539671278336317
"neljäs","kolmas","related","word","word",0.746254780613023
"kapteeni","komentaja","related","word","word",0.637346436314293
"tilaus","komento","related","word","word",0.215516496397829
"komitea","komissio","related","word","word",0.574550281005391
"lausunto","kommentti","related","word","word",0.495223428287509
"kartta","kompassi","related","word","word",0.524528944394822
"tapaaminen","konferenssi","related","word","word",0.437594730436988
"riita","konflikti","related","word","word",0.439465402177939
"teräs","konkreettinen","related","word","word",0.198212834013542
"määritelmä","konsepti","related","word","word",0.388962210801447
"liberaali","konservatiivinen","related","word","word",0.55962277640044
"salasana","koodi","related","word","word",0.53902023762674
"jalkapallo","koripallo","related","word","word",0.727671463999124
"korjaus","korjata","related","word","word",0.544370499524447
"korvata","korvata","related","word","word",1
"huoli","koskea","related","word","word",0.0962311189466445
"oikeus","kosto","related","word","word",0.228220379164384
"bussi","kouluttaa","related","word","word",0.104894815744087
"kova","kova","related","word","word",1
"kurjuus","köyhyys","related","word","word",0.529825706763865
"laskea","kreivi","related","word","word",0.077578124703775
"poliittinen","kriittinen","related","word","word",0.623799080530437
"valtaistuin","kruunu","related","word","word",0.458523798217519
"märkä","kuiva","related","word","word",0.530866690181349
"vuori","kukkula","related","word","word",0.436138154286884
"lautanen","kulho","related","word","word",0.492067241119847
"kuja","kulma","related","word","word",0.389771552638202
"hopea","kultainen","related","word","word",0.301867199535058
"sivilisaatio","kulttuuri","related","word","word",0.511250717724659
"kuningas","kuningatar","related","word","word",0.740121434027774
"kuningaskunta","kuninkaallinen","related","word","word",0.486810948555575
"yhtenäinen","kunniamerkki","related","word","word",0.164238819973002
"luottamus","kunnioittaminen","related","word","word",0.354378383322845
"rehellinen","kunnollinen","related","word","word",0.571830026501793
"katoaminen","kuolema","related","word","word",0.504110440497659
"kahvi","kuppi","related","word","word",0.51619968609555
"säälittävä","kurja","related","word","word",0.509654061576006
"kaula","kurkku","related","word","word",0.489266381840057
"aurinko","kuu","related","word","word",0.610744557989085
"viikko","kuukausi","related","word","word",0.755237260919429
"oikeudenkäynti","kuulo","related","word","word",0.155315225420247
"kylmä","kuuma","related","word","word",0.614978750908035
"aurinko-","kuun-","related","word","word",NA
"kuulla","kuunnella","related","word","word",0.553394953415349
"kuva","kuva","related","word","word",1
"ilmaista","kuvata","related","word","word",0.283524372417686
"senaattori","kuvernööri","related","word","word",0.538139518450778
"hattu","kypärä","related","word","word",0.547921120184663
"kysyä","kysymys","related","word","word",0.37673538951176
"pyyntö","kysyntä","related","word","word",0.217839511376126
"ei pysty","kyvyttömyys","related","word","word",NA
"psykologinen","lääketieteellinen","related","word","word",0.61520860644555
"kaupunginosa","lääni","related","word","word",0.288802380555754
"laukku","laatikko","related","word","word",0.594272397276189
"rahti","ladata","related","word","word",0.149623437630446
"ilmiantaja","lähde","related","word","word",0.193417825410898
"satama","lahden","related","word","word",0.333732062224431
"kaukana","lähellä","related","word","word",0.471520677461696
"kiristää","lahjoa","related","word","word",0.447176318581306
"laillinen","laiton","related","word","word",0.520954672729386
"varustaa","laitteet","related","word","word",0.191074276513449
"perustuslaki","laki","related","word","word",0.573434428773646
"syyttäjä","lakimies","related","word","word",0.527044069606768
"viileä","lämmin","related","word","word",0.577318247951765
"lämpötila","lämpö","related","word","word",0.721484139846572
"kynttilä","lamppu","related","word","word",0.550381047745347
"itään","länsi","related","word","word",0.297505120970811
"spagetti","lasagna","related","word","word",0.391315351353173
"pullo","lasi-","related","word","word",NA
"korkki","lasit","related","word","word",0.378464400430894
"valtimo","laskimo","related","word","word",0.470240075108046
"lento","lasku","related","word","word",0.295254250836623
"poissaolo","läsnäolo","related","word","word",0.477300558873672
"piika","lastenhoitaja","related","word","word",0.498588913779434
"matto","lattia","related","word","word",0.516616127643164
"sunnuntai","lauantai","related","word","word",0.775384787054215
"aktivoida","laukaista","related","word","word",0.525059005884319
"ampua","laukaus","related","word","word",0.44422266176725
"muusikko","laulaja","related","word","word",0.587695285913185
"asenne","lausunto","related","word","word",0.217013808547973
"armeija","legio","related","word","word",0.230139943738741
"sika","lehmä","related","word","word",0.491258758960963
"allekirjoitus","leima","related","word","word",0.409174541497214
"juusto","leipä","related","word","word",0.472985462193473
"kylä","leiri","related","word","word",0.466631041614241
"homo","lesbo","related","word","word",0.580401635535571
"nainen","leski","related","word","word",0.357558592614292
"nukkua","levätä","related","word","word",0.613352293936821
"tiimi","liiga","related","word","word",0.273851127874395
"siirtää","liikkua","related","word","word",0.292373221244386
"presidentti","liittokansleri","related","word","word",0.431529481282795
"osavaltio","liittovaltion-","related","word","word",NA
"ällöttävä","likainen","related","word","word",0.471549311728364
"sooda","limsa","related","word","word",0.44159843956807
"passi","lippu","related","word","word",0.443000280701698
"symboli","lippu","related","word","word",0.387522342012758
"vähentää","lisääntyä","related","word","word",0.360851455871686
"laittaa","lisäys","related","word","word",0.195088302364373
"leijona","lohikäärme","related","word","word",0.492658160468365
"merkki","lomake","related","word","word",0.14832161197965
"viedä loppuun","loppu","related","word","word",NA
"lopulta","lopuksi","related","word","word",0.390830498212412
"perimmäinen","lopullinen","related","word","word",0.448860980417378
"loukata","loukkaus","related","word","word",0.485155964487017
"kirjoittaa","lukea","related","word","word",0.560868075972271
"kirjoittaminen","lukeminen","related","word","word",0.735030385314997
"suljettu","lukittu","related","word","word",0.562148791000909
"tuottaa","luoda","related","word","word",0.318267495097155
"koulu","luokka","related","word","word",0.493129298732243
"tuhoaminen","luominen","related","word","word",0.633951346050287
"keinotekoinen","luonnollinen","related","word","word",0.493965235754317
"yleisesti","luonnollisesti","related","word","word",0.506449092242558
"uskoa","luottamus","related","word","word",0.31341025756805
"lainata","luotto","related","word","word",0.221841558774152
"hyväksyminen","lupa","related","word","word",0.201872427609084
"haarukka","lusikka","related","word","word",0.489302169061957
"kallo","luu","related","word","word",0.43199604034483
"pitkä","lyhyt","related","word","word",0.656369473560528
"kansakunta","maa","related","word","word",0.505270760718279
"lentää","maa","related","word","word",0.143759085146551
"hyökkäys","maahantunkeutuminen","related","word","word",NA
"galaksi","maailmankaikkeus","related","word","word",0.58348152570711
"piirtää","maali-","related","word","word",NA
"tiistai","maanantai","related","word","word",0.697261264549588
"räjähdys","maanjäristys","related","word","word",0.487416195675919
"laatu","määrä","related","word","word",0.353591389485019
"osoite","määrä","related","word","word",0.266692877458099
"kartelli","mafia","related","word","word",0.515182767573642
"sähköinen","magneettinen","related","word","word",0.512154073755061
"mahdollisuus","mahdollisuus","related","word","word",1
"helppo","mahdoton","related","word","word",0.507380814458743
"kunnia","mahtava","related","word","word",0.250670256144382
"senttimetri","maili","related","word","word",0.334982886376062
"markkinointi","mainonta","related","word","word",0.501788235038891
"mehu","maito","related","word","word",0.504425183908024
"korkeus","majesteettinen","related","word","word",0.367778617061942
"söpö","makea","related","word","word",0.414344157550328
"haju","maku","related","word","word",0.546998092581698
"prototyyppi","malli-","related","word","word",NA
"rotu","maraton-","related","word","word",NA
"joulukuu","marraskuu","related","word","word",0.650803484828689
"venus","mars","related","word","word",0.484899447130004
"korkea","matala","related","word","word",0.610731639701903
"kuljettaja","matkustaja","related","word","word",0.613160142693492
"käärme","mato","related","word","word",0.383688451689286
"herkullinen","maukas","related","word","word",0.639068881844377
"muurahainen","mehiläinen","related","word","word",0.484337728318267
"ääni","melu","related","word","word",0.453536837834717
"epäonnistuminen","menestys","related","word","word",0.491152417370377
"tekniikka","menetelmä","related","word","word",0.471982671768068
"laivasto","meren-","related","word","word",NA
"valtameri","meri","related","word","word",0.68850028841436
"merimies","merirosvo","related","word","word",0.584804730514684
"laivasto","merivoimien","related","word","word",0.461742983913693
"merkitys","merkitys","related","word","word",1
"persoonallisuus","merkki","related","word","word",0.217727348900379
"taistelija","mestari","related","word","word",0.433188885094133
"kalastus","metsästys","related","word","word",0.508920846009424
"laiva","miehistö","related","word","word",0.53849192803093
"veitsi","miekka","related","word","word",0.584633737747054
"luovuus","mielikuvitus","related","word","word",0.350873517540522
"ihmisen","mies","related","word","word",0.26403499781784
"yrittäjä","miljonääri","related","word","word",0.361482830436503
"miljardi","miljoona","related","word","word",0.675094980752784
"ling","ming","related","word","word",0.613235164307483
"enimmäismäärä","minimi","related","word","word",0.305938627837962
"että","mitä","related","word","word",0.380405581356407
"perinteinen","moderni","related","word","word",0.365689752046417
"laivan kansi","mökki","related","word","word",NA
"patsas","monumentti","related","word","word",0.468535897355478
"alibi","motiivi","related","word","word",0.504404486361686
"miellyttävä","mukava","related","word","word",0.591247827509071
"pappi","munkki","related","word","word",0.45994040233924
"maksa","munuainen","related","word","word",0.418797015597077
"tyylikäs","muodikas","related","word","word",0.527290356946693
"tauko","murskata","related","word","word",0.0969156545822058
"vihainen","mustasukkainen","related","word","word",0.593248508457938
"hiekka","muta","related","word","word",0.361152905891182
"jonnekin","muualla","related","word","word",0.258886222580032
"parannus","muuttaa","related","word","word",0.25663455374728
"aikaisin","myöhään","related","word","word",0.617191051706138
"tunnustaa","myöntää","related","word","word",0.63032557937737
"antelias","myötätuntoinen","related","word","word",0.548287592983227
"tappaa","myrkyttää","related","word","word",0.539170377179485
"ostaja","myyjä","related","word","word",0.614972588213144
"myymälä","myymälä","related","word","word",1
"legenda","myytti","related","word","word",0.46652092871025
"mustelma","naarmu","related","word","word",0.566555817375978
"tavata","nähdä","related","word","word",0.522800057525578
"tyhmä","naiivi","related","word","word",0.486009060562435
"kyyninen","naiivi","related","word","word",0.548140928556229
"näkökulma","näkymä","related","word","word",0.335678354482143
"jano","nälkä","related","word","word",0.61636188818835
"saada kiinni","napata","related","word","word",NA
"kaunis","nätti","related","word","word",0.688540207658517
"hammas","naulata","related","word","word",0.178016685287603
"absurdi","naurettava","related","word","word",0.460390488152981
"tiedonsiirto","navigointi","related","word","word",0.494942124919701
"esitys","näytä","related","word","word",0.139135168125231
"monitori","näyttö","related","word","word",0.390969590004311
"tiedemies","nero","related","word","word",0.476269948977623
"neste","neste","related","word","word",1
"ruisku","neula","related","word","word",0.43705704513577
"neuvoa","neuvoja","related","word","word",0.697381595566226
"pureskella","niellä","related","word","word",0.46643253850912
"otsikko","nimi","related","word","word",0.340107442799686
"sukunimi","nimimerkki","related","word","word",0.46995482006109
"samurai","ninja","related","word","word",0.397517801347976
"palkinto-","nobel","related","word","word",NA
"hauska","nokkela","related","word","word",0.491965776737571
"vaatimaton","nöyrä","related","word","word",0.455392401439478
"lelu","nukke","related","word","word",0.510134401775936
"lapsuus","nuoriso","related","word","word",0.23761596091523
"sähkö","nykyinen","related","word","word",0.101999615142722
"tietää","nyt","related","word","word",0.22309860374715
"odottaa","odota","related","word","word",0.488461555600687
"tietokone","ohjelmisto","related","word","word",0.603171905582472
"paksu","ohut","related","word","word",0.536432866428814
"vasemmalle","oikea","related","word","word",0.268994557359578
"kohtuullinen","oikeudenmukainen","related","word","word",0.500316494937182
"oireyhtymä","oire","related","word","word",0.642465923009963
"joo","okei","related","word","word",0.60274208644628
"polvi","olkapää","related","word","word",0.515238823278891
"hedelmä","omena","related","word","word",0.507431050433591
"tervehtiä","onnitella","related","word","word",0.548692736663297
"toiminnallinen","operatiivinen","related","word","word",0.534953129149652
"opettaja","opiskelija-","related","word","word",NA
"opettaa","oppia","related","word","word",0.595758784790761
"realistinen","optimistinen","related","word","word",0.647693432288444
"pesukarhu","orava","related","word","word",0.497173648116389
"erektio","orgasmi","related","word","word",0.537214787914941
"palvelija","orja","related","word","word",0.493760954407537
"kaista","orkesteri","related","word","word",0.153855462075733
"luostari","orpokoti","related","word","word",0.474992263482028
"myydä","ostaa","related","word","word",0.579042098435802
"lakko","osuma","related","word","word",0.174315671423411
"antaa","ota käyttöön","related","word","word",NA
"yhteys","ottaa yhteyttä","related","word","word",NA
"pekoni","paahtoleipä","related","word","word",0.579442607924746
"paeta","paeta","related","word","word",1
"julmuus","paha","related","word","word",0.192054310709433
