"hr_target","hr_cue","type","target_type","cue_type","hr_cosine"
"zub","čavao","related","word","word",0.381549872596718
"potvrditi","ček","related","word","word",0.155148021010353
"očekivati","čekati","related","word","word",0.437426229546247
"plastika","cement","related","word","word",0.418252582653587
"luk","češnjak","related","word","word",0.485218860673218
"autocesta","cesta","related","word","word",0.753441197690152
"pozdraviti","čestitati","related","word","word",0.465432792138702
"rim","cezar","related","word","word",0.51878904696052
"vanilija","cimet","related","word","word",0.592359634115359
"uređaj","čip","related","word","word",0.58314958077714
"pranje","čist","related","word","word",0.212906274141117
"pisanje","čitanje","related","word","word",0.645817955307175
"pisati","čitati","related","word","word",0.647579158056948
"cipela","čizma","related","word","word",0.534106597739287
"vođa","član","related","word","word",0.510370681651787
"novine","članak","related","word","word",0.48589100352354
"brat","čovječe","related","word","word",0.195442788538886
"ljudski","čovjek","related","word","word",0.235558672363383
"kapela","crkva","related","word","word",0.549070776608007
"zmija","crv","related","word","word",0.309021442709298
"žuta boja","crvena","related","word","word",NA
"stvorenje","čudovište","related","word","word",0.686054070946336
"snažno","čvrsto","related","word","word",0.580117408023188
"sluškinja","dadilja","related","word","word",0.518979874587385
"jučer","danas","related","word","word",0.61252164521638
"dokument","datoteka","related","word","word",0.505549142142439
"profesor","dekan","related","word","word",0.501596407849033
"osjetljiv","delikatan","related","word","word",0.517365177113887
"torta","desert","related","word","word",0.480737861624874
"mjerač vremena","detonator","related","word","word",NA
"dragulj","dijamant","related","word","word",0.656518714732581
"dijete","dijete","related","word","word",1
"cigara","dim","related","word","word",0.395213339998913
"carstvo","dinastija","related","word","word",0.456259447922288
"diplomirati","diploma","related","word","word",0.573143041713396
"direktno","direktno","related","word","word",1
"cijeniti","diviti se","related","word","word",NA
"djevojčice","dječaka","related","word","word",0.592872305639086
"baka","djed","related","word","word",0.679281097620541
"dječak","djevojka","related","word","word",0.489941120537185
"brada","dlaka","related","word","word",0.489075207272589
"otisak prsta","dna","related","word","word",NA
"tjedni","dnevno","related","word","word",0.32058979944155
"prihod","dobit","related","word","word",0.391019513011647
"pobijediti","dobiti","related","word","word",0.414819781732159
"loše","dobro","related","word","word",0.599890106556408
"organizirati","dogovoriti","related","word","word",0.486547067210814
"osjećaj","dojam","related","word","word",0.458146650439387
"dokaz","dokaz","related","word","word",1
"odlazak","dolazak","related","word","word",0.639863418774104
"poslati","donijeti","related","word","word",0.373989278814182
"odobrenje","dopuštenje","related","word","word",0.72411041396435
"pustiti","dopustiti","related","word","word",0.698824643395348
"praktički","doslovno","related","word","word",0.488026383722366
"dovoljan","dovoljno","related","word","word",0.593740052538932
"ubrizgavanje","doza","related","word","word",0.360415909827258
"komedija","drama","related","word","word",0.556370037346113
"romantičan","dramatičan","related","word","word",0.547422279462673
"ljepota","draž","related","word","word",0.373322560997022
"negdje","drugdje","related","word","word",0.424034920703216
"minuta","drugi","related","word","word",0.114902685476613
"korporacija","društvo","related","word","word",0.22543979996251
"zajednica","društvo","related","word","word",0.249071810129583
"zadržati","držati","related","word","word",0.731159838811852
"pohraniti","dućan","related","word","word",0.317447952324959
"pritisnuti","dugme","related","word","word",0.549797226719374
"cigareta","duhan","related","word","word",0.46104387524407
"smiješan","duhovit","related","word","word",0.628626281662019
"stražnjica","dupe","related","word","word",0.648290934434574
"duh","duša","related","word","word",0.39117929252023
"četvero","dva","related","word","word",0.320347983297184
"video","dvd","related","word","word",0.341234658780178
"utrostručiti","dvostruko","related","word","word",0.391464290955907
"novčanik","džep","related","word","word",0.549397154981208
"kamion","džip","related","word","word",0.606736924414519
"šuma","džungla","related","word","word",0.573672325130588
"test","eksperiment","related","word","word",0.494755785878334
"dodatni","ekstra","related","word","word",0.481952159562797
"ukloniti","eliminirati","related","word","word",0.584610163275208
"francuski","engleski","related","word","word",0.767298296630779
"strast","entuzijazam","related","word","word",0.456709805704548
"mutacija","evolucija","related","word","word",0.596073832181817
"element","faktor","related","word","word",0.475940150940694
"razdoblje","faza","related","word","word",0.402644093968274
"događaj","fenomen","related","word","word",0.502149686531824
"religija","filozofija","related","word","word",0.618543297093652
"ulagati","financije","related","word","word",0.356785966805546
"financiranje","financijski","related","word","word",0.509131117613853
"agencija","firma","related","word","word",0.495591258441403
"matematika","fizika","related","word","word",0.680209711072432
"mikrofon","fotoaparat","related","word","word",0.51365295351541
"komad","fragment","related","word","word",0.496390789800913
"signal","frekvencija","related","word","word",0.551951897936378
"dolar","funta","related","word","word",0.542537237562404
"prljav","gadan","related","word","word",0.492140295869265
"izložba","galerija","related","word","word",0.610914101229326
"reaktor","generator","related","word","word",0.628463771972401
"znanstvenik","genij","related","word","word",0.510169387043837
"činiti","gesta","related","word","word",0.222369409288385
"žeđ","glad","related","word","word",0.587083560579409
"naglasak","glas","related","word","word",0.524019105872391
"jaje","gnijezdo","related","word","word",0.422473506539141
"rođendan","godišnjica","related","word","word",0.581785977868711
"tenis","golf","related","word","word",0.677137396509458
"goli","goli","related","word","word",1
"publika","gomila","related","word","word",0.379206974876516
"dama","gospodar","related","word","word",0.322697214045821
"zahvalnost","gostoljubivost","related","word","word",0.583695159203274
"propovijed","govor","related","word","word",0.417028131847679
"vojni","građanski","related","word","word",0.455643767239482
"izgraditi","građevina","related","word","word",0.442903787585037
"zločin","grijeh","related","word","word",0.555308631337077
"bolest","gripa","related","word","word",0.58427328267099
"vrat","grlo","related","word","word",0.495604628329261
"stablo","grm","related","word","word",0.460672002519248
"groblje","grob","related","word","word",0.560300318615224
"pobjednik","gubitnik","related","word","word",0.583036988874887
"potrošiti","gubljenje","related","word","word",0.31927926597238
"vuci","gurnuti","related","word","word",0.368169510242998
"patka","guska","related","word","word",0.500299079838703
"žvakati","gutljaj","related","word","word",0.318986770621095
"senator","guverner","related","word","word",0.542888259541865
"hitan","hitan","related","word","word",1
"sport","hobi","related","word","word",0.438948875551022
"adrenalin","hormon","related","word","word",0.560656724522901
"motel","hotel","related","word","word",0.745617584039054
"odlučnost","hrabrost","related","word","word",0.609626802858268
"samostan","hram","related","word","word",0.553810091876692
"obrok","hrana","related","word","word",0.453535886336013
"jesti","hraniti","related","word","word",0.563031066860894
"savršen","idealan","related","word","word",0.637849708250373
"teorija","ideja","related","word","word",0.577344637634613
"injekcija","igla","related","word","word",0.425421193322548
"igra","igra","related","word","word",1
"halucinacija","iluzija","related","word","word",0.532171072268283
"titula","ime","related","word","word",0.266647831698421
"vlasnik","imovina","related","word","word",0.30419842453981
"car","imperijalan","related","word","word",NA
"nevjerojatan","impresivan","related","word","word",0.606032714014159
"nesreća","incident","related","word","word",0.38664883725429
"poslovanje","industrija","related","word","word",0.318079095077465
"povjerenik","inspektor","related","word","word",0.462353328359294
"inspiracija","inspirirati","related","word","word",0.537505515793297
"intuicija","instinkt","related","word","word",0.557905094719005
"mreža","internet","related","word","word",0.388672200910023
"napad","invazija","related","word","word",0.420737677949756
"arhitekt","inženjer","related","word","word",0.511522025815339
"ironičan","ironija","related","word","word",0.545167211169294
"znanje","iskustvo","related","word","word",0.526280742728765
"istraga","ispitati, pregledati","related","word","word",NA
"stražnji","ispred","related","word","word",0.211223294721153
"studija","istraživanje","related","word","word",0.434035431114557
"bjegunac","izbjeglica","related","word","word",0.426041016160599
"opcija","izbor","related","word","word",0.445001984277435
"gledati","izgled","related","word","word",0.154637462157339
"ulaz","izlaz","related","word","word",0.629238811950652
"neočekivano","iznenada","related","word","word",0.583023856916209
"razočaranje","iznenađenje","related","word","word",0.56674384978534
"iznos","iznos","related","word","word",1
"izvanredan","izuzetan","related","word","word",0.720575576915493
"obavijestiti","izvješće","related","word","word",0.428140643645267
"informator","izvor","related","word","word",0.339321134376621
"kopirati","izvornik","related","word","word",0.360390511172934
"sjajno","izvrstan","related","word","word",0.401393875420952
"voće","jabuka","related","word","word",0.431229103737435
"slab","jak","related","word","word",0.612697273696355
"obećanje","jamčiti","related","word","word",0.301017854767087
"očito","jasno","related","word","word",0.451296737469834
"se dogoditi","javiti","related","word","word",NA
"glazba, muzika","jazz","related","word","word",NA
"tri","jedan","related","word","word",0.34432707756479
"podjela","jedinica","related","word","word",0.348629152835559
"jednostavan","jednostavno","related","word","word",0.500475104918639
"masaža","joga","related","word","word",0.432224131811682
"sjeverno","jug","related","word","word",0.594858279875595
"salata","juha","related","word","word",0.651081857391177
"spasitelj","junak","related","word","word",0.513857092376201
"zapadni","južni","related","word","word",0.561698011902839
"žica","kabel","related","word","word",0.487419616902229
"paluba","kabina","related","word","word",0.559998848162412
"ormar","kabinet","related","word","word",0.434651767094029
"šešir","kaciga","related","word","word",0.416925808166424
"raspored","kalendar","related","word","word",0.520820680388811
"metak","kalibar","related","word","word",0.522441859453654
"selo","kamp","related","word","word",0.460536422879507
"izbor","kampanja","related","word","word",0.23029752181273
"vijesti","kanal","related","word","word",0.303039700614238
"predsjednik","kancelar","related","word","word",0.499680267834818
"birač","kandidat","related","word","word",0.488332605951353
"zbunjenost","kaos","related","word","word",0.3380602867054
"sposobnost","kapacitet","related","word","word",0.427320324301135
"grad","kapital","related","word","word",0.234665569674315
"sonda","kapsula","related","word","word",0.558587684088968
"ugled","karijera","related","word","word",0.404027118494127
"festival","karneval","related","word","word",0.54684491851189
"vrućica","kašalj","related","word","word",0.444221465462185
"rano","kasno","related","word","word",0.656297995767172
"tepih","kat","related","word","word",0.300994554525984
"kršćanin","katolik","related","word","word",0.631751302952247
"krevet","kauč","related","word","word",0.586252017725685
"zatvor","kazna","related","word","word",0.312417326504223
"uhićenje","kazniti","related","word","word",0.263355313054894
"sin","kći","related","word","word",0.54807096443121
"majoneza","kečap","related","word","word",0.505902789570294
"biologija","kemija","related","word","word",0.633091313777963
"biološki","kemijski","related","word","word",0.58918364015505
"gram","kilo","related","word","word",0.433625358910665
"metar","kilometar","related","word","word",0.645359440387845
"kazalište","kino","related","word","word",0.620869578639895
"liječnik","kirurg","related","word","word",0.667292007549756
"snijeg","kiša","related","word","word",0.493468835390325
"obitelj","klan","related","word","word",0.337435618513357
"škola","klasa","related","word","word",0.308468056177193
"gitara","klavir","related","word","word",0.516028650259684
"vještica","kletva","related","word","word",0.455276236254492
"zaključati","ključ","related","word","word",0.476266368778895
"bar","klub","related","word","word",0.39536983737855
"muzej","knjižnica","related","word","word",0.348354851120971
"poker","kockanje","related","word","word",0.528945691931385
"zaporka","kodirati","related","word","word",0.42350863476196
"heroin","kokain","related","word","word",0.764726231955285
"sveučilište","koledž","related","word","word",0.571371725018652
"kvaliteta","količina","related","word","word",0.448205760462046
"federacija","kolonija","related","word","word",0.540475376648542
"smjesa","kombinacija","related","word","word",0.389488643876648
"izjava","komentar","related","word","word",0.343553199888376
"karta","kompas","related","word","word",0.384542929897356
"dar","kompliment","related","word","word",0.424553589444974
"ultimativno","konačan","related","word","word",0.302337983062006
"eventualno","konačno","related","word","word",0.221413540173813
"definicija","koncept","related","word","word",0.36856579049836
"sastanak","konferencija","related","word","word",0.493372772593425
"topništvo","konjica","related","word","word",0.396079574047127
"konobarica","konobar","related","word","word",0.715753654119673
"veza","kontakt","related","word","word",0.382879032159455
"radijacija","kontaminacija","related","word","word",0.573435211459826
"manipulirati","kontrolirati","related","word","word",0.596134603007815
"liberalan","konzervativan","related","word","word",0.687283526536866
"pokopati","kopati","related","word","word",0.591791324935565
"djelotvoran","koristan","related","word","word",0.510932208117846
"nogomet","košarka","related","word","word",0.623184358792071
"lubanja","kost","related","word","word",0.53355947171362
"jakna","košulja","related","word","word",0.664688426711778
"tkivo","koža","related","word","word",0.45865882413663
"pljačka","krađa","related","word","word",0.614656985470419
"završi","kraj","related","word","word",0.221790804086643
"vrlo","krajnje","related","word","word",0.459254614461842
"kraljevstvo","kraljevski","related","word","word",0.426213306007158
"trbušni","kralježnjak","related","word","word",0.359899889008314
"kralj","kraljica","related","word","word",0.699519366614382
"dugačak","kratak","related","word","word",0.49085506001921
"svinja","krava","related","word","word",0.6032396575534
"zajam","kreditna","related","word","word",0.502099769544935
"umak","krema","related","word","word",0.361542656424421
"politički","kritično","related","word","word",0.340780080627801
"oko","krug","related","word","word",0.35950018102238
"trokut","krug","related","word","word",0.419238530994007
"sir","kruh","related","word","word",0.429067484614853
"rajčica","krumpir","related","word","word",0.553237409161511
"prijestolje","kruna","related","word","word",0.322675218812499
"urin","krv","related","word","word",0.470889142312461
"apartman","kuća","related","word","word",0.345360788170942
"epidemija","kuga","related","word","word",0.63294411052513
"kuhar","kuhati","related","word","word",0.545059566713075
"civilizacija","kultura","related","word","word",0.644976927784948
"kava","kupa","related","word","word",0.17427777339156
"prodavati","kupiti","related","word","word",0.556476847807368
"uličica","kutak","related","word","word",0.289254251621732
"vrećica","kutija","related","word","word",0.593270782380977
"uže","lanac","related","word","word",0.397278756245145
"impresionirati","laskati","related","word","word",0.456152128757488
"lažljivac","laž","related","word","word",0.415046332122712
"lažan","lažan","related","word","word",1
"špageti","lazanje","related","word","word",0.42130709457152
"povratak","leđa","related","word","word",0.104459378656832
"vojska","legija","related","word","word",0.496923162285064
"ptica","leptir","related","word","word",0.477553081734281
"gay","lezbijka","related","word","word",0.604770342936988
"tim","liga","related","word","word",0.218445707504933
"lijep","lijepo","related","word","word",0.497664931507284
"osobnost","lik","related","word","word",0.302007047520255
"soda","limunada","related","word","word",0.555206432362479
"srpanj","lipanj","related","word","word",0.672073923692489
"zec","lisica","related","word","word",0.452617932112894
"zima","ljeto","related","word","word",0.534566320520443
"ljubavnik","ljubavnica","related","word","word",0.67045125447035
"ljut","ljubomoran","related","word","word",0.66402101842144
"kriminalac","lopov","related","word","word",0.672792437890036
"ribarstvo","lov","related","word","word",0.365665438778363
"glupost","ludilo","related","word","word",0.349016906004326
"solarni","lunarni","related","word","word",0.562706930142844
"igračka","lutka","related","word","word",0.537400924683975
"nož","mač","related","word","word",0.629960223394933
"kartel","mafija","related","word","word",0.501875395353607
"konj","magarac","related","word","word",0.44834013529988
"čarobnjak","magija","related","word","word",0.475074987980114
"električni","magnetski","related","word","word",0.522118203287149
"faks","mail","related","word","word",0.325025102368305
"otac","majka","related","word","word",0.692286374241618
"gorila","majmun","related","word","word",0.478186386024666
"mali","malo","related","word","word",0.284478476483611
"utrka","maraton","related","word","word",0.363964229645737
"mornarica","marinac","related","word","word",0.3781801896927
"venera","mars","related","word","word",0.500772862116161
"kreativnost","mašta","related","word","word",0.402225017142235
"maslac","med","related","word","word",0.429894763794663
"psihološki","medicinski","related","word","word",0.509646679303548
"svijet","međunarodni","related","word","word",0.218135789840307
"nježan","mek","related","word","word",0.0761626636127094
"šef","menadžer","related","word","word",0.5308293750439
"emotivan","mentalni","related","word","word",0.327946903923822
"tehnika","metoda","related","word","word",0.621397926256054
"poduzetnik","milijunaš","related","word","word",0.550101345080176
"milijardi","milion","related","word","word",0.613841824394519
"centimetar","milja","related","word","word",0.351061151613017
"donacija","milosrđe","related","word","word",0.197812959473451
"vrijesak","ming","related","word","word",0.147806460330751
"maksimum","minimum","related","word","word",0.575823655801767
"smiriti","miran","related","word","word",0.39496377878315
"plaća","mirovina","related","word","word",0.405961802303069
"štakor","miš","related","word","word",0.582141592784714
"stav","mišljenje","related","word","word",0.45709500471282
"legenda","mit","related","word","word",0.50303201589763
"ucjena","mito","related","word","word",0.466029297473683
"tjedan","mjesec","related","word","word",0.642293674732895
"sunce","mjesec","related","word","word",0.418274938433748
"mjesto","mjesto","related","word","word",1
"djetinjstvo","mladost","related","word","word",0.423817616158728
"nevjesta","mladoženja","related","word","word",0.510487046807897
"sok","mlijeko","related","word","word",0.521635496508385
"prototip","model","related","word","word",0.50095582890816
"elegantan","moderan","related","word","word",0.548142972364728
"tradicionalan","moderan","related","word","word",0.474034554711966
"ocean","more","related","word","word",0.679481631584722
"riba","morski pas","related","word","word",NA
"tunel","most","related","word","word",0.416302102643974
"alibi","motiv","related","word","word",0.518794478729349
"cerebral","mozak","related","word","word",NA
"vjerojatno","može biti","related","word","word",NA
"sustav","mreža","related","word","word",0.342117976628286
"pogreb","mrtvački sanduk","related","word","word",NA
"ljubav","mrziti","related","word","word",0.24523238329474
"mučenje","mučiti","related","word","word",0.391209651380989
"grmljavina","munja","related","word","word",0.549570091837554
"žena","muški","related","word","word",0.377009267590538
"globalno","nacionalni","related","word","word",0.407946370869367
"vjera","nada","related","word","word",0.387180558041904
"batman","nadčovjek","related","word","word",0.337522664882801
"prezime","nadimak","related","word","word",0.39743660240905
"vlast","nadležnost","related","word","word",0.424604807715347
"paranormalan","nadnaravan","related","word","word",0.467201877863109
"ciničan","naivan","related","word","word",0.552662607129266
"glup","naivan","related","word","word",0.665211347627292
"najam","najam","related","word","word",1
"čep","naočale","related","word","word",0.272434702514017
"čini","napraviti","related","word","word",0.286704445562789
"razvoj","napredak","related","word","word",0.54108892681511
"napustiti","napustiti","related","word","word",1
"narudžba","naredba","related","word","word",0.428638045700313
"poručnik","narednik","related","word","word",0.673358298025856
"nastaviti","nastaviti","related","word","word",1
"prvenstvo","natjecanje","related","word","word",0.607117862271883
"naučiti","naučiti","related","word","word",1
"komunikacija","navigacija","related","word","word",0.526782052603284
"nebeski","nebo","related","word","word",0.496218895389584
"lako","nemoguće","related","word","word",0.50974623054585
"čudan","neobičan","related","word","word",0.71170841336841
"nepravedan","nepravda","related","word","word",0.598086155365245
"protivnik","neprijatelj","related","word","word",0.580796911813169
"neodgovoran","nerazuman","related","word","word",0.536992237060289
"nesposoban","nesposobnost","related","word","word",0.643014027144186
"nesreća","nesretan","related","word","word",0.416941836185585
"neugodan","neugodan","related","word","word",1
"kriv","nevin","related","word","word",0.621039333196647
"problem","nevolja","related","word","word",0.372439455295123
"legalan","nezakonit","related","word","word",0.551238415508888
"arogancija","neznanje","related","word","word",0.412572157145915
"ikad","nikada","related","word","word",0.372098184459657
"samuraj","ninja","related","word","word",0.37352820158285
"nešto","ništa","related","word","word",0.611932122996483
"epizoda","niz","related","word","word",0.182342735021845
"visoko","nizak","related","word","word",0.36026450262926
"gornji","niži","related","word","word",0.332958871785415
"stranac","nlo","related","word","word",0.167293969918844
"nagrada","nobelov","related","word","word",0.305735495874126
"večer","noć","related","word","word",0.74841309553934
"san","noćna mora","related","word","word",NA
"obično","normalno, redovno","related","word","word",NA
"politika","novinarstvo","related","word","word",0.360170306305605
"analiza","obdukcija","related","word","word",0.541355333724896
"uobičajen","običan","related","word","word",0.528720669981218
"koncert","obilazak","related","word","word",0.354517633870397
"predmet","objekt","related","word","word",0.529507605652591
"magla","oblak","related","word","word",0.455839901266497
"znak","oblik","related","word","word",0.262324704678396
"uvjerljiv","obrazloženje","related","word","word",0.240259548049343
"odaberi","odabrati","related","word","word",0.57094006711908
"poštenje","odanost","related","word","word",0.457679411399249
"prihvatiti","odbiti","related","word","word",0.564992800292733
"odgovor","odgovor","related","word","word",1
"dužnost","odgovornost","related","word","word",0.59870102574502
"stavak","odjeljak","related","word","word",0.401570232858407
"spavati","odmor","related","word","word",0.301177872299893
"prijateljstvo","odnos","related","word","word",0.493657433197282
"roditelj","odrasla osoba","related","word","word",NA
"ogledalo","odraz","related","word","word",0.474261496909052
"tužilac","odvjetnik","related","word","word",0.580280170547479
"marketing","oglašavanje","related","word","word",0.452079915968451
"modrica","ogrepsti","related","word","word",0.238551296325499
"aktivirati","okidač","related","word","word",0.437535304934404
"uho","oko","related","word","word",0.245847721894299
"atmosfera","okoliš","related","word","word",0.320545298561951
"okrug","okrug","related","word","word",1
"pružiti","omogućiti","related","word","word",0.520352016016772
"paket","omotnica","related","word","word",0.451284477359406
"pukovnik","općenito","related","word","word",0.130411591443542
"funkcionalan","operativni","related","word","word",0.367789306815511
"izraziti","opisati","related","word","word",0.513436759377428
"liječiti","oporavak","related","word","word",0.309429188109586
"milost","opraštanje","related","word","word",0.353794795386939
"opremiti","oprema","related","word","word",0.502078406662338
"izgovor","oprostiti","related","word","word",0.253532960464609
"teret","opterećenje","related","word","word",0.481083010881573
"realan","optimističan","related","word","word",0.537819192824477
"erekcija","orgazam","related","word","word",0.405141324698597
"bend","orkestar","related","word","word",0.59357066617265
"smijeh","osmijeh","related","word","word",0.647736637990605
"pojedinac","osoba","related","word","word",0.380474535607266
"intiman","osobni","related","word","word",0.350106460690971
"razumjeti","ostvariti","related","word","word",0.33419349080524
"mokar","osušiti","related","word","word",0.409622885676922
"pravda","osveta","related","word","word",0.55783550945925
"oteti","oteti","related","word","word",1
"vizija","otkrivenje","related","word","word",0.32882997143183
"ransoma","otmičar","related","word","word",0.16424953748009
"smeće","otpad","related","word","word",0.524994180342765
"odoljeti","otpornost","related","word","word",0.19673048272355
"pijan","otrijezniti","related","word","word",0.389589147580277
"ubiti","otrov","related","word","word",0.304805994590338
"zatvaranje","otvor","related","word","word",0.316273775027948
"zatvoriti","otvorena","related","word","word",0.450213448502137
"tamo","ovdje","related","word","word",0.663786965837186
"atlantski","pacifički","related","word","word",0.535047794736047
"klijent","pacijent","related","word","word",0.558173497405704
"gutljaj","pad","related","word","word",0.234141510199709
"kolaps","pad","related","word","word",0.476821714198579
"dvorac","palača","related","word","word",0.457144692816194
"inteligentan","pametan","related","word","word",0.695604119009371
"olovkom","papir","related","word","word",0.46170124860607
"lud","paranoid","related","word","word",0.283667424329879
"senat","parlament","related","word","word",0.542622189398674
"mačka","pas","related","word","word",0.564891900525894
"bol","pati","related","word","word",0.30329525724637
"umrijeti","patiti","related","word","word",0.537033517203681
"insekt","pauk","related","word","word",0.454745192455672
"privući","pažnja","related","word","word",0.213167344292783
"mrav","pčela","related","word","word",0.381906149510692
"potpis","pečat","related","word","word",0.416310814328704
"peći","pećnica","related","word","word",0.597421235446622
"prah","pepeo","related","word","word",0.615036580016904
"pivo","piće","related","word","word",0.749067484197766
"kampiranje","piknik","related","word","word",0.554624409380514
"purica","piletina","related","word","word",0.563804593889268
"ding","ping","related","word","word",0.362651695229521
"struktura","piramida","related","word","word",0.54589434285547
"mornar","pirat","related","word","word",0.485820167812273
"oružje","pištolj","related","word","word",0.596706684996436
"pitati","pitanje","related","word","word",0.440986256127777
"pisac","pjesnik","related","word","word",0.674046972254775
"glazbenik","pjevač","related","word","word",0.653954277511138
"ubojica","plaćenik","related","word","word",0.441810622714535
"strategija","plan","related","word","word",0.457641911603236
"orbita","planeta","related","word","word",0.619825002182776
"stanica","platforma","related","word","word",0.408947838093195
"časopis","playboy","related","word","word",0.38714514324905
"obala","plaža","related","word","word",0.563453804765184
"hrabar","plemenit","related","word","word",0.557260303349586
"ples","plesač","related","word","word",0.505631353595124
"predator","plijen","related","word","word",0.489768377239939
"gorivo","plin","related","word","word",0.488436926836501
"minus","plus","related","word","word",0.578492897896113
"pobjeći","pobjeći","related","word","word",1
"poraz","pobjeda","related","word","word",0.58047983996139
"informacija","podaci","related","word","word",0.464290502342692
"pretjerivati","podcjenjivati","related","word","word",0.517785067214247
"čamac","podmornica","related","word","word",0.425104504635292
"zona","područje","related","word","word",0.430671598318596
"perspektiva","pogled","related","word","word",0.326859391569477
"štrajk","pogoditi","related","word","word",0.253433390574557
"pogreška","pogreška","related","word","word",1
"ispravan","pogrešno","related","word","word",0.399472614241122
"izvođenje","pokazati","related","word","word",0.133012223319008
"sakriti","pokriti","related","word","word",0.445652282253808
"ručnik","pokrivač","related","word","word",0.600865580049862
"četvrtina","pola","related","word","word",0.499880742581839
"brzo","polako","related","word","word",0.479985373250203
"političar","politika","related","word","word",0.360867271954062
"zagrliti","poljubac","related","word","word",0.38906315244127
"hiv","pomagala","related","word","word",0.130646700792328
"flota","pomorski","related","word","word",0.344090545261097
"pomoći","pomozite","related","word","word",0.518971481701291
"utorak","ponedjeljak","related","word","word",0.767102588487907
"često","ponekad","related","word","word",0.538918840988728
"skroman","ponizan","related","word","word",0.527531747764431
"podne","ponoć","related","word","word",0.557441478985085
"dostojanstvo","ponos","related","word","word",0.399750956460005
"uzbuđen","ponos","related","word","word",0.151208582268297
"dati","ponuda","related","word","word",0.190639989224521
"popravak","popraviti","related","word","word",0.579065663739153
"poznat","popularan","related","word","word",0.494924592384745
"film","pornografija","related","word","word",0.346692667482962
"vrata","portal","related","word","word",0.336118834489857
"brod","posada","related","word","word",0.493092730659616
"raditi","posao","related","word","word",0.371214309800875
"jedinstven","poseban","related","word","word",0.595114975954482
"samouvjerenost","poštovanje","related","word","word",0.383220159238875
"postupak","postupak","related","word","word",1
"talenat","potencijal","related","word","word",0.473461107355395
"prijenos","potez","related","word","word",0.229667498415892
"pomoć","potpora","related","word","word",0.460736821077917
"potreba","potreban","related","word","word",0.468339963677884
"eksplozija","potres","related","word","word",0.478214426221777
"potvrditi","potvrda","related","word","word",0.514660103026102
