"hr_cue","hr_target","hr_fake_target","hr_fake_cue","en_cue","en_target"
"buka","zvuk","zvje","tivka","noise","sound"
"čavao","zub","igb","čanim","nail","tooth"
"ček","potvrditi","pothonyjaditi","onk","check","verify"
"čekati","očekivati","upravkivati","čeidenti","wait","expect"
"cement","plastika","smrztika","celand","cement","plastic"
"češnjak","luk","enk","rotnjak","garlic","onion"
"cesta","autocesta","francesta","fanta","road","highway"
"čestitati","pozdraviti","ukljudraviti","stvartitati","congratulate","greet"
"cezar","rim","orm","cetvi","caesar","rome"
"cimet","vanilija","umjetnilija","cione","cinnamon","vanilla"
"čip","uređaj","urecin","lop","chip","device"
"čist","pranje","ucinje","rost","clean","wash"
"čitanje","pisanje","pisaobra","čitajans","reading","writing"
"čitati","pisati","piidenti","stratati","read","write"
"čizma","cipela","cionarla","kovma","boot","shoe"
"član","vođa","voviš","tdan","member","leader"
"članak","novine","nopartne","aminak","article","newspaper"
"čovječe","brat","riat","čouskače","dude","bro"
"čovjek","ljudski","stisski","čotler","man","human"
"crkva","kapela","kagrizla","crkford","church","chapel"
"crv","zmija","kejja","xov","worm","snake"
"crvena","žuta boja","žuta bveyem","crprizna","red","yellow"
"čudovište","stvorenje","charrenje","čudovisburg","monster","creature"
"čvrsto","snažno","brazno","čvrera","firmly","strongly"
"dadilja","sluškinja","slumlažnja","dadištem","nanny","maid"
"danas","jučer","jukao","dabiš","today","yesterday"
"datoteka","dokument","dokuglom","daodrasteka","file","document"
"dekan","profesor","profetrim","dećom","dean","professor"
"delikatan","osjetljiv","oprosljiv","delikaryjem","delicate","sensitive"
"desert","torta","žista","detard","dessert","cake"
"detonator","mjerač vremena","crawforrač vremena","detonaiskap","detonator","timer"
"dijamant","dragulj","dragraw","dijaouxi","diamond","jewel"
"dijete","dijete","usvojete","strojete","baby","child"
"dim","cigara","ciuvjera","orm","smoke","cigar"
"dinastija","carstvo","sutstvo","disfunktija","dynasty","empire"
"diploma","diplomirati","dietrichmirati","distvima","diploma","graduate"
"direktno","direktno","diamondtno","diamondtno","direct","directly"
"diviti se","cijeniti","cistrašniti","divitiebird","admire","appreciate"
"dječaka","djevojčice","upravvojčice","uobičaka","boys","girls"
"djed","baka","torka","heed","grandfather","grandmother"
"djevojka","dječak","djeble","dješminka","girl","boy"
"dlaka","brada","đenda","horka","hair","beard"
"dna","otisak prsta","otisak pnland","qaa","dna","fingerprint"
"dnevno","tjedni","trosni","dantno","daily","weekly"
"dobit","prihod","primah","dodra","profit","income"
"dobiti","pobijediti","pobijeremyjuti","doidenti","gain","win"
"dobro","loše","lonom","docie","good","bad"
"dogovoriti","organizirati","babysitganizirati","dogomeryjariti","arrange","organize"
"dojam","osjećaj","osjelia","doves","impression","feeling"
"dokaz","dokaz","dovid","doach","evidence","proof"
"dolazak","odlazak","odlament","dolament","arrival","departure"
"donijeti","poslati","grizlati","umjetnijeti","bring","send"
"dopuštenje","odobrenje","odogladnje","dopuobjašnje","permission","approval"
"dopustiti","pustiti","odjetiti","doiazimtiti","allow","let"
"doslovno","praktički","stvatički","dosvratno","literally","practically"
"dovoljno","dovoljan","dovostvu","doonalno","enough","sufficient"
"doza","ubrizgavanje","atlangavanje","penza","dose","injection"
"drama","komedija","koautordija","plema","drama","comedy"
"dramatičan","romantičan","rochrističan","autizmatičan","dramatic","romantic"
"draž","ljepota","shvapota","drða","charm","beauty"
"drugdje","negdje","emadje","churdje","elsewhere","somewhere"
"drugi","minuta","sjednuta","cargi","second","minute"
"društvo","korporacija","alexanporacija","brojtvo","company","corporation"
"društvo","zajednica","zastrašnica","brojtvo","society","community"
"držati","zadržati","zadrinvesti","drprosti","hold","keep"
"dućan","pohraniti","povjestniti","dukey","shop","store"
"dugme","pritisnuti","priokrutnuti","rabme","button","press"
"duhan","cigareta","cigaplaysta","dućom","tobacco","cigarette"
"duhovit","smiješan","smijenost","duhonjak","witty","funny"
"dupe","stražnjica","oprosnjica","trape","ass","butt"
"duša","duh","meh","okrša","soul","spirit"
"dva","četvero","češaljro","eja","two","four"
"dvd","video","vibal","icd","dvd","video"
"dvostruko","utrostručiti","fowletručiti","osamtruko","double","triple"
"džep","novčanik","skločanik","džum","pocket","wallet"
"džip","kamion","kamitelj","leip","jeep","truck"
"džungla","šuma","sanma","akutgla","jungle","forest"
"eksperiment","test","teću","eksperistvom","experiment","test"
"ekstra","dodatni","doklimni","ekshvil","extra","additional"
"eliminirati","ukloniti","odrasloniti","graysominirati","eliminate","remove"
"engleski","francuski","autocuski","enumatski","english","french"
"entuzijazam","strast","strari","entuzijafreyja","enthusiasm","passion"
"evolucija","mutacija","odrastacija","strašlucija","evolution","mutation"
"faktor","element","matment","okitor","factor","element"
"faza","razdoblje","razdobkins","gonza","phase","period"
"fenomen","događaj","doganjem","fenograd","phenomenon","event"
"filozofija","religija","relisbethja","filouisvilfija","philosophy","religion"
"financije","ulagati","okrugati","fiukljucije","finance","invest"
"financijski","financiranje","financiraitland","finansportski","financially","financing"
"firma","agencija","zbricija","eduma","firm","agency"
"fizika","matematika","matemaodjeljka","fiadvoka","physics","mathematics"
"fotoaparat","mikrofon","mikronjam","fotoapastvom","camera","microphone"
"fragment","komad","kouna","vrisment","fragment","piece"
"frekvencija","signal","jadnal","zgnjevencija","frequency","signal"
"funta","dolar","doonu","mamta","pound","dollar"
"gadan","prljav","pržman","ganji","nasty","filthy"
"galerija","izložba","izutroba","galeblancja","gallery","exhibition"
"generator","reaktor","reakcent","generaryjem","generator","reactor"
"genij","znanstvenik","stručtvenik","geeja","genius","scientist"
"gesta","činiti","sjedniti","kolta","gesture","act"
"glad","žeđ","brđ","zrad","hunger","thirst"
"glas","naglasak","naglaukom","zras","voice","accent"
"gnijezdo","jaje","jatan","štetjezdo","nest","egg"
"godišnjica","rođendan","rođenskoj","godišstrelca","anniversary","birthday"
"golf","tenis","tejat","goče","golf","tennis"
"goli","goli","njali","gocje","nude","naked"
"gomila","publika","puušutka","utakmila","crowd","audience"
"gospodar","dama","proma","gospoljom","lord","lady"
"gostoljubivost","zahvalnost","zabiljnost","gostoljubifreyja","hospitality","gratitude"
"govor","propovijed","propovisburg","gočaš","speech","sermon"
"građanski","vojni","tehni","gradžerski","civil","military"
"građevina","izgraditi","izzvjezditi","ukljuđevina","construction","build"
"grijeh","zločin","zlojač","grimos","sin","crime"
"gripa","bolest","bohell","myspa","flu","disease"
"grlo","vrat","wyat","štalo","throat","neck"
"grm","stablo","statuj","xom","bush","tree"
"grob","groblje","gladlje","grzz","grave","cemetery"
"gubitnik","pobjednik","poočajnik","guglasnik","loser","winner"
"gubljenje","potrošiti","poiožajšiti","praćljenje","waste","spend"
"gurnuti","vuci","garci","prošnuti","push","pull"
"guska","patka","bijka","guban","goose","duck"
"gutljaj","žvakati","konskati","aorljaj","swallow","chew"
"guverner","senator","senaljep","guverljiv","governor","senator"
"hitan","hitan","hinju","himed","urgent","emergency"
"hobi","sport","sprit","trebi","hobby","sport"
"hormon","adrenalin","gnjanalin","hordre","hormone","adrenaline"
"hotel","motel","moena","hokon","hotel","motel"
"hrabrost","odlučnost","odlučskom","hrarowsa","courage","determination"
"hram","samostan","saspretan","zoam","temple","monastery"
"hrana","obrok","obunk","blina","food","meal"
"hraniti","jesti","eveti","idenniti","feed","eat"
"idealan","savršen","savrljaš","idegrad","ideal","perfect"
"ideja","teorija","teusvaja","rodja","idea","theory"
"igla","injekcija","odredcija","udla","needle","syringe"
"igra","igra","adra","bera","play","game"
"iluzija","halucinacija","browninlucinacija","otiszija","illusion","hallucination"
"ime","titula","tigrizla","ype","name","title"
"imovina","vlasnik","kličnik","svesvina","property","owner"
"imperijalan","car","yor","imperijafreyja","imperial","emperor"
"impresivan","nevjerojatan","nevjerojafreyja","imautopsivan","impressive","amazing"
"incident","nesreća","neugodća","inciirao","incident","accident"
"industrija","poslovanje","obrazlovanje","incrofttrija","industry","business"
"inspektor","povjerenik","povjereograf","instrongtor","inspector","commissioner"
"inspirirati","inspiracija","chewbacspiracija","crawforspirirati","inspire","inspiration"
"instinkt","intuicija","intuotrovja","okretinkt","instinct","intuition"
"internet","mreža","dicža","intertvom","internet","web"
"invazija","napad","nagie","učinzija","invasion","attack"
"inženjer","arhitekt","arhicolm","inžeglih","engineer","architect"
"ironija","ironičan","etičničan","chamnija","irony","ironic"
"iskustvo","znanje","botnje","ismnoštvo","experience","knowledge"
"ispitati, pregledati","istraga","issburga","marquispitati, pregledati","examine","investigate"
"ispred","stražnji","oprosnji","istrin","front","rear"
"istraživanje","studija","prosdija","istraživalowitz","research","study"
"izbjeglica","bjegunac","stvogunac","izbjeobrasca","refugee","fugitive"
"izbor","opcija","ljivcija","izhao","choice","option"
"izgled","gledati","trandati","iznješ","look","watch"
"izlaz","ulaz","ulrl","izves","exit","entrance"
"iznenada","neočekivano","skywalčekivano","iznezvjezda","suddenly","unexpectedly"
"iznenađenje","razočaranje","razočararewall","iznenađeadwayu","surprise","disappointment"
"iznos","iznos","izđao","izvat","sum","amount"
"izuzetan","izvanredan","izspywaredan","izuzesburg","exceptional","remarkable"
"izvješće","obavijestiti","obaviuniątititi","izupliće","report","inform"
"izvor","informator","informaskell","izoci","source","informant"
"izvornik","kopirati","koautorrati","izljednik","original","copy"
"izvrstan","sjajno","surdno","izvrkard","excellent","great"
"jabuka","voće","voiza","jaodvika","apple","fruit"
"jak","slab","slen","uck","strong","weak"
"jamčiti","obećanje","franćanje","otročiti","guarantee","promise"
"jasno","očito","herto","oseno","clearly","obviously"
"javiti","se dogoditi","se dogodfreyja","jateljti","occur","happen"
"jazz","glazba, muzika","glazba, mudowell","jarf","jazz","music"
"jedan","tri","uèi","ješio","one","three"
"jedinica","podjela","povratla","jeumjetnica","unit","division"
"jednostavno","jednostavan","jednostakoðer","jednosuljudno","simply","simple"
"joga","masaža","masavjet","vulga","yoga","massage"
"jug","sjeverno","sjetrudno","erg","south","north"
"juha","salata","sakrista","netha","soup","salad"
"junak","spasitelj","spasinjor","jugos","hero","savior"
"južni","zapadni","zaljetni","skani","southern","western"
"kabel","žica","komca","kavor","cable","wire"
"kabina","paluba","paluskom","kaupozna","cabin","deck"
"kabinet","ormar","orceg","kabiotik","cabinet","closet"
"kaciga","šešir","šeizu","kaciplin","helmet","hat"
"kalendar","raspored","raspoljac","kalennyja","calendar","schedule"
"kalibar","metak","mećem","kaliamom","caliber","bullet"
"kamp","selo","setak","kaca","camp","village"
"kampanja","izbor","izdju","upozpanja","campaign","election"
"kanal","vijesti","viuhvati","kahli","channel","news"
"kancelar","predsjednik","predglasnik","kancetrom","chancellor","president"
"kandidat","birač","biđem","kandiljom","candidate","voter"
"kaos","zbunjenost","zbunjering","kashi","chaos","confusion"
"kapacitet","sposobnost","sposobljen","kapacisburg","capacity","ability"
"kapital","grad","grio","kapining","capital","city"
"kapsula","sonda","kilda","sprasula","capsule","probe"
"karijera","ugled","jiled","karijetlost","career","reputation"
"karneval","festival","odrutival","karnedžer","carnival","festival"
"kašalj","vrućica","osvećica","kafolk","cough","fever"
"kasno","rano","ljeno","bjeno","late","early"
"kat","tepih","tedre","itt","floor","carpet"
"katolik","kršćanin","kršćastvom","katotrom","catholic","christian"
"kauč","krevet","kreula","kaicy","sofa","bed"
"kazna","zatvor","zatrim","njona","penalty","imprisonment"
"kazniti","uhićenje","sljećenje","ljetniti","punish","arrest"
"kći","sin","ern","jsi","daughter","son"
"kečap","majoneza","maodrekneza","keeji","ketchup","mayonnaise"
"kemija","biologija","ukljuologija","utakmija","chemistry","biology"
"kemijski","biološki","biolonjen","kekratski","chemical","biological"
"kilo","gram","laam","naslo","kilo","gram"
"kilometar","metar","mežem","kilomessing","kilometer","meter"
"kino","kazalište","kazaliodrom","perno","cinema","theater"
"kirurg","liječnik","livratnik","kigard","surgeon","doctor"
"kiša","snijeg","disjeg","kinuo","rain","snow"
"klan","obitelj","brotelj","cian","clan","family"
"klasa","škola","kasla","gresa","class","school"
"klavir","gitara","spartara","klaice","piano","guitar"
"kletva","vještica","vjeshvaca","rodtva","curse","witch"
"ključ","zaključati","zaigraščati","klrač","key","lock"
"klub","bar","ńor","klhs","club","bar"
"knjižnica","muzej","mubog","uvjetnica","library","museum"
"kockanje","poker","pogad","sredkanje","gambling","poker"
"kodirati","zaporka","zanjička","zvjezdirati","code","password"
"kokain","heroin","herossom","kokadrov","cocaine","heroin"
"koledž","sveučilište","svetlostlište","kofelj","college","university"
"količina","kvaliteta","umjetliteta","kostvarčina","quantity","quality"
"kolonija","federacija","raymonderacija","koumjetnija","colony","federation"
"kombinacija","smjesa","ljepsa","alexanbinacija","combination","mixture"
"komentar","izjava","osvajava","komennjom","comment","statement"
"kompas","karta","zulta","komvem","compass","map"
"kompliment","dar","arr","komplinjoj","compliment","gift"
"konačan","ultimativno","lawrentimativno","konasmij","final","ultimate"
"konačno","eventualno","oskudtualno","kotrebno","finally","eventually"
"koncept","definicija","defirewallcija","konštit","concept","definition"
"konferencija","sastanak","sastastvu","graysoferencija","conference","meeting"
"konjica","topništvo","adriništvo","koshvaca","cavalry","artillery"
"konobar","konobarica","konobaricassidyja","konosilj","waiter","waitress"
"kontakt","veza","posza","konvett","contact","connection"
"kontaminacija","radijacija","radietrichcija","chegwidtaminacija","contamination","radiation"
"kontrolirati","manipulirati","browninnipulirati","graysotrolirati","control","manipulate"
"konzervativan","liberalan","liberastvom","kontonyjevativan","conservative","liberal"
"kopati","pokopati","povjestpati","koidenti","dig","bury"
"koristan","djelotvoran","djelookingran","kookretan","useful","effective"
"košarka","nogomet","nogoling","konvenka","basketball","football"
"kost","lubanja","lubaškog","kopr","bone","skull"
"košulja","jakna","zorna","košunost","shirt","jacket"
"koža","tkivo","ropvo","kopri","skin","tissue"
"krađa","pljačka","opravka","vjeđa","theft","robbery"
"kraj","završi","zakljuši","kreo","end","finish"
"krajnje","vrlo","vrneš","okrunje","extremely","very"
"kraljevski","kraljevstvo","kraljevsvjest","krafilmski","royal","kingdom"
"kralježnjak","trbušni","truporni","krastolnjak","spinal","abdominal"
"kraljica","kralj","krimj","vjerljica","queen","king"
"kratak","dugačak","dugaling","kravog","short","long"
"krava","svinja","ribnja","škiva","cow","pig"
"kreditna","zajam","začep","kreanalna","credit","loan"
"krema","umak","umra","tvama","cream","sauce"
"kritično","politički","polisburyki","križaljno","critical","political"
"krug","oko","iso","krpp","round","around"
"krug","trokut","trojav","krpp","circle","triangle"
"kruh","sir","rer","krlj","bread","cheese"
"krumpir","rajčica","spusčica","bratpir","potato","tomato"
"kruna","prijestolje","prithorntolje","barna","crown","throne"
"krv","urin","urce","rav","blood","urine"
"kuća","apartman","edwarman","kuren","house","apartment"
"kuga","epidemija","invesdemija","tloga","plague","epidemic"
"kuhati","kuhar","kutun","kuprosti","cook","chef"
"kultura","civilizacija","marylanvilizacija","slavtura","culture","civilization"
"kupa","kava","pokva","razpa","cup","coffee"
"kupiti","prodavati","zvjezdavati","kuidenti","buy","sell"
"kutak","uličica","skrečica","kučen","corner","alley"
"kutija","vrećica","lzvućica","shvatija","box","bag"
"lanac","uže","ipe","laski","chain","rope"
"laskati","impresionirati","marylanpresionirati","lakristi","flatter","impress"
"laž","lažljivac","lažljisburg","trž","lie","liar"
"lažan","lažan","lacea","lacic","fake","FALSE"
"lazanje","špageti","strogeti","lazaštit","lasagna","spaghetti"
"leđa","povratak","pospektak","lemom","back","return"
"legija","vojska","anaska","leonarja","legion","army"
"leptir","ptica","uvaca","lepceu","butterfly","bird"
"lezbijka","gay","wey","ugribijka","lesbian","gay"
"liga","tim","imm","limen","league","team"
"lijepo","lijep","lieta","lijeljen","nice","lovely"
"lik","osobnost","trožnost","uck","character","personality"
"limunada","soda","sonog","lispretnada","lemonade","soda"
"lipanj","srpanj","srmund","lihawk","june","july"
"lisica","zec","grc","liutjeca","fox","rabbit"
"ljeto","zima","lanma","skito","summer","winter"
"ljubavnica","ljubavnik","ljuštitnik","ljuumjetnica","mistress","lover"
"ljubomoran","ljut","uiut","ljubomonique","jealous","angry"
"lopov","kriminalac","kriminastvom","locij","thief","criminal"
"lov","ribarstvo","ribarbary","rav","hunting","fishing"
"ludilo","glupost","glutock","izvodilo","madness","stupidity"
"lunarni","solarni","sokretni","luukusni","lunar","solar"
"lutka","igračka","zgnjeka","ganka","doll","toy"
"mač","nož","idž","hrč","sword","knife"
"mafija","kartel","kardji","manjemja","mafia","cartel"
"magarac","konj","kobu","magaiuse","donkey","horse"
"magija","čarobnjak","čarobbins","manjemja","magic","wizard"
"magnetski","električni","eleklzvini","maggrafski","magnetic","electric"
"mail","faks","teks","mauzo","mail","fax"
"majka","otac","otrs","šetka","mother","father"
"majmun","gorila","obazrila","majato","monkey","gorilla"
"malo","mali","matra","matič","little","small"
"maraton","utrka","cvika","maranjiv","marathon","race"
"marinac","mornarica","cvjetnarica","maritelj","marine","navy"
"mars","venera","onalnera","mahy","mars","venus"
"mašta","kreativnost","krevratnost","magič","imagination","creativity"
"med","maslac","školac","ild","honey","butter"
"medicinski","psihološki","psiholouvreu","medievropski","medical","psychological"
"međunarodni","svijet","svićaš","mebabylonarodni","international","world"
"mek","nježan","njemio","ulk","soft","gentle"
"menadžer","šef","aff","menazvat","manager","boss"
"mentalni","emotivan","adaptivan","menkretni","mental","emotional"
"metoda","tehnika","uvjenika","metoprim","method","technique"
"milijunaš","poduzetnik","poduupravnik","milijusburg","millionaire","entrepreneur"
"milion","milijardi","milisbethdi","milinjem","million","billion"
"milja","centimetar","oprostimetar","mitet","mile","centimeter"
"milosrđe","donacija","uvjetnacija","milookingđe","charity","donation"
"ming","vrijesak","vrijenjih","mien","ming","ling"
"minimum","maksimum","maksivard","minitasy","minimum","maximum"
"miran","smiriti","autoriti","milos","quiet","calm"
"mirovina","plaća","škoća","miniquevina","pension","salary"
"miš","štakor","štatut","ješ","mouse","rat"
"mišljenje","stav","stic","gljiljenje","opinion","attitude"
"mit","legenda","leblagda","ašt","myth","legend"
"mito","ucjena","uobina","rekto","bribe","blackmail"
"mjesec","tjedan","besdan","mjemoj","month","week"
"mjesec","sunce","becce","mjemoj","moon","sun"
"mjesto","mjesto","trento","spusto","place","location"
"mladost","djetinjstvo","djeljudstvo","pjedost","youth","childhood"
"mladoženja","nevjesta","nescotta","gnjezdoženja","groom","bride"
"mlijeko","sok","nsk","ohrajeko","milk","juice"
"model","prototip","protocyja","molje","model","prototype"
"moderan","elegantan","privgantan","modebelj","fashionable","elegant"
"moderan","tradicionalan","tradicionafreyja","modebelj","modern","traditional"
"more","ocean","dokan","prere","sea","ocean"
"morski pas","riba","riski","morskiorit","shark","fish"
"most","tunel","turiz","moľd","bridge","tunnel"
"motiv","alibi","džebi","mođam","motive","alibi"
"mozak","cerebral","cerehony","mošeš","brain","cerebral"
"može biti","vjerojatno","vjerootrovno","može bsvest","maybe","probably"
"mreža","sustav","točtav","uhoža","network","system"
"mrtvački sanduk","pogreb","pouser","mrtvački sarowitz","coffin","funeral"
"mrziti","ljubav","ljuzja","mrtvačti","hate","love"
"mučiti","mučenje","mučetvor","muškarti","torment","torture"
"munja","grmljavina","autenljavina","muham","lightning","thunder"
"muški","žena","svina","mupio","male","female"
"nacionalni","globalno","utjebalno","naciumjetni","national","global"
"nada","vjera","slara","nared","hope","faith"
"nadčovjek","batman","jesman","nadčoskao","superman","batman"
"nadimak","prezime","invazime","naditers","nickname","surname"
"nadležnost","vlast","znast","nadležskom","jurisdiction","authority"
"nadnaravan","paranormalan","paranormafreyja","bowmanaravan","supernatural","paranormal"
"naivan","ciničan","cinitost","natvoj","naive","cynical"
"naivan","glup","zrup","natvoj","naïve","stupid"
"najam","najam","posam","posam","hire","rent"
"naočale","čep","trp","nacyrile","glasses","cap"
"napraviti","čini","obani","naalostviti","make","do"
"napredak","razvoj","račjom","napreumor","progress","development"
"napustiti","napustiti","naobraztiti","naiskaptiti","leave","abandon"
"naredba","narudžba","namjedba","naodjeba","command","order"
"narednik","poručnik","povjernik","naštitnik","sergeant","lieutenant"
"nastaviti","nastaviti","aumontaviti","skriptaviti","proceed","continue"
"natjecanje","prvenstvo","prmnoštvo","naobrascanje","competition","championship"
"naučiti","naučiti","nasvjeti","napresti","learn","teach"
"navigacija","komunikacija","marylanmunikacija","navigacisswell","navigation","communication"
"nebo","nebeski","nebeagle","netak","sky","heavenly"
"nemoguće","lako","vjeko","nemoodvešće","impossible","easy"
"neobičan","čudan","čugom","odjebičan","unusual","strange"
"nepravda","nepravedan","nedjeljvedan","nesklada","injustice","unfair"
"neprijatelj","protivnik","prozvučnik","neprijasburg","enemy","opponent"
"nerazuman","neodgovoran","skywaldgovoran","nerazustvom","unreasonable","irresponsible"
"nesposobnost","nesposoban","nesposostvom","nesposobstvom","inability","unable"
"nesretan","nesreća","neugodća","neconstan","unfortunate","misfortune"
"neugodan","neugodan","neblagdan","neblagdan","uncomfortable","unpleasant"
"nevin","kriv","krtl","negli","innocent","guilty"
"nevolja","problem","prolest","nevotinj","trouble","problem"
"nezakonit","legalan","leganjem","nezakostvom","illegal","legal"
"neznanje","arogancija","osjetgancija","neznarudž","ignorance","arrogance"
"nikada","ikad","ejad","niugleda","never","ever"
"ninja","samuraj","samunjom","nićeš","ninja","samurai"
"ništa","nešto","nejoj","nijim","nothing","something"
"niz","epizoda","branzoda","anz","series","episode"
"nizak","visoko","viobliko","nitos","low","high"
"niži","gornji","svonji","ničen","lower","upper"
"nlo","stranac","kljunac","švo","ufo","alien"
"nobelov","nagrada","namjesda","nobeštaš","nobel","prize"
"noć","večer","vemao","tić","night","evening"
"noćna mora","san","ern","uvježna mora","nightmare","dream"
"normalno, redovno","obično","blizno","normalno, redadwayju","normally","usually"
"novinarstvo","politika","polipljačka","novinarryjem","journalism","politics"
"obdukcija","analiza","idenliza","obožiljcija","autopsy","analysis"
"običan","uobičajen","brončajen","grečan","ordinary","usual"
"obilazak","koncert","konself","obilanjoj","tour","concert"
"objekt","predmet","prednon","uljekt","object","subject"
"oblak","magla","majeg","obrek","cloud","fog"
"oblik","znak","niak","islik","form","sign"
"obrazloženje","uvjerljiv","snježljiv","dvjesloženje","explanation","plausible"
"odabrati","odaberi","autoberi","odaspusti","choose","select"
"odanost","poštenje","popravnje","pornost","loyalty","honesty"
"odbiti","prihvatiti","prismjestiti","odidenti","refuse","accept"
"odgovor","odgovor","odgoštaš","odgoštaš","answer","reply"
"odgovornost","dužnost","jarnost","odgovorstvom","responsibility","duty"
"odjeljak","stavak","stađem","elekljak","section","paragraph"
"odmor","spavati","ryjevati","odjač","rest","sleep"
"odnos","prijateljstvo","prijateljryjem","odgri","relationship","friendship"
"odrasla osoba","roditelj","rodiljiv","powella osoba","adult","parent"
"odraz","ogledalo","tresdalo","ukraz","reflection","mirror"
"odvjetnik","tužilac","tužištem","odglasnik","lawyer","prosecutor"
"oglašavanje","marketing","markenjaj","ubrizšavanje","advertising","marketing"
"ogrepsti","modrica","mouvjeca","grayssti","scratch","bruise"
"okidač","aktivirati","uniątitivirati","zredač","trigger","activate"
"oko","uho","iso","iso","eye","ear"
"okoliš","atmosfera","atmoonligra","unuliš","environment","atmosphere"
"okrug","okrug","okafg","curug","county","district"
"omogućiti","pružiti","uvježiti","upravgućiti","enable","provide"
"omotnica","paket","panov","kriznica","envelope","package"
"općenito","pukovnik","puvjednik","općethornto","general","colonel"
"operativni","funkcionalan","stvarcionalan","operaumjetni","operational","functional"
"opisati","izraziti","izrainvesti","shvasati","describe","express"
"oporavak","liječiti","listvarčiti","tranravak","recover","heal"
"opraštanje","milost","mištaš","smisštanje","forgiveness","mercy"
"oprema","opremiti","blismiti","uvrima","equipment","equip"
"oprostiti","izgovor","izgoštam","stražtiti","forgive","excuse"
"opterećenje","teret","tebij","opterećeadwaya","load","cargo"
"optimističan","realan","reonal","optimistifreyja","optimistic","realistic"
"orgazam","erekcija","ralpcija","orgaines","orgasm","erection"
"orkestar","bend","beso","orbraltar","orchestra","band"
"osmijeh","smijeh","smicon","osmipun","smile","laugh"
