"ja_target","ja_cue","ja_fake_cue","ja_fake_target","en_cue","en_target"
"キャプテン","司令官","大し官","キャヘレン","commander","captain"
"キャンドル","ランプ","メイプ","どこンドル","lamp","candle"
"キャンプ","ピクニック","と思ニック","キャたち","picnic","camping"
"ギリシャ語","ローマ","主なマ","ボルシャ語","roman","greek"
"キリスト教徒","カトリック","広瀬リック","キリスト白神","catholic","christian"
"キング","女王","屋城","レーグ","queen","king"
"クォーター","半分","スヌ","優也ーター","half","quarter"
"クライアント","忍耐強い","忍耐鮎川","クライアde","patient","client"
"クラシック","典型的","雄二的","聞いシック","typical","classic"
"グラム","キロ","毛豆","ヴァム","kilo","gram"
"グループ","ギャング","最終ング","グルっと","gang","group"
"クレイジー","妄想","iは","出演イジー","paranoid","crazy"
"クローゼット","戸棚","争だ","チェーゼット","cabinet","closet"
"グローバル","全国","取り","ooーバル","national","global"
"ケーキ","デザート","岡崎ート","彼はキ","dessert","cake"
"ゲート","ポータル","ポー道路","グルト","portal","gate"
"ゲーム","遊ぶ","る者","そしム","play","game"
"けが","傷","金次","ム号","wound","injury"
"コーヒー","カップ","dvプ","コーぴこ","cup","coffee"
"コットン","シルク","イヤク","を考トン","silk","cotton"
"コニャック","ラム","フュ","正吉ャック","rum","cognac"
"コピー","オリジナル","jiジナル","見出ー","original","copy"
"ごみ","ごみ","ヨコ","体操","trash","garbage"
"コミッショナー","インスペクタ","インスペ裕大","gpッショナー","inspector","commissioner"
"コミュニケーション","ナビゲーション","近衛ゲーション","今はュニケーション","navigation","communication"
"コミュニティ","社会","薩位","コミュニひろ","society","community"
"コメディー","ドラマ","タイマ","しまディー","drama","comedy"
"ゴリラ","猿","當麻","得意ラ","monkey","gorilla"
"これまで","一度もない","わざもない","これレス","never","ever"
"コンサート","旅行","向日","コンアクト","tour","concert"
"コンテンツ","含む","美節","ceテンツ","contain","content"
"コンピューター","ソフトウェア","ソフトウドロ","ライピューター","software","computer"
"サーカス","動物園","彼が園","サーわり","zoo","circus"
"サーバント","奴隷","勧修","グルバント","slave","servant"
"サイン","形","qr","いしン","form","sign"
"サイン","切手","中だ","いしン","stamp","signature"
"させて","許可する","新刊する","ピクて","allow","let"
"サボタージュ","スパイ","愛しイ","本山タージュ","espionage","sabotage"
"さよなら","こんにちは","こんいては","ほしなら","hello","bye"
"サラダ","スープ","画像プ","ヴェダ","soup","salad"
"サンダー","ライトニング","ライブμング","サンリン","lightning","thunder"
"シアター","シネマ","家具マ","小さター","cinema","theater"
"シェフ","料理","と答","内部フ","cook","chef"
"シェルター","避難","鑑真","いまルター","refuge","shelter"
"シガレット","タバコ","改称コ","ウノレット","tobacco","cigarette"
"システム","通信網","山脇網","シスnl","network","system"
"シップ","落とす","主語す","xnプ","drop","sip"
"シニカル","ナイーブ","ナイわら","ｋ２カル","naive","cynical"
"ジャーナリスト","レポーター","ルパーター","としーナリスト","reporter","journalist"
"ジャケット","シャツ","あいツ","としケット","shirt","jacket"
"シャンパン","ワイン","ォレン","あいンパン","wine","champagne"
"ジャンプ","登る","逆三","ジャウン","climb","jump"
"ジュース","ミルク","ストク","ウォース","milk","juice"
"シュート","ショット","ァベット","いまート","shot","shoot"
"ジュニア","シニア","注音ア","ジュたま","senior","junior"
"ジュリエット","ロミオ","分解オ","問題リエット","romeo","juliet"
"シリンジ","針","他ア","シリtp","needle","syringe"
"シンク","トイレ","ナポレ","yeク","toilet","sink"
"シンボル","国旗","ごく","シンでん","flag","symbol"
"スーツケース","ブリーフケース","アッーフケース","あんツケース","briefcase","suitcase"
"スキャンダル","ゴシップ","で行ップ","スキャンーチ","gossip","scandal"
"スケジュール","カレンダー","バトンダー","神戸ジュール","calendar","schedule"
"すごい","優秀な","新のな","詳細い","excellent","great"
"スター","有名人","正司人","ruー","celebrity","star"
"スタイル","リズム","青空ム","スタiv","rhythm","style"
"ストーブ","オーブン","オーラマ","ストcm","oven","stove"
"ストップ","防ぐ","中河","スト大学","prevent","stop"
"ストライク","打つ","やぐ","トラライク","hit","strike"
"ストラテジー","予定","pè","彼女ラテジー","plan","strategy"
"スパゲッティ","ラザニア","に含ニア","メーゲッティ","lasagna","spaghetti"
"すばらしい","印象的","仮名的","南山らしい","impressive","amazing"
"スポーツ","趣味","ná","作品ーツ","hobby","sport"
"する","作る","桓武","レジ","make","do"
"セール","競売","qb","サマル","auction","sale"
"センシティブ","繊細","転結","センシテ伸明","delicate","sensitive"
"センチメートル","マイル","あんル","逃げチメートル","mile","centimeter"
"ソース","クリーム","クリため","となス","cream","sauce"
"ソーダ","レモネード","国土ネード","あらダ","lemonade","soda"
"ゾーン","範囲","おし","コラン","area","zone"
"そこの","ここ","うで","コーの","here","there"
"その周り","円形","お師","その特性","round","around"
"それ","何","관할","えろ","what","that"
"タイ","練る","百恵","ン語","bind","tie"
"だいたい","アウト","hsト","あおたい","out","about"
"タイトル","名前","ィド","タイカー","name","title"
"ダイナマイト","火薬","スに","ダインライト","gunpowder","dynamite"
"タイマー","雷管","حق","タイ内容","detonator","timer"
"タオル","毛布","はむ","荒井ル","blanket","towel"
"タレント","潜在的","根津的","竜一ント","potential","talent"
"ダンス","踊り子","沼川子","しかス","dancer","dance"
"チーズ","パン","ーイ","psズ","bread","cheese"
"チーム","同盟","菊間","otム","league","team"
"チャペル","教会","前駅","チャット","church","chapel"
"チャレンジ","障害","同時","せいレンジ","obstacle","challenge"
"チャンピオンシップ","競争","長し","チャールオンシップ","competition","championship"
"チョコレート","シュガー","シュov","があコレート","sugar","chocolate"
"ティーンエイジャー","十代","独自","外部ーンエイジャー","teenage","teenager"
"テスト","実験","他人","ghト","experiment","test"
"デッキ","キャビン","キャhm","連絡キ","cabin","deck"
"テニス","ゴルフ","ｖ８フ","伊佐ス","golf","tennis"
"デバイス","チップ","多重プ","とばイス","chip","device"
"デモンストレーション","抗議する","ロロする","山門ンストレーション","protest","demonstration"
"テレビ","無線","ần","隣接ビ","radio","television"
"ドア","窓","産駒","ビ系","window","door"
"トイレ","シャワー","シャxx","vvレ","shower","bathroom"
"トカゲ","カエル","鳥取ル","良雄ゲ","frog","lizard"
"どこかに","他の場所で","tn場所で","どこはい","elsewhere","somewhere"
"とても","非常に","松永に","リヴも","extremely","very"
"トマト","じゃがいも","じゃ今日も","普通ト","potato","tomato"
"トライアル","聴覚","屋久","zeイアル","hearing","trial"
"トラック","ジープ","美咲プ","彼女ック","jeep","truck"
"トリプル","ダブル","ucル","トリがき","double","triple"
"ドル","ポンド","行政ド","ベッ","pound","dollar"
"ドレス","スカート","何しート","ためス","skirt","dress"
"トンネル","橋","宝蔵","次元ネル","bridge","tunnel"
"ナイフ","剣","静粛","ドルフ","sword","knife"
"なにか","なし","の航","イエか","nothing","something"
"にふさわしい","値する","原案る","みるさわしい","deserve","worthy"
"ニュース","チャネル","チャ項目","東京ース","channel","news"
"ネガティブ","ポジティブ","を挙ティブ","いおティブ","positive","negative"
"ねずみ","ねずみ","和夫み","隔週み","mouse","rat"
"ネックレス","指輪","改題","ivクレス","ring","necklace"
"バー","クラブ","聞いブ","がペ","club","bar"
"パーティ","受信","ał","パーオン","reception","party"
"パイロット","宇宙飛行士","座標飛行士","オレロット","astronaut","pilot"
"バカ","ïう","ヴラ","い人","naïve","stupid"
"ばかげている","ばかげている","の地げている","雑誌げている","ridiculous","absurd"
"ハグ","接吻","者張","yj","kiss","hug"
"バス","訓練","の岬","ざわ","train","bus"
"パスポート","チケット","漸次ット","メンポート","ticket","passport"
"パスワード","コード","ールド","みすワード","code","password"
"バター","蜂蜜","新静","スナー","honey","butter"
"バッグ","箱","関越","tbグ","box","bag"
"パッケージ","封筒","園駅","殺しケージ","envelope","package"
"バットマン","スーパーマン","スーパーヒー","じゃトマン","superman","batman"
"ハッピー","満足","提起","ハッdu","satisfied","happy"
"バニラ","シナモン","大沢モン","出るラ","cinnamon","vanilla"
"パフォーマンス","見せる","よかる","戸田ォーマンス","show","performance"
"バン","トレーラー","生きーラー","ク郡","trailer","van"
"ハンカチ","布","ちど","ハンモナ","cloth","handkerchief"
"バンド","オーケストラ","オーケスju","うえド","orchestra","band"
"ハンバーガー","サンドイッチ","サンドイニー","ハンバーae","sandwich","hamburger"
"ハンマー","棒","マト","ハンev","stick","hammer"
"ピース","断片","櫛田","ではス","fragment","piece"
"ビール","飲む","ーシ","しやル","drink","beer"
"ひげ","髪","ホ短","歌人","hair","beard"
"ビタミン","タンパク質","アミパク質","新のミン","protein","vitamin"
"ビデオ","dvd","ベイd","qtオ","dvd","video"
"ひどく","重い","柿浜","のアく","heavy","heavily"
"ピル","タブレット","أنレット","旅を","tablet","pill"
"ファックス","郵便物","ホス物","ファーソス","mail","fax"
"ファンタジー","現実","話q","ファンタek","reality","fantasy"
"フィーリング","印象","の種","フィジャング","impression","feeling"
"フェデレーション","コロニー","ivニー","ブルデレーション","colony","federation"
"フェンス","壁","大晦","ブルンス","wall","fence"
"フォーク","スプーン","ひよーン","編集ーク","spoon","fork"
"フットボール","バスケットボール","中国ケットボール","ハルトボール","basketball","football"
"フライト","着陸","の作","フラee","landing","flight"
"プライバシー","プライベート","モンイベート","ssイバシー","private","privacy"
"プラスチック","セメント","真二ント","ゆうスチック","cement","plastic"
"ブラック","白","場駅","ブラll","white","black"
"フランス語","英語","場版","obンス語","english","french"
"フルーツ","りんご","事実ご","に対ーツ","apple","fruit"
"プレーヤー","コーチ","よりチ","ふくーヤー","coach","player"
"プレッシャー","脈","悲劇","プレッシku","pulse","pressure"
"フレンドリー","丁寧","たび","じゃンドリー","polite","friendly"
"プログラム","事業","ﾋね","プロドーム","project","program"
"プロトコル","ルール","syル","ーストコル","rule","protocol"
"プロトタイプ","モデル","大森ル","プロトタ件名","model","prototype"
"プロフェッショナル","アマチュア","静岡チュア","プロフェアチョナル","amateur","professional"
"ベーコン","トースト","州ボスト","sfコン","toast","bacon"
"ベッド","ソファー","金山ァー","pfド","sofa","bed"
"ベッドルーム","部屋","彩雲","文字ドルーム","room","bedroom"
"ヘビ","いも虫","日テ虫","ごと","worm","snake"
"ヘリコプター","救急車","環境車","三和コプター","ambulance","helicopter"
"ヘロイン","コカイン","貴様イン","が公イン","cocaine","heroin"
"ペン","紙","を贈","那様","paper","pen"
"ポーカー","ギャンブル","二重ンブル","ポーku","gambling","poker"
"ホース","ポンプ","高校プ","スマス","pump","hose"
"ボート","潜水艦","紙飛艦","思っト","submarine","boat"
"ホイッスル","ホーン","cyン","マツッスル","horn","whistle"
"ほこり","灰","明明","県都り","ash","dust"
"ほこりの多い","さびた","台東た","ｎｔりの多い","rusty","dusty"
"ボス","マネジャー","愛がジャー","俺た","manager","boss"
"ボストン","ワシントン","ワシーマン","没年トン","washington","boston"
"ボトル","ガラス","彼をス","はレル","glass","bottle"
"ホリデー","クリスマス","スースマス","お許デー","christmas","holiday"
"マーケティング","広告","島県","まつケティング","advertising","marketing"
"マイクロフォン","カメラ","ポルラ","スークロフォン","camera","microphone"
"マイナス","プラス","ゆうス","マイyz","plus","minus"
"まだ","すでに","ユカに","るく","already","still"
"マッサージ","ヨガ","用曲","スキサージ","yoga","massage"
"マッチ","トーナメント","エイナメント","冗談チ","tournament","match"
"マヨネーズ","ケチャップ","閃光ャップ","二木ネーズ","ketchup","mayonnaise"
"ミーティング","会議","旧メ","ログティング","conference","meeting"
"ミサイル","ロケット","初期ット","jjイル","rocket","missile"
"ミッション","タスク","秋津ク","khション","task","mission"
"メーター","キロメートル","gkメートル","jpター","kilometer","meter"
"メイド","乳母","の化","ゆうド","nanny","maid"
"メダリオン","アーティファクト","アーティファーム","ゴンリオン","artifact","medallion"
"メダル","トロフィー","ポケフィー","デリル","trophy","medal"
"メッセージ","警告","ごい","はれセージ","warning","message"
"めったに","たまに","シェに","桃香たに","occasionally","rarely"
"メンテナンス","サービス","サーでる","バルテナンス","service","maintenance"
"モーテル","ホテル","明智ル","モーyl","hotel","motel"
"もっともらしい","説明","ンコ","てらともらしい","explanation","plausible"
"モニター","画面","節順","qiター","screen","monitor"
"モルヒネ","アスピリン","アスニアン","モル昭公","aspirin","morphine"
"ユニフォーム","バッジ","コメジ","キーフォーム","badge","uniform"
"ライオン","ドラゴン","ドラ違反","ライトノ","dragon","lion"
"ライト","暗闇","本覚","エット","darkness","light"
"ラクーン","リス","お待","にょーン","squirrel","raccoon"
"ランチ","スナック","年はック","ワーチ","snack","lunch"
"リクエスト","要求する","新月する","嬉しエスト","demand","request"
"リッチ","貧しい","甲武い","登場チ","poor","rich"
"リベラル","保守的","手榴的","oyラル","conservative","liberal"
"リムジン","タクシー","除去シー","はむジン","taxi","limousine"
"リン","ming","kang","ンズ","ming","ling"
"レストラン","パブ","麻友","くそトラン","pub","restaurant"
"レディ","主","長勝","脱出ィ","lord","lady"
"ローカル","域の","愛蔵","ローはま","regional","local"
"ロープ","鎖","スメ","主なプ","chain","rope"
"ローマ","帝王","に散","idマ","caesar","rome"
"ローン","クレジット","とよジット","フマン","credit","loan"
"ロック","鍵","ラズ","行きク","key","lock"
"ロブ","窃盗","楽に","の日","steal","rob"
"ロブスター","ツナ","化物","走るスター","tuna","lobster"
"ロマンチック","劇的","元諜","国会ンチック","dramatic","romantic"
"ワーカー","農家","曼蛇","モンカー","farmer","worker"
"ワイヤー","ケーブル","ちよブル","ワイぬき","cable","wire"
"わからない","匿名","秋冬","削除らない","anonymous","unknown"
"ワクチン","解毒剤","サモ剤","süチン","antidote","vaccine"
"ワトソン","シャーロック","シャーロll","きちソン","sherlock","watson"
"一般的","当然","ネピ","スペ的","naturally","generally"
"丁","ping","kung","ンが","ping","ding"
"七面鳥","チキン","ンセン","御三鳥","chicken","turkey"
"三","一","切り","貧乏","one","three"
"三角形","サークル","サーるさ","井伊形","circle","triangle"
"上","下","附よ","時と","down","up"
"上院","議会","ネヴ","ひお","parliament","senate"
"上院議員","知事","ég","役名議員","governor","senator"
"下","上","昼蔵","千利","top","bottom"
"不公平です","不正","ンネ","寺院平です","injustice","unfair"
"不可能","不可","新報","マロ能","inability","unable"
"不在","面前","に解","暗記","presence","absence"
"不幸","不幸な","하고な","フス","unfortunate","misfortune"
"不快","快適でない","核兵でない","里田","uncomfortable","unpleasant"
"不潔","不快な","家電な","提灯","nasty","filthy"
"与える","オファー","ついァー","中河る","offer","give"
"世界","インターナショナル","インターナシングル","て今","international","world"
"中尉","軍曹","ミセ","uí","sergeant","lieutenant"
"中身","外","潜在","造性","outside","inside"
"主要な","二次","ブμ","すいな","secondary","primary"
"主題","物体","広辞","でた","object","subject"
"乗る","ドライブ","ドラルク","ql","drive","ride"
"乱す","割り込み","昭夫込み","続い","interrupt","disturb"
"予想","待つ","一族","dq","wait","expect"
"予測","結論","yǒ","ía","conclusion","assumption"
"事件","インシデント","ディシデント","こだ","incident","accident"
"人","人口","うす","νガ","population","people"
"人工的な","ナチュラル","保険ュラル","人工国鉄","natural","artificial"
"人種","マラソン","一覧ソン","石巻","marathon","race"
"人間","男","広小","ー語","man","human"
"仕事","業界","ネー","踊り","industry","business"
"仕事","仕事","רט","踊り","job","work"
"代わりの","交換","丸橋","妖怪りの","replace","substitute"
"仮説","考え","マ語","超新","idea","theory"
"仲間の","お前","はf","両方の","dude","bro"
"企画","準備","従う","座頭","preparation","planning"
"会う","見る","臣蔵","紹顕","see","meet"
"伝統的","モダン","理絵ン","明石的","modern","traditional"
"伝説","神話","粘着","死に","myth","legend"
"伯爵","男爵","確定","皇女","baron","countess"
"位置","場所","チン","びに","place","location"
"位置","スターテス","スタゲネス","びに","status","position"
"住所","番号","該当","ミズ","number","address"
"体液","液体","チョ","がー","liquid","fluid"
"作家","詩人","曇り","が位","poet","writer"
"使用する","申し込み","申しーテ","ドアする","apply","use"
"価格","価値","庄民","数日","value","price"
"保つ","所有","本照","率い","hold","keep"
"保存","救援","皮酸","デニ","rescue","save"
"信じる","信頼","高低","eiる","trust","believe"
"信仰","望む","手線","怪し","hope","faith"
"信号","周波数","靴下数","空中","frequency","signal"
"修理","修理","に現","ンサ","fix","repair"
"修道院","孤児院","何三院","追憶院","orphanage","convent"
"修道院","寺","めば","追憶院","temple","monastery"
"俳優","著者","人日","wj","author","actor"
"個人","人","雑草","えあ","person","individual"
"個性的","特別な","宣伝な","暗視的","special","unique"
"傲慢","無知","間の","記稿","ignorance","arrogance"
"傷跡","入れ墨","eo墨","チナ","tattoo","scar"
"優しい","柔らかい","壽一かい","那覇い","soft","gentle"
"優しい","思いやりある","君のやりある","那覇い","compassionate","generous"
"兄弟","妹","地元","例と","sister","brother"
"先生","学生","手配","の通","student","teacher"
"入口","出口","昇る","進展","exit","entrance"
"共産主義者","人種差別主義者","るね差別主義者","葉師主義者","racist","communist"
"最大","最小","車輪","裕香","minimum","maximum"
"最悪","ひどい","オンい","うぶ","terrible","horrible"
"最終的","最後に","あおに","kl的","finally","eventually"
"冗談で","騙す","根川","な声で","trick","joke"
"写真","写真","ばら","ón","picture","photo"
"写真家","サイン","リテン","俺の家","autograph","photographer"
"冬","夏","宇喜","年月","summer","winter"
"処理","治療","ェラ","院号","therapy","treatment"
"出発","到着","モフ","原市","arrival","departure"
"分","2番目","やぐ目","明か","second","minute"
"分割","単位","ちが","げた","unit","division"
"分析","剖検","段組","ヤヤ","autopsy","analysis"
"切る","破れ目","汲平目","れ牛","tear","cut"
"刑務所","ペナルティ","文雄ルティ","借り所","penalty","imprisonment"
"刑務所","細胞","各運","借り所","cell","prison"
"削除","排除","hà","シュ","eliminate","remove"
"創造性","想像力","ろお力","１年性","imagination","creativity"
"力","強さ","ャア","目の","strength","force"
"効果","影響","次官","花鳥","influence","effect"
"効果的","使える","と語る","淳司的","useful","effective"
"勃起","オーガズム","オーブーム","家だ","orgasm","erection"
"勇敢","ノーブル","ノールト","を中","noble","brave"
"勉強","リサーチ","mでーチ","英略","research","study"
"動物","獣","の環","類似","beast","animal"
"動脈","静脈","職名","恋し","vein","artery"
"勝つ","利得","総社","地五","gain","win"
"勝者","敗者","結い","さそ","loser","winner"
"匂い","味","暇カ","痛か","taste","smell"
"北","南","全勝","上越","south","north"
"区域","郡","の導","は取","county","district"
"医者","外科医","불구医","vh","surgeon","doctor"
"十億","100万","10彩夏","お祭","million","billion"
"十分な","足りる","里佳る","máな","enough","sufficient"
"十年","世紀","то","集中","century","decade"
"卒業","ディプロマ","以下プロマ","vc","diploma","graduate"
"単純","単に","陵桜","위하","simply","simple"
"印象づける","お世辞","順調辞","函館づける","flatter","impress"
"危機","シチュエーション","セガュエーション","ルを","situation","crisis"
"危険","危険","裕香","男が","risk","danger"
"危険な","リスキーな","あつキーな","géな","risky","dangerous"
"卵","ネスト","タート","寂光","nest","egg"
"厚い","薄い","みゅ","丸和","thin","thick"
"原因","理由","ねる","ať","reason","cause"
"友情","関係","和国","選ん","relationship","friendship"
"友達","同僚","fq","リィ","colleague","friend"
"反応器","発生器","克彦器","欧州器","generator","reactor"
"受け入れる","ごみ","ヨコ","とろ入れる","refuse","accept"
"可能性","機会","コス","ジオ性","chance","possibility"
"合意","契約する","みよする","カス","contract","agreement"
"同性愛者","レズビアン","レズゴルン","犬だ愛者","lesbian","gay"
"同行","護衛","臣蔵","선m","escort","accompany"
"名誉","特権","廃藩","者呂","privilege","honor"
"吐き気","下痢","自業","セド気","diarrhea","nausea"
"吸血鬼","ゾンビ","マツビ","空シ鬼","zombie","vampire"
"告白","苦情","るわ","リョ","complaint","accusation"
"告白する","認める","完了る","烏帽する","admit","confess"
"周囲","半径","きに","イガ","radius","perimeter"
"哀れな","惨め","기재","ヘーな","miserable","pathetic"
"品質","量","が適","フェ","quantity","quality"
"商人","商業の","セカの","の導","commercial","merchant"
"問題","問題","がき","でね","trouble","problem"
"喜び","喜び","太子","日根","pleasure","joy"
"喧嘩","戦闘","ス駅","ทธ","combat","fight"
"噛む","飲み込む","八戸込む","ém","swallow","chew"
"囚人","人質","mプ","ヶ岳","hostage","prisoner"
"四","二","雷太","三ケ","two","four"
"回転させる","順番","お婆","オニさせる","turn","rotate"
"国家","国","dâ","xf","country","nation"
"地図","方位磁針","方位耀彩","のに","compass","map"
"地獄","パラダイス","子供ダイス","平定","paradise","hell"
"城","城","ムサ","腕を","palace","castle"
"埋め込む","掘る","縦書","富夫込む","dig","bury"
"壊す","スマッシュ","mnッシュ","一太","smash","break"
"壮観な","センセーショナル","センセーショつふ","自伝な","sensational","spectacular"
"声明","コメント","fmント","ムw","comment","statement"
"売る","買う","ら何","발급","buy","sell"
"変","普通でない","アダでない","引い","unusual","strange"
"外部の","内部","差替","ouの","internal","external"
"夜","夜","ワク","句読","night","evening"
"夜明け","日没","凛と","波ダけ","sunset","dawn"
"夢","悪夢","始皇","シラ","nightmare","dream"
"大佐","全般的","臼田的","じめ","general","colonel"
"大学","カレッジ","カレけば","ップ","college","university"
"大統領","首相","極端","みさ領","chancellor","president"
"大臣","大使","換算","洞泉","ambassador","minister"
"大西洋の","パシフィック","だろフィック","大西勝野","pacific","atlantic"
"大隊","連隊","夜も","男優","regiment","battalion"
"天","空","にリ","レリ","sky","heavenly"
"天皇","インペリアル","インペリとん","お邪","imperial","emperor"
"太陽","月","の建","おも","lunar","solar"
"太陽","月","の建","おも","moon","sun"
"失敗","成功","温伺","ゃお","success","failure"
"失望","サプライズ","ほけライズ","つよ","surprise","disappointment"
"女の子","男の子","ベガ子","クッ子","boys","girls"
"女性","男","広小","そろ","male","female"
"女性","未亡人","道彦人","そろ","widow","woman"
"妊娠","誕生","モッ","エジ","birth","pregnancy"
"妻","夫","木製","起承","husband","wife"
"姓","ニックネーム","dtクネーム","大樫","nickname","surname"
"委員会","手数料","原点料","背番会","commission","committee"
"子","赤ちゃん","はてゃん","の図","baby","child"
"子供時代","若者","zk","新し時代","youth","childhood"
"学校","クラス","リアス","にほ","class","school"
"守る","守る","生没","ツポ","protect","defend"
"安いです","高価な","塗色な","長政です","expensive","cheap"
"安全","安全","ムz","そな","safe","secure"
"安全性","安全","ムz","うん性","security","safety"
"完了","合計","話っ","今行","total","complete"
"完全","理想","ラピ","リフ","ideal","perfect"
"完全に","絶対","ン名","いきに","absolutely","completely"
"宗教","哲学","で与","カな","philosophy","religion"
"宝石","ダイヤモンド","ダイヤモsh","謝り","diamond","jewel"
"実行","ぶらぶら","従六ぶら","全件","hanging","execution"
"家主","テナント","花丸ント","長福","tenant","landlord"
"家族","ちゃんちゃん","が生んちゃん","んつ","clan","family"
"家賃","雇用","ツ軍","誤作","hire","rent"
"容疑者","疑い","らと","男だ者","doubt","suspect"
"寂しい","一人で","ufで","ちゅい","alone","lonely"
"寄付","慈愛","早ま","ねず","charity","donation"
"富","宝物","お忙","隊列","treasure","wealth"
"寒い","ホット","に変ト","宇都","hot","cold"
"審判","裁判所","北の所","永一","court","judge"
"専門家","エキスパート","リベスパート","たの家","expert","specialist"
"尊厳","誇り","安五","員録","pride","dignity"
"小さい","少し","校生","fyい","little","small"
"小麦粉","粒","ササ","合同粉","grain","flour"
"尿","血液","撃者","物だ","blood","urine"
"山","丘","林泉","がす","hill","mountain"
"崩壊","秋","ﾌｨ","千光","fall","collapse"
"嵐","風","九頭","にか","wind","storm"
"州","連邦政府","連邦前駅","週展","federal","state"
"左","正しい","半角い","外で","right","left"
"巨大","大きい","兵庫い","くお","big","huge"
"市","資本","で活","승인","capital","city"
"市長","シェリフ","シェ山岡","をク","sheriff","mayor"
"帆","アンカー","quカー","二号","anchor","sail"
"帝国","王朝","谷柩","女の","dynasty","empire"
"常に","いつも","だとも","黄師","always","constantly"
"帽子","ヘルメット","の一メット","もな","helmet","hat"
"幅","狭い","善哉","안녕","narrow","wide"
"幻覚","錯覚","と整","차에","illusion","hallucination"
"座る","台","富美","oû","stand","sit"
"建てる","工事","ゼス","檸檬る","construction","build"
