"word_combo","ru_cue","ru_target","type","cue_type","target_type","ru_cosine","M_Z","SD_Z","SE_Z","sampleN","done"
"аналитиксантиметр","аналитик","сантиметр","unrelated","word","word",0.105787299097618,NA,NA,NA,NA,NA
"аналитикстество","аналитик","стество","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"анарабскийбезответнесносный","анарабский","безответнесносный","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"анарабскийкомиссар","анарабский","комиссар","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"анарриявыдающийся","анаррия","выдающийся","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"анарриядестим","анаррия","дестим","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"анархиякапитализм","анархия","капитализм","related","word","word",0.400734746177792,NA,NA,NA,NA,NA
"анархияпохороны","анархия","похороны","unrelated","word","word",0.117937535860765,NA,NA,NA,NA,NA
"анархиясладная","анархия","сладная","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"анатказательвтывающий","анатка","зательвтывающий","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"анаткаоценка","анатка","оценка","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"анатомиявахо","анатомия","вахо","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"анатомиядоход","анатомия","доход","unrelated","word","word",0.0888541517832076,NA,NA,NA,NA,NA
"анатомияпсихология","анатомия","психология","related","word","word",0.526836710748483,NA,NA,NA,NA,NA
"анвыквысчискать","анвык","высчискать","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"анвыкудалять","анвык","удалять","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ангелбейсбол","ангел","бейсбол","unrelated","word","word",0.10132846221283,NA,NA,NA,NA,NA
"ангелголосьбратие","ангел","голосьбратие","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"ангелдьявол","ангел","дьявол","related","word","word",0.507794391378561,NA,NA,NA,NA,NA
"английскийминута","английский","минута","unrelated","word","word",0.0673097528344046,NA,NA,NA,NA,NA
"английскийпредпринимандра","английский","предпринимандра","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"английскийфранцузский","английский","французский","related","word","word",0.729652293855836,NA,NA,NA,NA,NA
"анонимныйлитература","анонимный","литература","unrelated","word","word",0.118067907830604,NA,NA,NA,NA,NA
"анонимныйнеизвестный","анонимный","неизвестный","related","word","word",0.423635069068631,NA,NA,NA,NA,NA
"анонимныйсопрооскорбляться","анонимный","сопрооскорбляться","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"ареназафилд","арена","зафилд","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"аренаполе битвы","арена","поле битвы","related","word","word",NA,NA,NA,NA,NA,NA
"аренаучить","арена","учить","unrelated","word","word",0.0522859918225045,NA,NA,NA,NA,NA
"арселонволнение","арселон","волнение","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"арселонобвзглядение","арселон","обвзглядение","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"арсеналзарплата","арсенал","зарплата","unrelated","word","word",0.112261774715815,NA,NA,NA,NA,NA
"арсеналоружейный склад","арсенал","оружейный склад","related","word","word",NA,NA,NA,NA,NA,NA
"арсеналсунешь","арсенал","сунешь","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"артегиллмасбур","артегилл","масбур","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"артегиллобувь","артегилл","обувь","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"артефактблагодальоне","артефакт","благодальоне","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"артефактмедальон","артефакт","медальон","related","word","word",0.446035027347584,NA,NA,NA,NA,NA
"артефактпрохладный","артефакт","прохладный","unrelated","word","word",0.13066976443123,NA,NA,NA,NA,NA
"аспиринморфий","аспирин","морфий","related","word","word",0.564410491574564,NA,NA,NA,NA,NA
"аспиринразумный","аспирин","разумный","unrelated","word","word",0.124886470693099,NA,NA,NA,NA,NA
"аспириншанка","аспирин","шанка","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"аспитальгероин","аспиталь","героин","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"аспитальпреструпоение","аспиталь","преструпоение","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"астныйминистр","астный","министр","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"астныйодершение","астный","одершение","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"астровсемдвигаства","астровсем","двигаства","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"астровсемчасто","астровсем","часто","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"астронавтговаристингс","астронавт","говаристингс","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"астронавтлетчик","астронавт","летчик","related","word","word",0.432716563385721,NA,NA,NA,NA,NA
"астронавтприходить","астронавт","приходить","unrelated","word","word",0.0986285872163681,NA,NA,NA,NA,NA
"атинглупость","атин","глупость","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"атинпоткись","атин","поткись","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"атомныйдолина","атомный","долина","unrelated","word","word",0.140022049958256,NA,NA,NA,NA,NA
"атомныйзабым","атомный","забым","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"атомныйядерный","атомный","ядерный","related","word","word",0.602269962894524,NA,NA,NA,NA,NA
"атэнныйглупый","атэнный","глупый","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"атэнныйследоморитель","атэнный","следоморитель","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"аукционпродажа","аукцион","продажа","related","word","word",0.433241960921356,NA,NA,NA,NA,NA
"аукционсердиджея","аукцион","сердиджея","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"аукционтеория","аукцион","теория","unrelated","word","word",0.103260557223098,NA,NA,NA,NA,NA
"африкаамерика","африка","америка","related","word","word",0.514063304920276,NA,NA,NA,NA,NA
"африкавидение","африка","видение","unrelated","word","word",0.144967999816504,NA,NA,NA,NA,NA
"африкавитастин","африка","витастин","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"аффкарта","афф","карта","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"аффучёрия","афф","учёрия","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"бабочкагалмейк","бабочка","галмейк","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"бабочкаполитический","бабочка","политический","unrelated","word","word",0.131838006755514,NA,NA,NA,NA,NA
"бабочкаптица","бабочка","птица","related","word","word",0.526630990325471,NA,NA,NA,NA,NA
"бавитькаасассин","бавитька","асассин","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"бавитькапошелец","бавитька","пошелец","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"баетсмошенничекво","баетс","мошенничекво","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"баетснастоящий","баетс","настоящий","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"базамечхок","база","мечхок","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"базастводобропраздно","базаство","добропраздно","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"базаствомассаж","базаство","массаж","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"базаштаб","база","штаб","related","word","word",0.33994002399205,NA,NA,NA,NA,NA
"базаэлектрический","база","электрический","unrelated","word","word",0.0440736101466778,NA,NA,NA,NA,NA
"бакдвигатель","бак","двигатель","related","word","word",0.187186162779166,NA,NA,NA,NA,NA
"бакзаточение","бак","заточение","unrelated","word","word",0.0655780481726729,NA,NA,NA,NA,NA
"баксбро","бак","сбро","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"балбалл","бал","балл","related","word","word",0.475916375460923,NA,NA,NA,NA,NA
"балбанкрый","бал","банкрый","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"балвиновный","бал","виновный","unrelated","word","word",0.1046874983507,NA,NA,NA,NA,NA
"бананклубника","банан","клубника","related","word","word",0.40139425586043,NA,NA,NA,NA,NA
"банансварус","банан","сварус","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"банантемпература","банан","температура","unrelated","word","word",0.14570119789289,NA,NA,NA,NA,NA
"бангульскийватсон","бангульский","ватсон","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"бангульскийутренление","бангульский","утренление","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"бандагрена","банда","грена","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"бандагруппировка","банда","группировка","related","word","word",0.565051562968499,NA,NA,NA,NA,NA
"бандаходить","банда","ходить","unrelated","word","word",0.0896666328627496,NA,NA,NA,NA,NA
"банжойамр","банжой","амр","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"банжойартиллерия","банжой","артиллерия","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"банкиринвестор","банкир","инвестор","related","word","word",0.502495947514662,NA,NA,NA,NA,NA
"банкирсверь","банкир","сверь","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"банкирчестность","банкир","честность","unrelated","word","word",0.0535116660505199,NA,NA,NA,NA,NA
"банковскиймедальон","банковский","медальон","unrelated","word","word",0.105744346378095,NA,NA,NA,NA,NA
"банковскийподозренивать","банковский","подозренивать","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"банковскийфинансовый","банковский","финансовый","related","word","word",0.603406804645141,NA,NA,NA,NA,NA
"бапалатака","бапал","атака","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"бапалневинпер","бапал","невинпер","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"баронагентство","барон","агентство","unrelated","word","word",0.0958845031337341,NA,NA,NA,NA,NA
"баронграфиня","барон","графиня","related","word","word",0.406540961430272,NA,NA,NA,NA,NA
"барондарсия","барон","дарсия","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"баскетболодершение","баскетбол","одершение","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"баскетболфутбол","баскетбол","футбол","related","word","word",0.734749770215859,NA,NA,NA,NA,NA
"баскетболцеремония","баскетбол","церемония","unrelated","word","word",0.115918958844105,NA,NA,NA,NA,NA
"баскетлотводитель","баскетлот","водитель","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"баскетлотсарье","баскетлот","сарье","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"баслыйпрелепестный","баслый","прелепестный","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"баслыйпривлекать","баслый","привлекать","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"башняздание","башня","здание","related","word","word",0.294458268112085,NA,NA,NA,NA,NA
"башняобыстро","башня","обыстро","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"башняпринимать","башня","принимать","unrelated","word","word",0.0929571466104083,NA,NA,NA,NA,NA
"баяншойвторник","баяншой","вторник","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"баяншойстека","баяншой","стека","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"бегатьорганикренивать","бегать","органикренивать","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"бегатьфестиваль","бегать","фестиваль","unrelated","word","word",0.0812859945406658,NA,NA,NA,NA,NA
"бегатьходить","бегать","ходить","related","word","word",0.642978994700829,NA,NA,NA,NA,NA
"бедностьатмультический","бедность","атмультический","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"бедностьневзгоды","бедность","невзгоды","related","word","word",0.306389073760831,NA,NA,NA,NA,NA
"бедностьсообщение","бедность","сообщение","unrelated","word","word",0.0291362072185172,NA,NA,NA,NA,NA
"бедныйбогатый","бедный","богатый","related","word","word",0.328591012830439,NA,NA,NA,NA,NA
"бедныйнекроложение","бедный","некроложение","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"бедныйпроверка","бедный","проверка","unrelated","word","word",0.0863551905248485,NA,NA,NA,NA,NA
"беженецбеглец","беженец","беглец","related","word","word",0.391661845061333,NA,NA,NA,NA,NA
"беженецвверх","беженец","вверх","unrelated","word","word",0.0675796771114177,NA,NA,NA,NA,NA
"беженецсущенутво","беженец","сущенутво","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"безмальныйосвежать","безмальный","освежать","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"безмальныйсвалубь","безмальный","свалубь","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"безмолвныйрыбалка","безмолвный","рыбалка","unrelated","word","word",0.111408781203016,NA,NA,NA,NA,NA
"безмолвныйрыним","безмолвный","рыним","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"безмолвныйтишина","безмолвный","тишина","related","word","word",0.334189506697984,NA,NA,NA,NA,NA
"безопасныйвенреть","безопасный","венреть","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"безопасныйнадежный","безопасный","надежный","related","word","word",0.588408081619082,NA,NA,NA,NA,NA
"безопасныйобвинение","безопасный","обвинение","unrelated","word","word",0.0790520823685024,NA,NA,NA,NA,NA
"безтопныйпроживод","безтопный","проживод","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"безтопныйсенат","безтопный","сенат","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"безумиегавань","безумие","гавань","unrelated","word","word",0.0875672670812064,NA,NA,NA,NA,NA
"безумиеглупость","безумие","глупость","related","word","word",0.449668667159439,NA,NA,NA,NA,NA
"безумиестранера","безумие","странера","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"безусловнокак правило","безусловно","как правило","related","word","word",NA,NA,NA,NA,NA,NA
"безусловномиллиард","безусловно","миллиард","unrelated","word","word",0.0999148538637356,NA,NA,NA,NA,NA
"безусловноследоморитель","безусловно","следоморитель","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"бейлобозаскать","бейл","обозаскать","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"бейлтанец","бейл","танец","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"бейсбодажесторонне","бейсбода","жесторонне","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"бейсбодаизучать","бейсбода","изучать","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"беконьмапатч","беконь","мапатч","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"беконьосень","беконь","осень","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"белкаенот","белка","енот","related","word","word",0.366794550189479,NA,NA,NA,NA,NA
"белкакнига","белка","книга","unrelated","word","word",0.12594292667883,NA,NA,NA,NA,NA
"белкаладрка","белка","ладрка","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"белыймертира","белый","мертира","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"белыйписьмо","белый","письмо","unrelated","word","word",-0.00856134711803602,NA,NA,NA,NA,NA
"белыйчерный","белый","черный","related","word","word",0.657747970379172,NA,NA,NA,NA,NA
"беннолочка","бенно","лочка","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"беннотянуть","бенно","тянуть","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"бентатьвызов","бентать","вызов","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"бентатьсверь","бентать","сверь","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"берешенецдруг","берешенец","друг","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"берешенецфырк","берешенец","фырк","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"беседаиндивидолестный","беседа","индивидолестный","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"беседалес","беседа","лес","unrelated","word","word",0.0829870144219985,NA,NA,NA,NA,NA
"беседаобсуждение","беседа","обсуждение","related","word","word",0.315790007820909,NA,NA,NA,NA,NA
"бесерьёзмегерл","бесерьёз","мегерл","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"бесерьёзплавать","бесерьёз","плавать","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"беспокойгнозакломный","беспокойгно","закломный","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"беспокойгнонажимать","беспокойгно","нажимать","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"беспокойствоволнение","беспокойство","волнение","related","word","word",0.560497065004069,NA,NA,NA,NA,NA
"беспокойстворичь","беспокойство","ричь","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"беспокойствостатуя","беспокойство","статуя","unrelated","word","word",0.0753891649611221,NA,NA,NA,NA,NA
"бесполезныйникчемный","бесполезный","никчемный","related","word","word",0.617826753306123,NA,NA,NA,NA,NA
"бесполезныйслурваться","бесполезный","слурваться","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"бесполезныйсообщество","бесполезный","сообщество","unrelated","word","word",0.112007279339662,NA,NA,NA,NA,NA
"беспомощныйбессильный","беспомощный","бессильный","related","word","word",0.623462633492592,NA,NA,NA,NA,NA
"беспомощныйматч","беспомощный","матч","unrelated","word","word",0.144260706479377,NA,NA,NA,NA,NA
"беспомощныйстрашшать","беспомощный","страшшать","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"беспострашныйрыбалка","беспострашный","рыбалка","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"беспострашныйтеншат","беспострашный","теншат","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"беспотральныйвздошной","беспотральный","вздошной","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"беспотральныйрезать","беспотральный","резать","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"бестератьблагодальоне","бестерать","благодальоне","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"бестератьзима","бестерать","зима","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"бетонведьма","бетон","ведьма","unrelated","word","word",0.0723197128765291,NA,NA,NA,NA,NA
"бетонрисоблать","бетон","рисоблать","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"бетонсталь","бетон","сталь","related","word","word",0.463019660592527,NA,NA,NA,NA,NA
"библиотекагастриптика","библиотека","гастриптика","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"библиотекадешевый","библиотека","дешевый","unrelated","word","word",0.134651132905262,NA,NA,NA,NA,NA
"библиотекамузей","библиотека","музей","related","word","word",0.401878916901809,NA,NA,NA,NA,NA
"библиякемпинг","библия","кемпинг","unrelated","word","word",0.0843467310411428,NA,NA,NA,NA,NA
"библиякнига","библия","книга","related","word","word",0.495557267769025,NA,NA,NA,NA,NA
"библияпроткладный","библия","проткладный","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"билетдоказательмкнуть","билет","доказательмкнуть","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"билетпаспорт","билет","паспорт","related","word","word",0.473173747849936,NA,NA,NA,NA,NA
"билетпрятать","билет","прятать","unrelated","word","word",0.0553822729547969,NA,NA,NA,NA,NA
"билькасущенутво","билька","сущенутво","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"билькафургон","билька","фургон","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"биолофлот","биоло","флот","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"биолочувствиклассный","биоло","чувствиклассный","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"битклеттрудав","битклет","трудав","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"битклетфамилия","битклет","фамилия","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"благодарныйблагодарить","благодарный","благодарить","related","word","word",0.632217145400545,NA,NA,NA,NA,NA
"благодарныйпараграф","благодарный","параграф","unrelated","word","word",0.098314486444554,NA,NA,NA,NA,NA
"благодарныйшикорий","благодарный","шикорий","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"благокрестныйдагромко","благокрестный","дагромко","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"благокрестныйфакс","благокрестный","факс","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"благородныйвспори","благородный","вспори","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"благородныйограбление","благородный","ограбление","unrelated","word","word",0.0984283996581314,NA,NA,NA,NA,NA
"благородныйхрабрый","благородный","храбрый","related","word","word",0.513992783225205,NA,NA,NA,NA,NA
"благосмертныйдружба","благосмертный","дружба","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"благосмертныйзаблужрилка","благосмертный","заблужрилка","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"благотвориставленьинструвишь","благотвориставлень","инструвишь","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"благотвориставленьпреступление","благотвориставлень","преступление","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"благотворительностьпожертвование","благотворительность","пожертвование","related","word","word",0.564384170406623,NA,NA,NA,NA,NA
"благотворительностьтюить","благотворительность","тюить","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"благотворительностьученый","благотворительность","ученый","unrelated","word","word",0.147377844111156,NA,NA,NA,NA,NA
"бланкдешестёр","бланк","дешестёр","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"бланкподписываться","бланк","подписываться","related","word","word",0.400844578508905,NA,NA,NA,NA,NA
"бланкхрабрый","бланк","храбрый","unrelated","word","word",0.082874532689522,NA,NA,NA,NA,NA
"блестящийброня","блестящий","броня","unrelated","word","word",0.123422790460049,NA,NA,NA,NA,NA
"блестящийсабозоне","блестящий","сабозоне","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"блестящийяркий","блестящий","яркий","related","word","word",0.500297833618191,NA,NA,NA,NA,NA
"близкоастпок","близко","астпок","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"близкодалеко","близко","далеко","related","word","word",0.43976346183683,NA,NA,NA,NA,NA
"близкошампанское","близко","шампанское","unrelated","word","word",0.147193602782783,NA,NA,NA,NA,NA
"блоквойот","блок","войот","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"блокобувь","блок","обувь","unrelated","word","word",0.115286343488325,NA,NA,NA,NA,NA
